run_id,tag,workload_id,repeat,group_index,n_groups,cnr,cnr_wait_cycles,status
c3_14q_phys1-c3-phys1_prefill16-r-1-1789950489,c3_14q_phys1,phys1_prefill16,-1,0,1,0,0,ok
c3_14q_phys1-c3-phys1_prefill16-r0-1789950494,c3_14q_phys1,phys1_prefill16,0,0,1,0,0,ok
c3_14q_phys1-c3-phys1_prefill16-r1-1789950499,c3_14q_phys1,phys1_prefill16,1,0,1,0,0,ok
c3_14q_phys1-c3-phys1_prefill16-r2-1789950504,c3_14q_phys1,phys1_prefill16,2,0,1,0,0,ok
c3_14q_phys1-c3-phys2_prefill16-r-1-1789950510,c3_14q_phys1,phys2_prefill16,-1,0,1,0,0,ok
c3_14q_phys1-c3-phys2_prefill16-r0-1789950510,c3_14q_phys1,phys2_prefill16,0,0,1,0,0,ok
c3_14q_phys1-c3-phys2_prefill16-r1-1789950510,c3_14q_phys1,phys2_prefill16,1,0,1,0,0,ok
c3_14q_phys1-c3-phys2_prefill16-r2-1789950510,c3_14q_phys1,phys2_prefill16,2,0,1,0,0,ok
c3_14q_phys1-c3-phys3_prefill16-r-1-1789950510,c3_14q_phys1,phys3_prefill16,-1,0,1,0,0,ok
c3_14q_phys1-c3-phys3_prefill16-r0-1789950611,c3_14q_phys1,phys3_prefill16,0,0,1,0,0,ok
c3_14q_phys1-c3-phys3_prefill16-r1-1789950711,c3_14q_phys1,phys3_prefill16,1,0,1,0,0,ok
c3_14q_phys1-c3-phys3_prefill16-r2-1789950811,c3_14q_phys1,phys3_prefill16,2,0,1,0,0,ok
c3_14q_phys1-c3-phys4_prefill16-r-1-1789950912,c3_14q_phys1,phys4_prefill16,-1,0,1,0,0,ok
c3_14q_phys1-c3-phys4_prefill16-r0-1789950912,c3_14q_phys1,phys4_prefill16,0,0,1,0,0,ok
c3_14q_phys1-c3-phys4_prefill16-r1-1789950912,c3_14q_phys1,phys4_prefill16,1,0,1,0,0,ok
c3_14q_phys1-c3-phys4_prefill16-r2-1789950912,c3_14q_phys1,phys4_prefill16,2,0,1,0,0,ok
c3_14q_physcal1-c3-phys1_n101000_prefill16-r-1-1789950913,c3_14q_physcal1,phys1_n101000_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys1_n101000_prefill16-r0-1789950923,c3_14q_physcal1,phys1_n101000_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys1_n51000_prefill16-r-1-1789950934,c3_14q_physcal1,phys1_n51000_prefill16,-1,0,1,0,0,ok
c3_14q_physcal1-c3-phys1_n51000_prefill16-r0-1789950939,c3_14q_physcal1,phys1_n51000_prefill16,0,0,1,0,0,ok
c3_14q_physcal1-c3-phys1_n1000_prefill16-r-1-1789950945,c3_14q_physcal1,phys1_n1000_prefill16,-1,0,1,0,0,ok
