idx,name,per_shot_compiled_us,per_shot_c1_slope_us,sd_us,method
1,Bell state (GHZ-2),8.5840,8.7503,0.0006,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
2,GHZ-3,11.7140,11.8641,0.0005,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
3,VQE HeH+ 2Q,8.5840,8.7499,0.0006,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
4,QAOA 2Q p=1,8.9400,9.1100,0.0008,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
5,Quantum teleportation 3Q,14.4960,14.6529,0.0110,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
6,Deutsch-Jozsa 3Q,12.0620,12.2035,0.0023,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
7,GHZ-4,14.8440,14.9988,0.0008,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
8,GHZ-5,17.9740,18.1340,0.0004,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
9,GHZ-6,21.1040,21.2502,0.0036,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
10,GHZ-8,27.3640,27.5193,0.0004,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
11,Bernstein-Vazirani 5Q,18.9220,19.0882,0.0009,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
12,VQE 1Q eigensolver,5.4300,5.5930,0.0007,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
13,QFT 4Q,26.4720,26.6333,0.0045,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
19,VQE BeH2 14Q,46.4160,46.5660,0.0004,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
20,Shor N=15 5Q,17.6580,17.8182,0.0016,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
21,QAOA MaxCut 12Q,43.2400,43.3867,0.0012,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
22,QML Image Class 14Q,50.1240,50.2878,0.0114,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
23,VQE SrH PDM 12Q,42.8520,43.0059,0.0019,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
24,Grover 6Q,59.4760,59.6386,0.0006,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
25,QSVM Radar 4Q,17.1200,17.2873,0.0010,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
