run_id,wall_time,mode,bitfile,wns_ns,software_commit,workload,workload_id,repeat,status,exclusion_reason,n_circuits,shots,rps,n_active_ch,per_shot_us,qpu_ms,t_start_ns,t_end_ns,elapsed_ms,cmd_bytes_logical,cmd_bytes_transferred,readout_bytes,send_block_us_max,send_block_us_total,seamless,tag,pool_tables,n_groups,cnr,cnr_wait_cycles,note
c3_14q_re1-c3-1-r-1-1789951498,2026-09-20T17:44:58,c3,build_13b440c3_20260918192735,0.001,7de69de,single,1,-1,ok,,1,24576,2,2,8.58,210.9604,964723414229570,964723629070689,214.841119,416,65792,786432,883,44389,1,c3_14q_re1,0,1,0,0,
c3_14q_re1-c3-1-r0-1789951498,2026-09-20T17:44:58,c3,build_13b440c3_20260918192735,0.001,7de69de,single,1,0,ok,,1,24576,2,2,8.58,210.9604,964723701731616,964723916565025,214.833409,416,65792,786432,516,42329,1,c3_14q_re1,0,1,0,0,
c3_14q_re1-c3-1-r1-1789951498,2026-09-20T17:44:58,c3,build_13b440c3_20260918192735,0.001,7de69de,single,1,1,ok,,1,24576,2,2,8.58,210.9604,964723988427983,964724203259402,214.831419,416,65792,786432,544,41966,1,c3_14q_re1,0,1,0,0,
c3_14q_re1-c3-1-r2-1789951499,2026-09-20T17:44:59,c3,build_13b440c3_20260918192735,0.001,7de69de,single,1,2,ok,,1,24576,2,2,8.58,210.9604,964724277073500,964724491911409,214.837909,416,65792,786432,350,43259,1,c3_14q_re1,0,1,0,0,
c3_14q_re1-c3-1-r3-1789951499,2026-09-20T17:44:59,c3,build_13b440c3_20260918192735,0.001,7de69de,single,1,3,ok,,1,24576,2,2,8.58,210.9604,964724564687387,964724779516745,214.829358,416,65792,786432,713,44274,1,c3_14q_re1,0,1,0,0,
c3_14q_re1-c3-1-r4-1789951499,2026-09-20T17:44:59,c3,build_13b440c3_20260918192735,0.001,7de69de,single,1,4,ok,,1,24576,2,2,8.58,210.9604,964724852994790,964725067825819,214.831029,416,65792,786432,733,42997,1,c3_14q_re1,0,1,0,0,
c3_14q_re1-c3-2-r-1-1789951500,2026-09-20T17:45:00,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,-1,ok,,1,8192,2,3,11.71,95.9611,964725180079242,964725277364855,97.285613,624,98560,393216,348,21210,1,c3_14q_re1,0,1,0,0,
c3_14q_re1-c3-2-r0-1789951500,2026-09-20T17:45:00,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,0,ok,,1,8192,2,3,11.71,95.9611,964725382770459,964725480060162,97.289703,624,98560,393216,336,21630,1,c3_14q_re1,0,1,0,0,
c3_14q_re1-c3-2-r1-1789951500,2026-09-20T17:45:00,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,1,ok,,1,8192,2,3,11.71,95.9611,964725585508527,964725682802370,97.293843,624,98560,393216,673,22152,1,c3_14q_re1,0,1,0,0,
c3_14q_re1-c3-2-r2-1789951500,2026-09-20T17:45:00,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,2,ok,,1,8192,2,3,11.71,95.9611,964725792016162,964725889307865,97.291703,624,98560,393216,351,21356,1,c3_14q_re1,0,1,0,0,
