run_id,wall_time,mode,bitfile,wns_ns,software_commit,workload,workload_id,repeat,status,exclusion_reason,n_circuits,shots,rps,n_active_ch,per_shot_us,qpu_ms,t_start_ns,t_end_ns,elapsed_ms,cmd_bytes_logical,cmd_bytes_transferred,readout_bytes,send_block_us_max,send_block_us_total,seamless,tag,pool_tables,n_groups,cnr,cnr_wait_cycles,note,t_first_dma_done_ns,t_start_written_ns,t_first_cid_ns,t_batch_done_ns
c3_14q_decomp_p0-c3-10-r-1-1789960381,2026-09-20T20:13:01,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,-1,ok,,1,32,2,8,27.36,0.8756,973607184187663,973607185168943,0.98128,1664,262400,4096,38,256,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973607184240054,973607184240764,973607184274684,973607185152573
c3_14q_decomp_p0-c3-10-r0-1789960382,2026-09-20T20:13:02,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,0,ok,,1,32,2,8,27.36,0.8756,973607496278794,973607497254404,0.97561,1664,262400,4096,39,255,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973607496331875,973607496332535,973607496362885,973607497243654
c3_14q_decomp_p0-c3-10-r1-1789960382,2026-09-20T20:13:02,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,1,ok,,1,32,2,8,27.36,0.8756,973607809012432,973607809994022,0.98159,1664,262400,4096,38,251,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973607809064973,973607809065643,973607809096773,973607809978322
c3_14q_decomp_p0-c3-10-r2-1789960382,2026-09-20T20:13:02,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,2,ok,,1,32,2,8,27.36,0.8756,973608122519148,973608123501298,0.98215,1664,262400,4096,50,270,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973608122571398,973608122572048,973608122603459,973608123484497
c3_14q_decomp_p0-c3-10-r3-1789960383,2026-09-20T20:13:03,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,3,ok,,1,32,2,8,27.36,0.8756,973608429223855,973608430201355,0.9775,1664,262400,4096,36,233,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973608429276426,973608429277596,973608429307986,973608430189425
c3_14q_decomp_p0-c3-10-r4-1789960383,2026-09-20T20:13:03,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,4,ok,,1,32,2,8,27.36,0.8756,973608738206196,973608739183705,0.977509,1664,262400,4096,41,243,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973608738259456,973608738260116,973608738290626,973608739171095
c3_14q_decomp_p0-c3-10-r5-1789960383,2026-09-20T20:13:03,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,5,ok,,1,32,2,8,27.36,0.8756,973609051545599,973609052530509,0.98491,1664,262400,4096,65,285,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973609051597720,973609051598380,973609051630360,973609052510879
c3_14q_decomp_p0-c3-10-r6-1789960384,2026-09-20T20:13:04,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,6,ok,,1,32,2,8,27.36,0.8756,973609365876423,973609366859043,0.98262,1664,262400,4096,44,260,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973609365929114,973609365929934,973609365961314,973609366841383
c3_14q_decomp_p0-c3-10-r7-1789960384,2026-09-20T20:13:04,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,7,ok,,1,32,2,8,27.36,0.8756,973609678467150,973609679451460,0.98431,1664,262400,4096,37,256,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973609678519910,973609678520610,973609678551161,973609679432239
c3_14q_decomp_p0-c3-10-r8-1789960384,2026-09-20T20:13:04,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,8,ok,,1,32,2,8,27.36,0.8756,973609990407300,973609991391959,0.984659,1664,262400,4096,40,263,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973609990460430,973609990461140,973609990492900,973609991372829
c3_14q_decomp_p0-c3-10-r9-1789960385,2026-09-20T20:13:05,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,9,ok,,1,32,2,8,27.36,0.8756,973610304330799,973610305314309,0.98351,1664,262400,4096,39,252,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,973610304383720,973610304384350,973610304416180,973610305296029
