run_id,wall_time,mode,bitfile,wns_ns,software_commit,workload,workload_id,repeat,status,exclusion_reason,n_circuits,shots,rps,n_active_ch,per_shot_us,qpu_ms,t_start_ns,t_end_ns,elapsed_ms,cmd_bytes_logical,cmd_bytes_transferred,readout_bytes,send_block_us_max,send_block_us_total,seamless,tag,pool_tables,n_groups,cnr,cnr_wait_cycles,note,loop_n,interval_us,period_us,period_src,calib_n,cmd_bytes_max,n_units,n_segments,seg_dur_us
c3_14q_phys1-c3-phys1_prefill16-r-1-1789950489,2026-09-20T17:28:08,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys1_prefill16,-1,ok,,1,1,50000,1,5182400.00,5182.4000,963714068389778,963719250720229,5182.330451,160,33024,400000,680,26293,1,c3_14q_phys1,0,1,0,0,,50000,100.000,103.6480,compile,,160,,,
c3_14q_phys1-c3-phys1_prefill16-r0-1789950494,2026-09-20T17:28:14,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys1_prefill16,0,ok,,1,1,50000,1,5182400.00,5182.4000,963719297513887,963724479840719,5182.326832,160,33024,400000,751,27535,1,c3_14q_phys1,0,1,0,0,,50000,100.000,103.6480,compile,,160,,,
c3_14q_phys1-c3-phys1_prefill16-r1-1789950499,2026-09-20T17:28:19,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys1_prefill16,1,ok,,1,1,50000,1,5182400.00,5182.4000,963724524719058,963729707043329,5182.324271,160,33024,400000,458,25381,1,c3_14q_phys1,0,1,0,0,,50000,100.000,103.6480,compile,,160,,,
c3_14q_phys1-c3-phys1_prefill16-r2-1789950504,2026-09-20T17:28:24,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys1_prefill16,2,ok,,1,1,50000,1,5182400.00,5182.4000,963729750961068,963734933281790,5182.320722,160,33024,400000,659,26427,1,c3_14q_phys1,0,1,0,0,,50000,100.000,103.6480,compile,,160,,,
c3_14q_phys1-c3-phys2_prefill16-r-1-1789950510,2026-09-20T17:28:30,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys2_prefill16,-1,ok,,1,1,32,1,188.93,0.1889,963735419101548,963735419388371,0.286823,1664,33024,256,34,34,1,c3_14q_phys1,0,1,0,0,,32,1.000,5.9040,compile,,1664,,,
c3_14q_phys1-c3-phys2_prefill16-r0-1789950510,2026-09-20T17:28:30,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys2_prefill16,0,ok,,1,1,32,1,188.93,0.1889,963735473496663,963735473776195,0.279532,1664,33024,256,34,34,1,c3_14q_phys1,0,1,0,0,,32,1.000,5.9040,compile,,1664,,,
c3_14q_phys1-c3-phys2_prefill16-r1-1789950510,2026-09-20T17:28:30,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys2_prefill16,1,ok,,1,1,32,1,188.93,0.1889,963735526420332,963735526708655,0.288323,1664,33024,256,34,34,1,c3_14q_phys1,0,1,0,0,,32,1.000,5.9040,compile,,1664,,,
c3_14q_phys1-c3-phys2_prefill16-r2-1789950510,2026-09-20T17:28:30,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys2_prefill16,2,ok,,1,1,32,1,188.93,0.1889,963735579131739,963735579424152,0.292413,1664,33024,256,34,34,1,c3_14q_phys1,0,1,0,0,,32,1.000,5.9040,compile,,1664,,,
c3_14q_phys1-c3-phys3_prefill16-r-1-1789950510,2026-09-20T17:28:30,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys3_prefill16,-1,ok,,1,1,50000,1,100182400.00,100182.4000,963735993980168,963836174328948,100180.34878,160,33024,400000,926,72226,1,c3_14q_phys1,0,1,0,0,,50000,2000.000,2003.6480,compile,,160,,,
c3_14q_phys1-c3-phys3_prefill16-r0-1789950611,2026-09-20T17:30:11,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys3_prefill16,0,ok,,1,1,50000,1,100182400.00,100182.4000,963836218716272,963936399066022,100180.34975,160,33024,400000,1410,72098,1,c3_14q_phys1,0,1,0,0,,50000,2000.000,2003.6480,compile,,160,,,
c3_14q_phys1-c3-phys3_prefill16-r1-1789950711,2026-09-20T17:31:51,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys3_prefill16,1,ok,,1,1,50000,1,100182400.00,100182.4000,963936441557447,964036621907556,100180.350109,160,33024,400000,727,70375,1,c3_14q_phys1,0,1,0,0,,50000,2000.000,2003.6480,compile,,160,,,
c3_14q_phys1-c3-phys3_prefill16-r2-1789950811,2026-09-20T17:33:31,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys3_prefill16,2,ok,,1,1,50000,1,100182400.00,100182.4000,964036667020907,964136847367067,100180.34616,160,33024,400000,745,72643,1,c3_14q_phys1,0,1,0,0,,50000,2000.000,2003.6480,compile,,160,,,
c3_14q_phys1-c3-phys4_prefill16-r-1-1789950912,2026-09-20T17:35:12,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys4_prefill16,-1,ok,,1,1,8000,1,71456.00,71.4560,964137319161506,964137390641851,71.480345,160,33024,64000,32,3558,1,c3_14q_phys1,0,1,0,0,,8000,6.000,8.9320,compile,,160,,,
c3_14q_phys1-c3-phys4_prefill16-r0-1789950912,2026-09-20T17:35:12,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys4_prefill16,0,ok,,1,1,8000,1,71456.00,71.4560,964137432578220,964137504410339,71.832119,160,33024,64000,36,3523,1,c3_14q_phys1,0,1,0,0,,8000,6.000,8.9320,compile,,160,,,
c3_14q_phys1-c3-phys4_prefill16-r1-1789950912,2026-09-20T17:35:12,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys4_prefill16,1,ok,,1,1,8000,1,71456.00,71.4560,964137546834373,964137618310088,71.475715,160,33024,64000,51,3566,1,c3_14q_phys1,0,1,0,0,,8000,6.000,8.9320,compile,,160,,,
c3_14q_phys1-c3-phys4_prefill16-r2-1789950912,2026-09-20T17:35:12,c3,build_13b440c3_20260918192735,0.001,7de69de,phys,phys4_prefill16,2,ok,,1,1,8000,1,71456.00,71.4560,964137660431099,964137731912384,71.481285,160,33024,64000,33,3573,1,c3_14q_phys1,0,1,0,0,,8000,6.000,8.9320,compile,,160,,,
c3_14q_physcal1-c3-phys1_n101000_prefill16-r-1-1789950913,2026-09-20T17:35:13,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n101000_prefill16,-1,ok,,1,1,101000,1,10468448.00,10468.4480,964138175855864,964148644225864,10468.37,160,33024,808000,729,51712,1,c3_14q_physcal1,0,1,0,0,calib block=0 seq=0,101000,100.000,103.6480,compile,101000,160,,,
c3_14q_physcal1-c3-phys1_n101000_prefill16-r0-1789950923,2026-09-20T17:35:23,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n101000_prefill16,0,ok,,1,1,101000,1,10468448.00,10468.4480,964148690462267,964159158832297,10468.37003,160,33024,808000,688,52138,1,c3_14q_physcal1,0,1,0,0,calib block=0 seq=0,101000,100.000,103.6480,compile,101000,160,,,
c3_14q_physcal1-c3-phys1_n51000_prefill16-r-1-1789950934,2026-09-20T17:35:34,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n51000_prefill16,-1,ok,,1,1,51000,1,5286048.00,5286.0480,964159636140610,964164922131759,5285.991149,160,33024,408000,445,25353,1,c3_14q_physcal1,0,1,0,0,calib block=0 seq=1,51000,100.000,103.6480,compile,51000,160,,,
c3_14q_physcal1-c3-phys1_n51000_prefill16-r0-1789950939,2026-09-20T17:35:39,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n51000_prefill16,0,ok,,1,1,51000,1,5286048.00,5286.0480,964164967290410,964170253261308,5285.970898,160,33024,408000,895,27101,1,c3_14q_physcal1,0,1,0,0,calib block=0 seq=1,51000,100.000,103.6480,compile,51000,160,,,
c3_14q_physcal1-c3-phys1_n1000_prefill16-r-1-1789950945,2026-09-20T17:35:45,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n1000_prefill16,-1,ok,,1,1,1000,1,103648.00,103.6480,964170732350390,964170835928076,103.577686,160,33024,8000,40,518,1,c3_14q_physcal1,0,1,0,0,calib block=0 seq=2,1000,100.000,103.6480,compile,1000,160,,,
c3_14q_physcal1-c3-phys1_n1000_prefill16-r0-1789950945,2026-09-20T17:35:45,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n1000_prefill16,0,ok,,1,1,1000,1,103648.00,103.6480,964170880609573,964170984441381,103.831808,160,33024,8000,35,509,1,c3_14q_physcal1,0,1,0,0,calib block=0 seq=2,1000,100.000,103.6480,compile,1000,160,,,
c3_14q_physcal1-c3-phys1_n51000_prefill16-r-1-1789950946,2026-09-20T17:35:46,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n51000_prefill16,-1,ok,,1,1,51000,1,5286048.00,5286.0480,964171408482412,964176694454950,5285.972538,160,33024,408000,436,25502,1,c3_14q_physcal1,0,1,0,0,calib block=1 seq=3,51000,100.000,103.6480,compile,51000,160,,,
c3_14q_physcal1-c3-phys1_n51000_prefill16-r0-1789950951,2026-09-20T17:35:51,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n51000_prefill16,0,ok,,1,1,51000,1,5286048.00,5286.0480,964176739361719,964182025333307,5285.971588,160,33024,408000,1338,26902,1,c3_14q_physcal1,0,1,0,0,calib block=1 seq=3,51000,100.000,103.6480,compile,51000,160,,,
c3_14q_physcal1-c3-phys1_n101000_prefill16-r-1-1789950957,2026-09-20T17:35:57,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n101000_prefill16,-1,ok,,1,1,101000,1,10468448.00,10468.4480,964182514987355,964192983361165,10468.37381,160,33024,808000,630,52568,1,c3_14q_physcal1,0,1,0,0,calib block=1 seq=4,101000,100.000,103.6480,compile,101000,160,,,
c3_14q_physcal1-c3-phys1_n101000_prefill16-r0-1789950967,2026-09-20T17:36:07,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n101000_prefill16,0,ok,,1,1,101000,1,10468448.00,10468.4480,964193028811599,964203497176249,10468.36465,160,33024,808000,501,51510,1,c3_14q_physcal1,0,1,0,0,calib block=1 seq=4,101000,100.000,103.6480,compile,101000,160,,,
c3_14q_physcal1-c3-phys1_n1000_prefill16-r-1-1789950978,2026-09-20T17:36:18,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n1000_prefill16,-1,ok,,1,1,1000,1,103648.00,103.6480,964203980817526,964204084399742,103.582216,160,33024,8000,35,511,1,c3_14q_physcal1,0,1,0,0,calib block=1 seq=5,1000,100.000,103.6480,compile,1000,160,,,
c3_14q_physcal1-c3-phys1_n1000_prefill16-r0-1789950979,2026-09-20T17:36:19,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n1000_prefill16,0,ok,,1,1,1000,1,103648.00,103.6480,964204129889727,964204233467153,103.577426,160,33024,8000,35,510,1,c3_14q_physcal1,0,1,0,0,calib block=1 seq=5,1000,100.000,103.6480,compile,1000,160,,,
c3_14q_physcal1-c3-phys1_n51000_prefill16-r-1-1789950979,2026-09-20T17:36:19,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n51000_prefill16,-1,ok,,1,1,51000,1,5286048.00,5286.0480,964204665172031,964209951144379,5285.972348,160,33024,408000,665,25659,1,c3_14q_physcal1,0,1,0,0,calib block=2 seq=6,51000,100.000,103.6480,compile,51000,160,,,
c3_14q_physcal1-c3-phys1_n51000_prefill16-r0-1789950984,2026-09-20T17:36:24,c3,build_13b440c3_20260918192735,0.001,7de69de,phys_cal,phys1_n51000_prefill16,0,ok,,1,1,51000,1,5286048.00,5286.0480,964209995607644,964215281582692,5285.975048,160,33024,408000,463,26336,1,c3_14q_physcal1,0,1,0,0,calib block=2 seq=6,51000,100.000,103.6480,compile,51000,160,,,
