run_id,wall_time,mode,bitfile,wns_ns,software_commit,workload,workload_id,repeat,status,exclusion_reason,n_circuits,shots,rps,n_active_ch,per_shot_us,qpu_ms,t_start_ns,t_end_ns,elapsed_ms,cmd_bytes_logical,cmd_bytes_transferred,readout_bytes,send_block_us_max,send_block_us_total,seamless,tag,pool_tables,n_groups,cnr,cnr_wait_cycles,note,pair_id,stop_at,cp_step,cp_ns_req,delay_actual_ns,stop_result,actual_shots,overshoot,fired_k,t_decision_ns,t_write_ns,t_event_ps_ns,latency_cycles,latency_us,stop_flags,strm_poll_us
c3_14q_stop1_warmup-c3-2-r-1-1789960456,2026-09-20T20:14:16,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,-1,ok,,1,8192,2,3,11.71,95.9611,973681848296511,973681945581914,97.285403,624,98560,393216,674,21889,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-2-r-1-1789960457,2026-09-20T20:14:17,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,-1,ok,,1,8192,2,3,11.71,95.9611,973682473866897,973682503290091,29.423194,624,98560,393216,48,4213,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,2457,819,5980,18290,FIRED,2472,15,3,973682503231851,973682503232191,973682503263071,5544,11.088,0,200
c3_14q_stop1_warmup-c3-9-r-1-1789960457,2026-09-20T20:14:17,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,-1,ok,,1,128,2,6,21.10,2.7013,973683072314853,973683075118431,2.803578,1248,196864,12288,40,747,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-9-r-1-1789960458,2026-09-20T20:14:18,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,-1,ok,,1,128,2,6,21.10,2.7013,973683715940660,973683717575836,1.635176,1248,196864,12288,45,234,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,60,12,3550,18280,FIRED,72,12,5,973683717516136,973683717516466,973683717549086,9453,18.906,0,200
c3_14q_stop1_warmup-c3-10-r-1-1789960459,2026-09-20T20:14:19,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,-1,ok,,1,32,2,8,27.36,0.8756,973684352106903,973684353092162,0.985259,1664,262400,4096,37,257,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-10-r-1-1789960459,2026-09-20T20:14:19,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,-1,ok,,1,32,2,8,27.36,0.8756,973685086077693,973685086714490,0.636797,1664,262400,4096,53,83,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,12,3,12838,51911,FIRED,18,6,4,973685086629149,973685086629489,973685086686329,13707,27.414,0,200
c3_14q_stop1_warmup-c3-19-r-1-1789960460,2026-09-20T20:14:20,c3,build_13b440c3_20260918192735,0.001,7de69de,single,19,-1,ok,,1,4096,2,14,46.42,190.1199,973685913899253,973686104817342,190.918089,3968,458752,917504,650,49234,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-19-r-1-1789960461,2026-09-20T20:14:21,c3,build_13b440c3_20260918192735,0.001,7de69de,single,19,-1,ok,,1,4096,2,14,46.42,190.1199,973687026693923,973687085247408,58.553485,3968,458752,917504,73,7915,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,1227,409,839658,2690627,FIRED,1253,26,3,973687085166137,973687085166577,973687085208428,12731,25.462,0,200
c3_14q_stop1_warmup-c3-22-r-1-1789960462,2026-09-20T20:14:22,c3,build_13b440c3_20260918192735,0.001,7de69de,single,22,-1,ok,,1,400,2,14,50.12,20.0496,973687946847786,973687967117318,20.269532,4192,458752,89600,51,5091,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-22-r-1-1789960463,2026-09-20T20:14:23,c3,build_13b440c3_20260918192735,0.001,7de69de,single,22,-1,ok,,1,400,2,14,50.12,20.0496,973688906544274,973688914033369,7.489095,4192,458752,89600,44,754,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,120,40,823382,2642417,FIRED,145,25,3,973688913954058,973688913954398,973688913997129,12035,24.07,0,200
c3_14q_stop1_warmup-c3-23-r-1-1789960464,2026-09-20T20:14:24,c3,build_13b440c3_20260918192735,0.001,7de69de,single,23,-1,ok,,1,4000,2,12,42.85,171.4080,973689696150031,973689868329073,172.179042,3136,393472,768000,686,43012,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-23-r-1-1789960465,2026-09-20T20:14:25,c3,build_13b440c3_20260918192735,0.001,7de69de,single,23,-1,ok,,1,4000,2,12,42.85,171.4080,973690703248984,973690755388995,52.140011,3136,393472,768000,52,5776,1,c3_14q_stop1_warmup,0,1,0,0,stop_campaign rep=-1,,1200,400,218474,826879,FIRED,1208,8,3,973690755318325,973690755319135,973690755359105,3710,7.42,0,200
c3_14q_stop1-c3-2-r0-1789960466,2026-09-20T20:14:26,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,0,ok,,1,8192,2,3,11.71,95.9611,973691296431997,973691325846411,29.414414,624,98560,393216,43,4127,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p0,2457,819,5980,18310,FIRED,2471,14,3,973691325791890,973691325792230,973691325822901,2085,4.17,0,200
c3_14q_stop1-c3-2-r0-1789960466,2026-09-20T20:14:26,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,0,ok,,1,8192,2,3,11.71,95.9611,973691791156995,973691888713540,97.556545,624,98560,393216,389,21334,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p0,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-2-r0-1789960467,2026-09-20T20:14:27,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,0,ok,,1,8192,2,3,11.71,95.9611,973692395231636,973692424622420,29.390784,624,98560,393216,44,4155,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p1,2457,819,5980,18300,FIRED,2469,12,3,973692424565560,973692424565870,973692424596670,3407,6.814,0,200
c3_14q_stop1-c3-2-r0-1789960467,2026-09-20T20:14:27,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,0,ok,,1,8192,2,3,11.71,95.9611,973692887657331,973692984944184,97.286853,624,98560,393216,340,20949,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p1,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-2-r0-1789960468,2026-09-20T20:14:28,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,0,ok,,1,8192,2,3,11.71,95.9611,973693462517011,973693559803684,97.286673,624,98560,393216,46,20381,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p2,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-2-r0-1789960468,2026-09-20T20:14:28,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,0,ok,,1,8192,2,3,11.71,95.9611,973694070085547,973694099730174,29.644627,624,98560,393216,82,4214,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p2,2457,819,5980,18290,FIRED,2489,32,3,973694099660993,973694099661333,973694099702744,1376,2.752,0,200
c3_14q_stop1-c3-2-r0-1789960469,2026-09-20T20:14:29,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,0,ok,,1,8192,2,3,11.71,95.9611,973694606609144,973694636233870,29.624726,624,98560,393216,43,4137,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p3,2457,819,5980,18360,FIRED,2488,31,3,973694636171409,973694636171749,973694636205550,2060,4.12,0,200
c3_14q_stop1-c3-2-r0-1789960470,2026-09-20T20:14:30,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,0,ok,,1,8192,2,3,11.71,95.9611,973695103490463,973695200963998,97.473535,624,98560,393216,480,20988,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p3,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-2-r0-1789960470,2026-09-20T20:14:30,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,0,ok,,1,8192,2,3,11.71,95.9611,973695665349423,973695762640646,97.291223,624,98560,393216,585,21306,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p4,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-2-r0-1789960471,2026-09-20T20:14:31,c3,build_13b440c3_20260918192735,0.001,7de69de,single,2,0,ok,,1,8192,2,3,11.71,95.9611,973696271615786,973696301131961,29.516175,624,98560,393216,57,4229,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p4,2457,819,5980,18260,FIRED,2479,22,3,973696301066261,973696301066601,973696301107171,4544,9.088,0,200
c3_14q_stop1-c3-9-r0-1789960471,2026-09-20T20:14:31,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,0,ok,,1,128,2,6,21.10,2.7013,973696864730248,973696867526646,2.796398,1248,196864,12288,40,731,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,9_p0,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-9-r0-1789960472,2026-09-20T20:14:32,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,0,ok,,1,128,2,6,21.10,2.7013,973697472307775,973697473960032,1.652257,1248,196864,12288,45,245,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,9_p0,60,12,3550,18260,FIRED,72,12,5,973697473888871,973697473889601,973697473933031,6306,12.612,0,200
c3_14q_stop1-c3-9-r0-1789960472,2026-09-20T20:14:32,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,0,ok,,1,128,2,6,21.10,2.7013,973698080792271,973698082551558,1.759287,1248,196864,12288,45,277,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,9_p1,60,12,3550,18230,FIRED,77,17,5,973698082483458,973698082483798,973698082526628,4590,9.18,0,200
c3_14q_stop1-c3-9-r0-1789960473,2026-09-20T20:14:33,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,0,ok,,1,128,2,6,21.10,2.7013,973698689022634,973698691822062,2.799428,1248,196864,12288,46,759,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,9_p1,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-9-r0-1789960474,2026-09-20T20:14:34,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,0,ok,,1,128,2,6,21.10,2.7013,973699301562750,973699303136846,1.574096,1248,196864,12288,44,213,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,9_p2,60,12,3550,18250,FIRED,68,8,5,973699303069455,973699303070035,973699303112926,1220,2.44,0,200
c3_14q_stop1-c3-9-r0-1789960474,2026-09-20T20:14:34,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,0,ok,,1,128,2,6,21.10,2.7013,973699916632312,973699919435850,2.803538,1248,196864,12288,38,743,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,9_p2,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-9-r0-1789960475,2026-09-20T20:14:35,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,0,ok,,1,128,2,6,21.10,2.7013,973700523943596,973700526742984,2.799388,1248,196864,12288,50,745,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,9_p3,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-9-r0-1789960475,2026-09-20T20:14:35,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,0,ok,,1,128,2,6,21.10,2.7013,973701137379471,973701138951637,1.572166,1248,196864,12288,44,260,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,9_p3,60,12,3550,18300,FIRED,68,8,5,973701138883586,973701138883926,973701138925537,2699,5.398,0,200
c3_14q_stop1-c3-9-r0-1789960476,2026-09-20T20:14:36,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,0,ok,,1,128,2,6,21.10,2.7013,973701746679425,973701749477983,2.798558,1248,196864,12288,40,684,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,9_p4,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-9-r0-1789960477,2026-09-20T20:14:37,c3,build_13b440c3_20260918192735,0.001,7de69de,single,9,0,ok,,1,128,2,6,21.10,2.7013,973702391580115,973702393245522,1.665407,1248,196864,12288,44,244,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,9_p4,60,12,3550,18200,FIRED,73,13,5,973702393176641,973702393176971,973702393218652,9370,18.74,0,200
c3_14q_stop1-c3-10-r0-1789960477,2026-09-20T20:14:37,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,0,ok,,1,32,2,8,27.36,0.8756,973703067817479,973703068460505,0.643026,1664,262400,4096,39,106,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,10_p0,12,3,12838,51912,FIRED,18,6,4,973703068396115,973703068396455,973703068433245,123,0.246,0,200
c3_14q_stop1-c3-10-r0-1789960478,2026-09-20T20:14:38,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,0,ok,,1,32,2,8,27.36,0.8756,973703755642948,973703756627118,0.98417,1664,262400,4096,62,283,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,10_p0,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-10-r0-1789960479,2026-09-20T20:14:39,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,0,ok,,1,32,2,8,27.36,0.8756,973704477628939,973704478232265,0.603326,1664,262400,4096,38,103,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,10_p1,12,3,12838,51912,FIRED,17,5,4,973704478170735,973704478171175,973704478205735,4610,9.22,0,200
c3_14q_stop1-c3-10-r0-1789960479,2026-09-20T20:14:39,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,0,ok,,1,32,2,8,27.36,0.8756,973705123999004,973705124996694,0.99769,1664,262400,4096,53,275,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,10_p1,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-10-r0-1789960480,2026-09-20T20:14:40,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,0,ok,,1,32,2,8,27.36,0.8756,973705810389089,973705811365289,0.9762,1664,262400,4096,47,275,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,10_p2,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-10-r0-1789960481,2026-09-20T20:14:41,c3,build_13b440c3_20260918192735,0.001,7de69de,single,10,0,ok,,1,32,2,8,27.36,0.8756,973706536690643,973706537346710,0.656067,1664,262400,4096,36,99,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,10_p2,12,3,12838,51920,FIRED,19,7,4,973706537278309,973706537278649,973706537318409,9328,18.656,0,200
