t,image,num_ch,mode,prefill,K,D_us,rep,status,seamless,cnr,cnr_wait_cycles,cnr_wait_us,elapsed_s,error
1789869164.931,13b440c3,14,full,all,8,0.0,0,ok,False,1,25838,51.676,0.294,
1789869165.225,13b440c3,14,full,all,8,0.0,1,ok,False,1,25788,51.576,0.293,
1789869165.518,13b440c3,14,full,all,8,0.0,2,ok,False,1,25836,51.672,0.293,
1789869165.818,13b440c3,14,full,all,8,5.0,0,ok,False,1,23361,46.722,0.293,
1789869166.11,13b440c3,14,full,all,8,5.0,1,ok,False,1,23334,46.668,0.292,
1789869166.402,13b440c3,14,full,all,8,5.0,2,ok,False,1,23097,46.194,0.292,
1789869166.7,13b440c3,14,full,all,8,10.0,0,ok,False,1,20845,41.69,0.293,
1789869166.993,13b440c3,14,full,all,8,10.0,1,ok,False,1,20723,41.446,0.29,
1789869167.283,13b440c3,14,full,all,8,10.0,2,ok,False,1,20764,41.528,0.291,
1789869167.58,13b440c3,14,full,all,8,15.0,0,ok,False,1,17988,35.976,0.29,
1789869167.87,13b440c3,14,full,all,8,15.0,1,ok,False,1,18291,36.582,0.292,
1789869168.162,13b440c3,14,full,all,8,15.0,2,ok,False,1,18289,36.578,0.288,
1789869168.457,13b440c3,14,full,all,8,20.0,0,ok,False,1,15761,31.522,0.292,
1789869168.749,13b440c3,14,full,all,8,20.0,1,ok,False,1,15841,31.682,0.295,
1789869169.044,13b440c3,14,full,all,8,20.0,2,ok,False,1,15742,31.484,0.288,
1789869169.338,13b440c3,14,full,all,8,25.0,0,ok,False,1,12951,25.902,0.292,
1789869169.63,13b440c3,14,full,all,8,25.0,1,ok,False,1,13345,26.69,0.292,
1789869169.921,13b440c3,14,full,all,8,25.0,2,ok,False,1,13273,26.546,0.294,
1789869170.221,13b440c3,14,full,all,8,30.0,0,ok,False,1,10709,21.418,0.293,
1789869170.514,13b440c3,14,full,all,8,30.0,1,ok,False,1,10841,21.682,0.291,
1789869170.805,13b440c3,14,full,all,8,30.0,2,ok,False,1,10710,21.42,0.289,
1789869171.1,13b440c3,14,full,all,8,35.0,0,ok,False,1,8319,16.638,0.296,
1789869171.395,13b440c3,14,full,all,8,35.0,1,ok,False,1,8224,16.448,0.291,
1789869171.687,13b440c3,14,full,all,8,35.0,2,ok,False,1,8338,16.676,0.291,
1789869171.984,13b440c3,14,full,all,8,40.0,0,ok,False,1,5706,11.412,0.294,
1789869172.278,13b440c3,14,full,all,8,40.0,1,ok,False,1,5841,11.682,0.292,
1789869172.569,13b440c3,14,full,all,8,40.0,2,ok,False,1,5793,11.586,0.294,
1789869172.87,13b440c3,14,full,all,8,45.0,0,ok,False,1,3290,6.58,0.291,
1789869173.161,13b440c3,14,full,all,8,45.0,1,ok,False,1,3331,6.662,0.288,
1789869173.45,13b440c3,14,full,all,8,45.0,2,ok,False,1,3293,6.586,0.293,
1789869173.748,13b440c3,14,full,all,8,50.0,0,ok,False,1,844,1.688,0.29,
1789869174.038,13b440c3,14,full,all,8,50.0,1,ok,False,1,848,1.696,0.29,
1789869174.328,13b440c3,14,full,all,8,50.0,2,ok,False,1,793,1.586,0.286,
1789869174.62,13b440c3,14,full,all,8,55.0,0,ok,True,0,1,0.002,0.29,
1789869174.91,13b440c3,14,full,all,8,55.0,1,ok,True,0,1,0.002,0.29,
1789869175.2,13b440c3,14,full,all,8,55.0,2,ok,True,0,1,0.002,0.294,
1789869175.499,13b440c3,14,full,all,8,60.0,0,ok,True,0,1,0.002,0.289,
1789869175.788,13b440c3,14,full,all,8,60.0,1,ok,True,0,1,0.002,0.287,
1789869176.075,13b440c3,14,full,all,8,60.0,2,ok,True,0,1,0.002,0.29,
1789869176.371,13b440c3,14,full,all,8,70.0,0,ok,True,0,1,0.002,0.292,
1789869176.662,13b440c3,14,full,all,8,70.0,1,ok,True,0,1,0.002,0.29,
1789869176.953,13b440c3,14,full,all,8,70.0,2,ok,True,0,1,0.002,0.289,
1789869177.248,13b440c3,14,full,all,8,80.0,0,ok,True,0,1,0.002,0.288,
1789869177.536,13b440c3,14,full,all,8,80.0,1,ok,True,0,1,0.002,0.287,
1789869177.823,13b440c3,14,full,all,8,80.0,2,ok,True,0,1,0.002,0.29,
1789869178.118,13b440c3,14,full,all,8,100.0,0,ok,True,0,1,0.002,0.288,
1789869178.406,13b440c3,14,full,all,8,100.0,1,ok,True,0,1,0.002,0.287,
1789869178.693,13b440c3,14,full,all,8,100.0,2,ok,True,0,1,0.002,0.289,
1789869178.988,13b440c3,14,full,all,8,52.5,0,ok,True,0,1,0.002,0.291,
1789869179.279,13b440c3,14,full,all,8,52.5,1,ok,True,0,1,0.002,0.291,
1789869179.57,13b440c3,14,full,all,8,52.5,2,ok,True,0,1,0.002,0.288,
1789869179.864,13b440c3,14,full,all,8,51.2,0,ok,False,1,171,0.342,0.291,
1789869180.155,13b440c3,14,full,all,8,51.2,1,ok,False,1,112,0.224,0.291,
1789869180.446,13b440c3,14,full,all,8,51.2,2,ok,False,1,189,0.378,0.288,
1789869180.74,13b440c3,14,full,all,8,51.9,0,ok,True,0,1,0.002,0.289,
1789869181.029,13b440c3,14,full,all,8,51.9,1,ok,True,0,1,0.002,0.29,
1789869181.319,13b440c3,14,full,all,8,51.9,2,ok,True,0,1,0.002,0.291,
1789869181.61,13b440c3,14,full,0,8,0.0,0,ok,False,1,25846,51.692,0.294,
1789869181.905,13b440c3,14,full,0,8,0.0,1,ok,False,1,26539,53.078,0.289,
1789869182.194,13b440c3,14,full,0,8,0.0,2,ok,False,1,26055,52.11,0.291,
1789869182.485,13b440c3,14,full,0,8,5.0,0,ok,False,1,22956,45.912,0.291,
1789869182.776,13b440c3,14,full,0,8,5.0,1,ok,False,1,23648,47.296,0.288,
1789869183.064,13b440c3,14,full,0,8,5.0,2,ok,False,1,23588,47.176,0.289,
1789869183.353,13b440c3,14,full,0,8,10.0,0,ok,False,1,20766,41.532,0.295,
1789869183.648,13b440c3,14,full,0,8,10.0,1,ok,False,1,20840,41.68,0.292,
1789869183.94,13b440c3,14,full,0,8,10.0,2,ok,False,1,20781,41.562,0.29,
1789869184.23,13b440c3,14,full,0,8,15.0,0,ok,False,1,18089,36.178,0.29,
1789869184.521,13b440c3,14,full,0,8,15.0,1,ok,False,1,17992,35.984,0.292,
1789869184.813,13b440c3,14,full,0,8,15.0,2,ok,False,1,18373,36.746,0.291,
1789869185.105,13b440c3,14,full,0,8,20.0,0,ok,False,1,15758,31.516,0.291,
1789869185.396,13b440c3,14,full,0,8,20.0,1,ok,False,1,15687,31.374,0.289,
1789869185.685,13b440c3,14,full,0,8,20.0,2,ok,False,1,15659,31.318,0.291,
1789869185.976,13b440c3,14,full,0,8,25.0,0,ok,False,1,13320,26.64,0.291,
1789869186.267,13b440c3,14,full,0,8,25.0,1,ok,False,1,13306,26.612,0.294,
1789869186.561,13b440c3,14,full,0,8,25.0,2,ok,False,1,13293,26.586,0.293,
1789869186.854,13b440c3,14,full,0,8,30.0,0,ok,False,1,10778,21.556,0.291,
1789869187.146,13b440c3,14,full,0,8,30.0,1,ok,False,1,10857,21.714,0.292,
1789869187.437,13b440c3,14,full,0,8,30.0,2,ok,False,1,10697,21.394,0.287,
1789869187.725,13b440c3,14,full,0,8,35.0,0,ok,False,1,8276,16.552,0.289,
1789869188.014,13b440c3,14,full,0,8,35.0,1,ok,False,1,8340,16.68,0.291,
1789869188.305,13b440c3,14,full,0,8,35.0,2,ok,False,1,8352,16.704,0.29,
1789869188.595,13b440c3,14,full,0,8,40.0,0,ok,False,1,5691,11.382,0.29,
1789869188.885,13b440c3,14,full,0,8,40.0,1,ok,False,1,5841,11.682,0.29,
1789869189.175,13b440c3,14,full,0,8,40.0,2,ok,False,1,5845,11.69,0.288,
1789869189.463,13b440c3,14,full,0,8,45.0,0,ok,False,1,3009,6.018,0.29,
1789869189.754,13b440c3,14,full,0,8,45.0,1,ok,False,1,3320,6.64,0.287,
1789869190.041,13b440c3,14,full,0,8,45.0,2,ok,False,1,3348,6.696,0.29,
1789869190.331,13b440c3,14,full,0,8,50.0,0,ok,False,1,586,1.172,0.293,
1789869190.624,13b440c3,14,full,0,8,50.0,1,ok,False,1,849,1.698,0.293,
1789869190.917,13b440c3,14,full,0,8,50.0,2,ok,False,1,706,1.412,0.289,
1789869191.206,13b440c3,14,full,0,8,55.0,0,ok,False,1,1,0.002,0.29,
1789869191.497,13b440c3,14,full,0,8,55.0,1,ok,False,1,1,0.002,0.294,
1789869191.79,13b440c3,14,full,0,8,55.0,2,ok,False,1,1,0.002,0.292,
1789869192.082,13b440c3,14,full,0,8,60.0,0,ok,False,1,1,0.002,0.288,
1789869192.371,13b440c3,14,full,0,8,60.0,1,ok,False,1,1,0.002,0.291,
1789869192.662,13b440c3,14,full,0,8,60.0,2,ok,False,1,1,0.002,0.289,
1789869192.951,13b440c3,14,full,0,8,70.0,0,ok,False,1,1,0.002,0.293,
