t,image,num_ch,mode,prefill,K,D_us,rep,status,seamless,cnr,cnr_wait_cycles,cnr_wait_us,elapsed_s,error
1789869498.04,c26942c0,8,full,all,8,0.0,0,ok,False,1,14387,28.774,0.317,
1789869498.357,c26942c0,8,full,all,8,0.0,1,ok,False,1,14384,28.768,0.207,
1789869498.564,c26942c0,8,full,all,8,0.0,2,ok,False,1,14385,28.77,0.213,
1789869498.781,c26942c0,8,full,all,8,5.0,0,ok,False,1,11861,23.722,0.212,
1789869498.992,c26942c0,8,full,all,8,5.0,1,ok,False,1,11855,23.71,0.212,
1789869499.205,c26942c0,8,full,all,8,5.0,2,ok,False,1,11774,23.548,0.213,
1789869499.421,c26942c0,8,full,all,8,10.0,0,ok,False,1,9123,18.246,0.212,
1789869499.633,c26942c0,8,full,all,8,10.0,1,ok,False,1,9399,18.798,0.213,
1789869499.846,c26942c0,8,full,all,8,10.0,2,ok,False,1,9388,18.776,0.212,
1789869500.061,c26942c0,8,full,all,8,15.0,0,ok,False,1,6890,13.78,0.213,
1789869500.274,c26942c0,8,full,all,8,15.0,1,ok,False,1,6891,13.782,0.212,
1789869500.486,c26942c0,8,full,all,8,15.0,2,ok,False,1,6851,13.702,0.213,
1789869500.703,c26942c0,8,full,all,8,20.0,0,ok,False,1,4144,8.288,0.213,
1789869500.915,c26942c0,8,full,all,8,20.0,1,ok,False,1,4360,8.72,0.212,
1789869501.127,c26942c0,8,full,all,8,20.0,2,ok,False,1,4129,8.258,0.212,
1789869501.343,c26942c0,8,full,all,8,25.0,0,ok,False,1,1887,3.774,0.212,
1789869501.555,c26942c0,8,full,all,8,25.0,1,ok,False,1,1820,3.64,0.211,
1789869501.767,c26942c0,8,full,all,8,25.0,2,ok,False,1,1886,3.772,0.212,
1789869501.982,c26942c0,8,full,all,8,30.0,0,ok,True,0,1,0.002,0.212,
1789869502.194,c26942c0,8,full,all,8,30.0,1,ok,True,0,1,0.002,0.213,
1789869502.407,c26942c0,8,full,all,8,30.0,2,ok,True,0,1,0.002,0.212,
1789869502.624,c26942c0,8,full,all,8,35.0,0,ok,True,0,1,0.002,0.212,
1789869502.836,c26942c0,8,full,all,8,35.0,1,ok,True,0,1,0.002,0.21,
1789869503.046,c26942c0,8,full,all,8,35.0,2,ok,True,0,1,0.002,0.211,
1789869503.261,c26942c0,8,full,all,8,40.0,0,ok,True,0,1,0.002,0.212,
1789869503.472,c26942c0,8,full,all,8,40.0,1,ok,True,0,1,0.002,0.21,
1789869503.683,c26942c0,8,full,all,8,40.0,2,ok,True,0,1,0.002,0.209,
1789869503.896,c26942c0,8,full,all,8,45.0,0,ok,True,0,1,0.002,0.21,
1789869504.106,c26942c0,8,full,all,8,45.0,1,ok,True,0,1,0.002,0.21,
1789869504.316,c26942c0,8,full,all,8,45.0,2,ok,True,0,1,0.002,0.204,
1789869504.524,c26942c0,8,full,all,8,50.0,0,ok,True,0,1,0.002,0.199,
1789869504.723,c26942c0,8,full,all,8,50.0,1,ok,True,0,1,0.002,0.202,
1789869504.925,c26942c0,8,full,all,8,50.0,2,ok,True,0,1,0.002,0.206,
1789869505.135,c26942c0,8,full,all,8,55.0,0,ok,True,0,1,0.002,0.21,
1789869505.345,c26942c0,8,full,all,8,55.0,1,ok,True,0,1,0.002,0.21,
1789869505.554,c26942c0,8,full,all,8,55.0,2,ok,True,0,1,0.002,0.21,
1789869505.768,c26942c0,8,full,all,8,60.0,0,ok,True,0,1,0.002,0.208,
1789869505.976,c26942c0,8,full,all,8,60.0,1,ok,True,0,1,0.002,0.211,
1789869506.187,c26942c0,8,full,all,8,60.0,2,ok,True,0,1,0.002,0.21,
1789869506.401,c26942c0,8,full,all,8,70.0,0,ok,True,0,1,0.002,0.254,
1789869506.654,c26942c0,8,full,all,8,70.0,1,ok,True,0,1,0.002,0.208,
1789869506.862,c26942c0,8,full,all,8,70.0,2,ok,True,0,1,0.002,0.211,
1789869507.077,c26942c0,8,full,all,8,80.0,0,ok,True,0,1,0.002,0.209,
1789869507.285,c26942c0,8,full,all,8,80.0,1,ok,True,0,1,0.002,0.211,
1789869507.496,c26942c0,8,full,all,8,80.0,2,ok,True,0,1,0.002,0.211,
1789869507.71,c26942c0,8,full,all,8,100.0,0,ok,True,0,1,0.002,0.21,
1789869507.921,c26942c0,8,full,all,8,100.0,1,ok,True,0,1,0.002,0.209,
1789869508.13,c26942c0,8,full,all,8,100.0,2,ok,True,0,1,0.002,0.209,
1789869508.342,c26942c0,8,full,all,8,27.5,0,ok,False,1,616,1.232,0.21,
1789869508.552,c26942c0,8,full,all,8,27.5,1,ok,False,1,649,1.298,0.21,
1789869508.762,c26942c0,8,full,all,8,27.5,2,ok,False,1,640,1.28,0.211,
1789869508.976,c26942c0,8,full,all,8,28.8,0,ok,True,0,1,0.002,0.211,
1789869509.187,c26942c0,8,full,all,8,28.8,1,ok,False,1,11,0.022,0.211,
1789869509.398,c26942c0,8,full,all,8,28.8,2,ok,False,1,1,0.002,0.209,
1789869509.611,c26942c0,8,full,all,8,29.4,0,ok,True,0,1,0.002,0.21,
1789869509.821,c26942c0,8,full,all,8,29.4,1,ok,True,0,1,0.002,0.208,
1789869510.029,c26942c0,8,full,all,8,29.4,2,ok,True,0,1,0.002,0.21,
1789869510.24,c26942c0,8,full,0,8,0.0,0,ok,False,1,27726,55.452,0.21,
1789869510.45,c26942c0,8,full,0,8,0.0,1,ok,False,1,19967,39.934,0.21,
1789869510.66,c26942c0,8,full,0,8,0.0,2,ok,False,1,17644,35.288,0.21,
1789869510.87,c26942c0,8,full,0,8,5.0,0,ok,False,1,15375,30.75,0.211,
1789869511.081,c26942c0,8,full,0,8,5.0,1,ok,False,1,17098,34.196,0.211,
1789869511.292,c26942c0,8,full,0,8,5.0,2,ok,False,1,15066,30.132,0.21,
1789869511.502,c26942c0,8,full,0,8,10.0,0,ok,False,1,12321,24.642,0.21,
1789869511.712,c26942c0,8,full,0,8,10.0,1,ok,False,1,13250,26.5,0.21,
1789869511.922,c26942c0,8,full,0,8,10.0,2,ok,False,1,11805,23.61,0.207,
1789869512.129,c26942c0,8,full,0,8,15.0,0,ok,False,1,9665,19.33,0.209,
1789869512.339,c26942c0,8,full,0,8,15.0,1,ok,False,1,8698,17.396,0.211,
