batch,K,mask,outcome,seamless,last_boundary_wait_cycles,note
0,3,fe,ok,0,1,
1,3,7f,ok,0,1,
2,3,00,ok,0,23521,
3,3,fe,ok,0,1,
4,3,7f,ok,0,1,
5,3,00,ok,0,23481,
6,3,fe,ok,0,1,
7,3,7f,ok,0,1,
8,3,00,ok,0,23352,
9,3,fe,ok,0,1,
10,3,7f,ok,0,1,
11,3,00,ok,0,23471,
12,3,fe,ok,0,1,
13,3,7f,ok,0,1,
14,3,00,ok,0,23218,
15,3,fe,ok,0,1,
16,3,7f,ok,0,1,
17,3,00,ok,0,23486,
18,3,fe,ok,0,1,
19,3,7f,ok,0,1,
20,3,00,ok,0,23355,
21,3,fe,ok,0,1,
22,3,7f,ok,0,1,
23,3,00,ok,0,23510,
24,3,fe,ok,0,1,
25,3,7f,ok,0,1,
26,3,00,ok,0,23449,
27,3,fe,ok,0,1,
28,3,7f,ok,0,1,
29,3,00,ok,0,23298,
30,3,fe,ok,0,1,
31,3,7f,ok,0,1,
32,3,00,ok,0,23440,
33,3,fe,ok,0,1,
34,3,7f,ok,0,1,
35,3,00,ok,0,23437,
36,3,fe,ok,0,1,
37,3,7f,ok,0,1,
38,3,00,ok,0,23453,
39,3,fe,ok,0,1,
40,3,7f,ok,0,1,
41,3,00,ok,0,23439,
42,3,fe,ok,0,1,
43,3,7f,ok,0,1,
44,3,00,ok,0,23497,
45,3,fe,ok,0,1,
46,3,7f,ok,0,1,
47,3,00,ok,0,23506,
48,3,fe,ok,0,1,
49,3,7f,ok,0,1,
50,3,00,ok,0,23506,
51,3,fe,ok,0,1,
52,3,7f,ok,0,1,
53,3,00,ok,0,23504,
54,3,fe,ok,0,1,
55,3,7f,ok,0,1,
56,3,00,ok,0,23497,
57,3,fe,ok,0,1,
58,3,7f,ok,0,1,
59,3,00,ok,0,23451,
60,3,fe,ok,0,1,
61,3,7f,ok,0,1,
62,3,00,ok,0,23170,
63,3,fe,ok,0,1,
64,3,7f,ok,0,1,
65,3,00,ok,0,23160,
66,3,fe,ok,0,1,
67,3,7f,ok,0,1,
68,3,00,ok,0,23449,
69,3,fe,ok,0,1,
70,3,7f,ok,0,1,
71,3,00,ok,0,23203,
72,3,fe,ok,0,1,
73,3,7f,ok,0,1,
74,3,00,ok,0,23494,
75,3,fe,ok,0,1,
76,3,7f,ok,0,1,
77,3,00,ok,0,23408,
78,3,fe,ok,0,1,
79,3,7f,ok,0,1,
80,3,00,ok,0,23410,
81,3,fe,ok,0,1,
82,3,7f,ok,0,1,
83,3,00,ok,0,23477,
84,3,fe,ok,0,1,
85,3,7f,ok,0,1,
86,3,00,ok,0,23505,
87,3,fe,ok,0,1,
88,3,7f,ok,0,1,
89,3,00,ok,0,23438,
90,3,fe,ok,0,1,
91,3,7f,ok,0,1,
92,3,00,ok,0,23223,
93,3,fe,ok,0,1,
94,3,7f,ok,0,1,
95,3,00,ok,0,23150,
96,3,fe,ok,0,1,
97,3,7f,ok,0,1,
98,3,00,ok,0,23224,
99,3,fe,ok,0,1,
100,3,7f,ok,0,1,
101,3,00,ok,0,23218,
102,3,fe,ok,0,1,
103,3,7f,ok,0,1,
104,3,00,ok,0,23440,
105,3,fe,ok,0,1,
106,3,7f,ok,0,1,
107,3,00,ok,0,23504,
108,3,fe,ok,0,1,
109,3,7f,ok,0,1,
110,3,00,ok,0,23449,
111,3,fe,ok,0,1,
112,3,7f,ok,0,1,
113,3,00,ok,0,23440,
114,3,fe,ok,0,1,
115,3,7f,ok,0,1,
116,3,00,ok,0,23440,
117,3,fe,ok,0,1,
118,3,7f,ok,0,1,
119,3,00,ok,0,23236,
120,3,fe,ok,0,1,
121,3,7f,ok,0,1,
122,3,00,ok,0,23085,
123,3,fe,ok,0,1,
124,3,7f,ok,0,1,
125,3,00,ok,0,23438,
126,3,fe,ok,0,1,
127,3,7f,ok,0,1,
128,3,00,ok,0,23437,
129,3,fe,ok,0,1,
130,3,7f,ok,0,1,
131,3,00,ok,0,23436,
132,3,fe,ok,0,1,
133,3,7f,ok,0,1,
134,3,00,ok,0,23504,
135,3,fe,ok,0,1,
136,3,7f,ok,0,1,
137,3,00,ok,0,23505,
138,3,fe,ok,0,1,
139,3,7f,ok,0,1,
140,3,00,ok,0,23501,
141,3,fe,ok,0,1,
142,3,7f,ok,0,1,
143,3,00,ok,0,23503,
144,3,fe,ok,0,1,
145,3,7f,ok,0,1,
146,3,00,ok,0,23511,
147,3,fe,ok,0,1,
148,3,7f,ok,0,1,
149,3,00,ok,0,23453,
150,3,fe,ok,0,1,
151,3,7f,ok,0,1,
152,3,00,ok,0,23219,
153,3,fe,ok,0,1,
154,3,7f,ok,0,1,
155,3,00,ok,0,23429,
156,3,fe,ok,0,1,
157,3,7f,ok,0,1,
158,3,00,ok,0,23453,
159,3,fe,ok,0,1,
160,3,7f,ok,0,1,
161,3,00,ok,0,23345,
162,3,fe,ok,0,1,
163,3,7f,ok,0,1,
164,3,00,ok,0,23449,
165,3,fe,ok,0,1,
166,3,7f,ok,0,1,
167,3,00,ok,0,23497,
168,3,fe,ok,0,1,
169,3,7f,ok,0,1,
170,3,00,ok,0,23450,
171,3,fe,ok,0,1,
172,3,7f,ok,0,1,
173,3,00,ok,0,23177,
174,3,fe,ok,0,1,
175,3,7f,ok,0,1,
176,3,00,ok,0,23504,
177,3,fe,ok,0,1,
178,3,7f,ok,0,1,
179,3,00,ok,0,23343,
180,3,fe,ok,0,1,
181,3,7f,ok,0,1,
182,3,00,ok,0,23440,
183,3,fe,ok,0,1,
184,3,7f,ok,0,1,
185,3,00,ok,0,23518,
186,3,fe,ok,0,1,
187,3,7f,ok,0,1,
188,3,00,ok,0,23178,
189,3,fe,ok,0,1,
190,3,7f,ok,0,1,
191,3,00,ok,0,23508,
192,3,fe,ok,0,1,
193,3,7f,ok,0,1,
194,3,00,ok,0,23419,
195,3,fe,ok,0,1,
196,3,7f,ok,0,1,
197,3,00,ok,0,23504,
198,3,fe,ok,0,1,
199,3,7f,ok,0,1,
200,3,00,ok,0,23453,
201,3,fe,ok,0,1,
202,3,7f,ok,0,1,
203,3,00,ok,0,23435,
204,3,fe,ok,0,1,
205,3,7f,ok,0,1,
206,3,00,ok,0,23449,
207,3,fe,ok,0,1,
208,3,7f,ok,0,1,
209,3,00,ok,0,23251,
210,3,fe,ok,0,1,
211,3,7f,ok,0,1,
212,3,00,ok,0,23515,
213,3,fe,ok,0,1,
214,3,7f,ok,0,1,
215,3,00,ok,0,23177,
216,3,fe,ok,0,1,
217,3,7f,ok,0,1,
218,3,00,ok,0,23279,
219,3,fe,ok,0,1,
220,3,7f,ok,0,1,
221,3,00,ok,0,23513,
222,3,fe,ok,0,1,
223,3,7f,ok,0,1,
224,3,00,ok,0,23224,
225,3,fe,ok,0,1,
226,3,7f,ok,0,1,
227,3,00,ok,0,23345,
228,3,fe,ok,0,1,
229,3,7f,ok,0,1,
230,3,00,ok,0,23351,
231,3,fe,ok,0,1,
232,3,7f,ok,0,1,
233,3,00,ok,0,23526,
234,3,fe,ok,0,1,
235,3,7f,ok,0,1,
236,3,00,ok,0,23500,
237,3,fe,ok,0,1,
238,3,7f,ok,0,1,
239,3,00,ok,0,23357,
240,3,fe,ok,0,1,
241,3,7f,ok,0,1,
242,3,00,ok,0,23454,
243,3,fe,ok,0,1,
244,3,7f,ok,0,1,
245,3,00,ok,0,23454,
246,3,fe,ok,0,1,
247,3,7f,ok,0,1,
248,3,00,ok,0,23493,
249,3,fe,ok,0,1,
250,3,7f,ok,0,1,
251,3,00,ok,0,23178,
252,3,fe,ok,0,1,
253,3,7f,ok,0,1,
254,3,00,ok,0,23516,
255,3,fe,ok,0,1,
256,3,7f,ok,0,1,
257,3,00,ok,0,23224,
258,3,fe,ok,0,1,
259,3,7f,ok,0,1,
260,3,00,ok,0,23437,
261,3,fe,ok,0,1,
262,3,7f,ok,0,1,
263,3,00,ok,0,23504,
264,3,fe,ok,0,1,
265,3,7f,ok,0,1,
266,3,00,ok,0,23342,
267,3,fe,ok,0,1,
268,3,7f,ok,0,1,
269,3,00,ok,0,23437,
270,3,fe,ok,0,1,
271,3,7f,ok,0,1,
272,3,00,ok,0,23513,
273,3,fe,ok,0,1,
274,3,7f,ok,0,1,
275,3,00,ok,0,23496,
276,3,fe,ok,0,1,
277,3,7f,ok,0,1,
278,3,00,ok,0,23451,
279,3,fe,ok,0,1,
280,3,7f,ok,0,1,
281,3,00,ok,0,23440,
282,3,fe,ok,0,1,
283,3,7f,ok,0,1,
284,3,00,ok,0,23504,
285,3,fe,ok,0,1,
286,3,7f,ok,0,1,
287,3,00,ok,0,23284,
288,3,fe,ok,0,1,
289,3,7f,ok,0,1,
290,3,00,ok,0,23343,
291,3,fe,ok,0,1,
292,3,7f,ok,0,1,
293,3,00,ok,0,23189,
294,3,fe,ok,0,1,
295,3,7f,ok,0,1,
296,3,00,ok,0,23453,
297,3,fe,ok,0,1,
298,3,7f,ok,0,1,
299,3,00,ok,0,23326,
300,3,fe,ok,0,1,
301,3,7f,ok,0,1,
302,3,00,ok,0,23424,
303,3,fe,ok,0,1,
304,3,7f,ok,0,1,
305,3,00,ok,0,23434,
306,3,fe,ok,0,1,
307,3,7f,ok,0,1,
308,3,00,ok,0,23226,
309,3,fe,ok,0,1,
310,3,7f,ok,0,1,
311,3,00,ok,0,23449,
312,3,fe,ok,0,1,
313,3,7f,ok,0,1,
314,3,00,ok,0,23440,
315,3,fe,ok,0,1,
316,3,7f,ok,0,1,
317,3,00,ok,0,23484,
318,3,fe,ok,0,1,
319,3,7f,ok,0,1,
320,3,00,ok,0,23439,
321,3,fe,ok,0,1,
322,3,7f,ok,0,1,
323,3,00,ok,0,23512,
324,3,fe,ok,0,1,
325,3,7f,ok,0,1,
326,3,00,ok,0,23500,
327,3,fe,ok,0,1,
328,3,7f,ok,0,1,
329,3,00,ok,0,23434,
330,3,fe,ok,0,1,
331,3,7f,ok,0,1,
332,3,00,ok,0,23506,
333,3,fe,ok,0,1,
334,3,7f,ok,0,1,
335,3,00,ok,0,23502,
336,3,fe,ok,0,1,
337,3,7f,ok,0,1,
338,3,00,ok,0,23494,
339,3,fe,ok,0,1,
340,3,7f,ok,0,1,
341,3,00,ok,0,23440,
342,3,fe,ok,0,1,
343,3,7f,ok,0,1,
344,3,00,ok,0,23438,
345,3,fe,ok,0,1,
346,3,7f,ok,0,1,
347,3,00,ok,0,23492,
348,3,fe,ok,0,1,
349,3,7f,ok,0,1,
350,3,00,ok,0,23482,
351,3,fe,ok,0,1,
352,3,7f,ok,0,1,
353,3,00,ok,0,23452,
354,3,fe,ok,0,1,
355,3,7f,ok,0,1,
