seq,exp,block,count
0,vion_1,0,101000
1,vion_1,0,51000
2,vion_1,0,1000
3,vion_1,1,51000
4,vion_1,1,101000
5,vion_1,1,1000
6,vion_1,2,51000
7,vion_1,2,1000
8,vion_1,2,101000
9,yan_3,0,3970
10,yan_3,0,1000
11,yan_3,0,6941
12,yan_3,1,3970
13,yan_3,1,6941
14,yan_3,1,1000
15,yan_3,2,6941
16,yan_3,2,1000
17,yan_3,2,3970
18,riste_4,0,231769
19,riste_4,0,462539
20,riste_4,0,1000
21,riste_4,1,1000
22,riste_4,1,231769
23,riste_4,1,462539
24,riste_4,2,1000
25,riste_4,2,231769
26,riste_4,2,462539
