run_id,tag,workload_id,repeat,group_index,n_groups,cnr,cnr_wait_cycles,status
c3_gate_real1-c3-1-r-1-1788143495,c3_gate_real1,1,-1,0,1,0,0,ok
c3_gate_real1-c3-1-r0-1788143495,c3_gate_real1,1,0,0,1,0,0,ok
c3_gate_real1-c3-5-r-1-1788143495,c3_gate_real1,5,-1,0,1,0,0,ok
c3_gate_real1-c3-5-r0-1788143495,c3_gate_real1,5,0,0,1,0,0,ok
c3_gate_real1-c3-gate_bell_ghz3-r0-1788143496,c3_gate_real1,gate_bell_ghz3,0,0,2,0,0,ok
c3_gate_real1-c3-gate_bell_ghz3-r0-1788143496,c3_gate_real1,gate_bell_ghz3,0,1,2,0,0,ok
c3_gate_real1-c3-gate_bell_ghz3-r1-1788143496,c3_gate_real1,gate_bell_ghz3,1,0,2,0,0,ok
c3_gate_real1-c3-gate_bell_ghz3-r1-1788143496,c3_gate_real1,gate_bell_ghz3,1,1,2,0,0,ok
c3_14q_real1-c3-1-r-1-1788143625,c3_14q_real1,1,-1,0,1,0,0,ok
c3_14q_real1-c3-1-r0-1788143625,c3_14q_real1,1,0,0,1,0,0,ok
c3_14q_real1-c3-1-r1-1788143625,c3_14q_real1,1,1,0,1,0,0,ok
c3_14q_real1-c3-1-r2-1788143626,c3_14q_real1,1,2,0,1,0,0,ok
c3_14q_real1-c3-1-r3-1788143626,c3_14q_real1,1,3,0,1,0,0,ok
c3_14q_real1-c3-1-r4-1788143626,c3_14q_real1,1,4,0,1,0,0,ok
c3_14q_real1-c3-2-r-1-1788143627,c3_14q_real1,2,-1,0,1,0,0,ok
c3_14q_real1-c3-2-r0-1788143627,c3_14q_real1,2,0,0,1,0,0,ok
c3_14q_real1-c3-2-r1-1788143627,c3_14q_real1,2,1,0,1,0,0,ok
c3_14q_real1-c3-2-r2-1788143627,c3_14q_real1,2,2,0,1,0,0,ok
c3_14q_real1-c3-2-r3-1788143627,c3_14q_real1,2,3,0,1,0,0,ok
c3_14q_real1-c3-2-r4-1788143628,c3_14q_real1,2,4,0,1,0,0,ok
c3_14q_real1-c3-3-r-1-1788143628,c3_14q_real1,3,-1,0,1,0,0,ok
c3_14q_real1-c3-3-r0-1788143628,c3_14q_real1,3,0,0,1,0,0,ok
c3_14q_real1-c3-3-r1-1788143628,c3_14q_real1,3,1,0,1,0,0,ok
c3_14q_real1-c3-3-r2-1788143628,c3_14q_real1,3,2,0,1,0,0,ok
c3_14q_real1-c3-3-r3-1788143629,c3_14q_real1,3,3,0,1,0,0,ok
c3_14q_real1-c3-3-r4-1788143629,c3_14q_real1,3,4,0,1,0,0,ok
c3_14q_real1-c3-4-r-1-1788143629,c3_14q_real1,4,-1,0,1,0,0,ok
c3_14q_real1-c3-4-r0-1788143629,c3_14q_real1,4,0,0,1,0,0,ok
