run_id,wall_time,mode,bitfile,wns_ns,software_commit,workload,workload_id,repeat,status,exclusion_reason,n_circuits,shots,rps,n_active_ch,per_shot_us,qpu_ms,t_start_ns,t_end_ns,elapsed_ms,cmd_bytes_logical,cmd_bytes_transferred,readout_bytes,send_block_us_max,send_block_us_total,seamless,tag,pool_tables,n_groups,cnr,cnr_wait_cycles,note,loop_n,interval_us,period_us,period_src,calib_n,cmd_bytes_max,n_units,n_segments,seg_dur_us
EA1_p0a-rpc-phys102_prefill16-r0-1789710116,2026-09-17T22:41:56,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys102_prefill16,0,ok,,1,1,20000,1,10026800.00,10026.8000,1789710116159389024,1789710126325655180,10166.266156,128,,160000,,,,EA1_p0a,0,,,,,20000,500.000,501.3400,compile,,128,,,
EA1_p0a-rpc-phys103_prefill16-r0-1789710126,2026-09-17T22:42:06,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys103_prefill16,0,ok,,1,1,20000,1,10028240.00,10028.2400,1789710126349427116,1789710136514638874,10165.211758,160,,160000,,,,EA1_p0a,0,,,,,20000,500.000,501.4120,compile,,160,,,
EA1_fringe-rpc-phys200_prefill16-r0-1789710136,2026-09-17T22:42:16,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys200_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710136973204963,1789710138035299862,1062.094899,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys201_prefill16-r0-1789710138,2026-09-17T22:42:18,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys201_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710138040812605,1789710139101505292,1060.692687,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys202_prefill16-r0-1789710139,2026-09-17T22:42:19,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys202_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710139107006223,1789710140168074629,1061.068406,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys203_prefill16-r0-1789710140,2026-09-17T22:42:20,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys203_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710140173709152,1789710141234926688,1061.217536,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys204_prefill16-r0-1789710141,2026-09-17T22:42:21,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys204_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710141240168521,1789710142300805876,1060.637355,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys205_prefill16-r0-1789710142,2026-09-17T22:42:22,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys205_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710142306193133,1789710143366113679,1059.920546,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys206_prefill16-r0-1789710143,2026-09-17T22:42:23,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys206_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710143371248148,1789710144433383949,1062.135801,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys207_prefill16-r0-1789710144,2026-09-17T22:42:24,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys207_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710144438572541,1789710145498116788,1059.544247,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys208_prefill16-r0-1789710145,2026-09-17T22:42:25,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys208_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710145503291213,1789710146565196442,1061.905229,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys209_prefill16-r0-1789710146,2026-09-17T22:42:26,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys209_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710146570545587,1789710147631720563,1061.174976,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys210_prefill16-r0-1789710147,2026-09-17T22:42:27,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys210_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710147636871434,1789710148699095867,1062.224433,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys211_prefill16-r0-1789710148,2026-09-17T22:42:28,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys211_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710148704370721,1789710149766261256,1061.890535,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_fringe-rpc-phys212_prefill16-r0-1789710149,2026-09-17T22:42:29,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys212_prefill16,0,ok,,1,1,2048,1,1027096.58,1027.0966,1789710149771553554,1789710150833494786,1061.941232,160,,16384,,,,EA1_fringe,0,,,,,2048,500.000,501.5120,compile,,160,,,
EA1_p0c-rpc-phys101_prefill16-r0-1789710151,2026-09-17T22:42:31,rpc,build_d974f2e3_20260916191921,,c97a261,phys,phys101_prefill16,0,ok,,1,1,8000,1,48000.00,48.0000,1789710151395841645,1789710151507757796,111.916151,160,,64000,,,,EA1_p0c,0,,,,,8000,6.000,6.0000,compile,,160,,,
