mode,workload_id,observed_extra_ms,extra_words,predicted_extra_ms,mechanism,calibration,pred_over_obs
std,1,100.0306,98304,100.0306,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,1.00
std,2,29.1773,49152,50.0153,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,1.71
std,3,16.5425,16000,16.2810,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,0.98
std,4,4.1738,4000,4.0703,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,0.98
std,5,4.6791,6000,6.1054,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,1.30
std,6,3.1623,4096,4.1679,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,1.32
std,7,41.4736,65536,66.6871,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,1.61
std,8,4.7481,10240,10.4199,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,2.19
std,9,0.4804,1536,1.5630,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,3.25
std,10,0.2669,512,0.5210,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,1.95
std,11,5.3099,8192,8.3359,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,1.57
std,12,26.6119,20000,20.3513,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,0.76
std,13,1.2501,4000,4.0703,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,3.26
std,19,36.4953,114688,116.7024,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,3.20
std,20,4.2158,4000,4.0703,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,0.97
std,21,79.4448,240000,244.2154,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,3.07
std,22,2.6201,11200,11.3967,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,4.35
std,23,31.7198,96000,97.6862,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,3.08
std,24,6.1047,12288,12.5038,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,2.05
std,25,5.2326,8192,8.3359,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,1.59
std,ghz8_x30,7.4918,15360,15.6298,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,2.09
std,qaoa12_x30,2374.0334,7200000,7326.4628,2x accbuf MMIO readback (reset+final read per shot),rate from std/1,3.09
c1,24,1.0075,2424,1.0075,larger command/table bramctrl MMIO stores,rate from c1/24,1.00
c1,ghz8_x30,2.4441,8640,3.5910,larger command/table bramctrl MMIO stores,rate from c1/24,1.47
