idx,per_shot_nominal_us,per_shot_c1_slope_us,sd_us,method
1,8.580,8.7508,0.0007,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
2,11.710,11.8652,0.0005,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
3,8.580,8.7499,0.0001,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
4,8.940,9.1106,0.0010,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
5,14.500,14.6606,0.0003,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
6,12.060,12.2252,0.0005,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
7,14.840,15.0001,0.0005,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
8,17.970,18.1367,0.0006,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
9,21.100,21.2506,0.0007,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
10,27.360,27.5220,0.0009,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
11,18.920,19.0901,0.0019,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
12,5.430,5.5936,0.0003,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
13,26.470,26.6323,0.0009,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
19,46.420,46.5847,0.0113,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
20,17.660,17.8184,0.0013,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
21,43.240,43.3905,0.0018,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
22,50.120,50.2978,0.0013,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
23,42.850,43.0078,0.0030,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
24,59.480,59.6376,0.0013,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
25,17.120,17.2877,0.0002,"C1 14_2 std_server: (interval(50100 shots) - interval(100 shots)) / 50000, lastshotdone-ended, mean of 3"
