idx,per_shot_nominal_us,per_shot_compiled_us,per_shot_c1_slope_us,c1_slope_sd_us,per_shot_c3_slope_us,c3_slope_sd_us,note
1,8.580,8.590,8.7508,0.0007,8.7474,0.0091,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
2,11.710,11.720,11.8652,0.0005,11.7383,0.0166,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
3,8.580,8.590,8.7499,0.0001,8.7540,0.0259,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
4,8.940,8.950,9.1106,0.0010,9.0981,0.0395,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
5,14.500,14.510,14.6606,0.0003,14.5465,0.0164,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
6,12.060,12.070,12.2252,0.0005,12.0984,0.0031,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
7,14.840,14.850,15.0001,0.0005,14.8867,0.0163,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
8,17.970,17.980,18.1367,0.0006,18.0163,0.0080,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
9,21.100,21.110,21.2506,0.0007,21.1378,0.0350,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
10,27.360,27.370,27.5220,0.0009,27.4420,0.0741,"compiled = last-instruction start + 0.9 us read pulse; c1_slope = (interval(50100)-interval(100))/50000 on the C1 14_2 bitfile (standard DSP shot loop, BRAM commands, lastshotdone-ended) = the realized shot length incl. the DSP shot restart (+0.15..0.18 us for every program); c3_slope = same on C3 14_2 (includes the C3 pipeline per-shot work)"
