idx,name,per_shot_compiled_us,per_shot_c1_slope_us,sd_us,method
1,Bell state (GHZ-2),8.5840,8.7501,0.0005,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
2,GHZ-3,11.7140,11.8641,0.0006,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
3,VQE HeH+ 2Q,8.5840,8.7504,0.0011,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
4,QAOA 2Q p=1,8.9400,9.1101,0.0005,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
5,Quantum teleportation 3Q,14.4960,14.6467,0.0115,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
6,Deutsch-Jozsa 3Q,12.0620,12.2037,0.0028,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
7,GHZ-4,14.8440,14.9988,0.0005,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
8,GHZ-5,17.9740,18.1349,0.0005,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
9,GHZ-6,21.1040,21.2504,0.0021,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
10,GHZ-8,27.3640,27.5223,0.0022,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
11,Bernstein-Vazirani 5Q,18.9220,19.0861,0.0059,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
12,VQE 1Q eigensolver,5.4300,5.5932,0.0001,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
13,QFT 4Q,26.4720,26.6321,0.0038,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
19,VQE BeH2 14Q,46.4160,46.5687,0.0017,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
20,Shor N=15 5Q,17.6580,17.8178,0.0002,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
21,QAOA MaxCut 12Q,43.2400,43.3911,0.0014,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
22,QML Image Class 14Q,50.1240,50.2777,0.0008,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
23,VQE SrH PDM 12Q,42.8520,43.0001,0.0105,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
24,Grover 6Q,59.4760,59.6422,0.0019,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
25,QSVM Radar 4Q,17.1200,17.2820,0.0115,"REAL programs, C1 14_2 std_server: (interval(50100) - interval(100)) / 50000, mean of 3"
