seq,block,image,config,manifest,run_kind,repeat
0,0,C3,c3_pool,rand30_t4,warmup,-1
1,0,C3,c3_pool,rand30_t4,measure,0
2,0,C3,c3_pool,rand30_t4,measure,1
3,0,C3,c3_pool,rand30_t4,measure,2
4,0,C3,c3_pool,rand30_t4,measure,3
5,0,C3,c3_pool,rand30_t4,measure,4
6,0,C3,c3_pool,rand10_t1,warmup,-1
7,0,C3,c3_pool,rand10_t1,measure,0
8,0,C3,c3_pool,rand10_t1,measure,1
9,0,C3,c3_pool,rand10_t1,measure,2
10,0,C3,c3_pool,rand10_t1,measure,3
11,0,C3,c3_pool,rand10_t1,measure,4
12,0,C3,c3_pool,rand30_t6,warmup,-1
13,0,C3,c3_pool,rand30_t6,measure,0
14,0,C3,c3_pool,rand30_t6,measure,1
15,0,C3,c3_pool,rand30_t6,measure,2
16,0,C3,c3_pool,rand30_t6,measure,3
17,0,C3,c3_pool,rand30_t6,measure,4
18,0,C3,c3_pool,rand20_t8,warmup,-1
19,0,C3,c3_pool,rand20_t8,measure,0
20,0,C3,c3_pool,rand20_t8,measure,1
21,0,C3,c3_pool,rand20_t8,measure,2
22,0,C3,c3_pool,rand20_t8,measure,3
23,0,C3,c3_pool,rand20_t8,measure,4
24,0,C3,c3_pool,rand10_t8,warmup,-1
25,0,C3,c3_pool,rand10_t8,measure,0
26,0,C3,c3_pool,rand10_t8,measure,1
27,0,C3,c3_pool,rand10_t8,measure,2
28,0,C3,c3_pool,rand10_t8,measure,3
29,0,C3,c3_pool,rand10_t8,measure,4
30,0,C3,c3_pool,rand20_t5,warmup,-1
31,0,C3,c3_pool,rand20_t5,measure,0
32,0,C3,c3_pool,rand20_t5,measure,1
33,0,C3,c3_pool,rand20_t5,measure,2
34,0,C3,c3_pool,rand20_t5,measure,3
35,0,C3,c3_pool,rand20_t5,measure,4
36,0,C1,std_native,rand10_t8,warmup,-1
37,0,C1,std_native,rand10_t8,measure,0
38,0,C1,std_native,rand10_t8,measure,1
39,0,C1,std_native,rand10_t8,measure,2
40,0,C1,std_native,rand10_t8,measure,3
41,0,C1,std_native,rand10_t8,measure,4
42,0,C1,std_native,rand10_t1,warmup,-1
43,0,C1,std_native,rand10_t1,measure,0
44,0,C1,std_native,rand10_t1,measure,1
45,0,C1,std_native,rand10_t1,measure,2
46,0,C1,std_native,rand10_t1,measure,3
47,0,C1,std_native,rand10_t1,measure,4
48,0,C1,std_native,rand20_t8,warmup,-1
49,0,C1,std_native,rand20_t8,measure,0
50,0,C1,std_native,rand20_t8,measure,1
51,0,C1,std_native,rand20_t8,measure,2
52,0,C1,std_native,rand20_t8,measure,3
53,0,C1,std_native,rand20_t8,measure,4
54,0,C1,std_native,rand30_t6,warmup,-1
55,0,C1,std_native,rand30_t6,measure,0
56,0,C1,std_native,rand30_t6,measure,1
57,0,C1,std_native,rand30_t6,measure,2
58,0,C1,std_native,rand30_t6,measure,3
