run_id,wall_time,mode,bitfile,wns_ns,software_commit,workload,workload_id,repeat,status,exclusion_reason,n_circuits,shots,rps,n_active_ch,per_shot_us,qpu_ms,t_start_ns,t_end_ns,elapsed_ms,cmd_bytes_logical,cmd_bytes_transferred,readout_bytes,send_block_us_max,send_block_us_total,seamless,tag,pool_tables,n_groups,cnr,cnr_wait_cycles,note
smoke-std-10-r-1-1788000276,2026-08-29T03:44:36,std,build_0071783e_20260807001242,,b3fa64a,single,10,-1,data_mismatch,[Errno 110] Connection timed out,1,32,1,8,27.36,0.8755,,,,512,,2048,,,,smoke,,,,,
smoke-std-10-r0-1788000410,2026-08-29T03:46:50,std,build_0071783e_20260807001242,,b3fa64a,single,10,0,data_mismatch,[Errno 110] Connection timed out,1,32,1,8,27.36,0.8755,,,,512,,2048,,,,smoke,,,,,
smoke-std-10-r0-1788000545,2026-08-29T03:49:05,std,build_0071783e_20260807001242,,b3fa64a,single,10,0,data_mismatch,[Errno 110] Connection timed out,1,32,1,8,27.36,0.8755,,,,512,,2048,,,,smoke,,,,,
smoke-std-4-r-1-1788000680,2026-08-29T03:51:20,std,build_0071783e_20260807001242,,b3fa64a,single,4,-1,data_mismatch,[Errno 110] Connection timed out,1,1000,1,2,8.94,8.9400,,,,128,,16000,,,,smoke,,,,,
smoke14-c3-10-r-1-1788004217,2026-08-29T04:50:17,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,10,-1,data_mismatch,"<Fault 1: ""<class 'TypeError'>:int() argument must be a string, a bytes-like object or a real number, not 'list'"">",1,32,1,8,27.36,0.8755,,,,512,,2048,,,,smoke14,,,,,
smoke14-c3-10-r0-1788004217,2026-08-29T04:50:17,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,10,0,data_mismatch,"<Fault 1: ""<class 'TypeError'>:int() argument must be a string, a bytes-like object or a real number, not 'list'"">",1,32,1,8,27.36,0.8755,,,,512,,2048,,,,smoke14,,,,,
smoke14-c3-10-r0-1788004218,2026-08-29T04:50:18,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,10,0,data_mismatch,"<Fault 1: ""<class 'TypeError'>:int() argument must be a string, a bytes-like object or a real number, not 'list'"">",1,32,1,8,27.36,0.8755,,,,512,,2048,,,,smoke14,,,,,
smoke14-c3-4-r-1-1788004218,2026-08-29T04:50:18,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,4,-1,data_mismatch,"<Fault 1: ""<class 'TypeError'>:int() argument must be a string, a bytes-like object or a real number, not 'list'"">",1,1000,1,2,8.94,8.9400,,,,128,,16000,,,,smoke14,,,,,
smoke14-c3-4-r0-1788004218,2026-08-29T04:50:18,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,4,0,data_mismatch,"<Fault 1: ""<class 'TypeError'>:int() argument must be a string, a bytes-like object or a real number, not 'list'"">",1,1000,1,2,8.94,8.9400,,,,128,,16000,,,,smoke14,,,,,
smoke14-c3-4-r0-1788004218,2026-08-29T04:50:18,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,4,0,data_mismatch,"<Fault 1: ""<class 'TypeError'>:int() argument must be a string, a bytes-like object or a real number, not 'list'"">",1,1000,1,2,8.94,8.9400,,,,128,,16000,,,,smoke14,,,,,
smoke14-c3-19-r-1-1788004218,2026-08-29T04:50:18,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,19,-1,data_mismatch,"<Fault 1: ""<class 'TypeError'>:int() argument must be a string, a bytes-like object or a real number, not 'list'"">",1,4096,1,14,46.42,190.1363,,,,896,,458752,,,,smoke14,,,,,
smoke14-c3-19-r0-1788004218,2026-08-29T04:50:18,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,19,0,data_mismatch,"<Fault 1: ""<class 'TypeError'>:int() argument must be a string, a bytes-like object or a real number, not 'list'"">",1,4096,1,14,46.42,190.1363,,,,896,,458752,,,,smoke14,,,,,
smoke14-c3-19-r0-1788004218,2026-08-29T04:50:18,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,19,0,data_mismatch,"<Fault 1: ""<class 'TypeError'>:int() argument must be a string, a bytes-like object or a real number, not 'list'"">",1,4096,1,14,46.42,190.1363,,,,896,,458752,,,,smoke14,,,,,
smoke14-c3-10-r-1-1788004238,2026-08-29T04:50:38,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,10,-1,ok,,1,32,1,8,27.36,0.8755,1261747047503,1261795009453,47.96195,512,262400,2048,31,64,1,smoke14,,,,,
smoke14-c3-10-r0-1788004238,2026-08-29T04:50:38,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,10,0,ok,,1,32,1,8,27.36,0.8755,1261898408747,1261946012203,47.603456,512,262400,2048,29,61,1,smoke14,,,,,
smoke14-c3-10-r1-1788004239,2026-08-29T04:50:39,c3,build_8c58a7da_20260829023533,-0.277,88b0cbb,single,10,1,ok,,1,32,1,8,27.36,0.8755,1262048850382,1262096034384,47.184002,512,262400,2048,29,83,1,smoke14,,,,,
