run_id,wall_time,mode,bitfile,wns_ns,software_commit,workload,workload_id,repeat,status,exclusion_reason,n_circuits,shots,rps,n_active_ch,per_shot_us,qpu_ms,t_start_ns,t_end_ns,elapsed_ms,cmd_bytes_logical,cmd_bytes_transferred,readout_bytes,send_block_us_max,send_block_us_total,seamless,tag,pool_tables,n_groups,cnr,cnr_wait_cycles,note,t_first_dma_done_ns,t_start_written_ns,t_first_cid_ns,t_batch_done_ns
c3_14q_decomp_smoke-c3-7-r-1-1788500049,2026-09-03T22:34:09,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,-1,ok,,1,8192,2,4,14.84,121.6020,497071971272403,497072094215832,122.943429,832,131328,524288,50,19202,1,c3_14q_decomp_smoke,0,1,0,0,,497071971300143,497071971300663,497071971346134,497072094197772
c3_14q_decomp_smoke-c3-7-r0-1788500049,2026-09-03T22:34:09,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,0,ok,,1,8192,2,4,14.84,121.6020,497072246626257,497072369563816,122.937559,832,131328,524288,35,18407,1,c3_14q_decomp_smoke,0,1,0,0,,497072246653477,497072246654097,497072246676637,497072369549956
c3_14q_decomp_smoke-c3-7-r1-1788500049,2026-09-03T22:34:09,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,1,ok,,1,8192,2,4,14.84,121.6020,497072514538226,497072637489366,122.95114,832,131328,524288,772,20129,1,c3_14q_decomp_smoke,0,1,0,0,,497072514565387,497072514566077,497072514583827,497072637463186
c3_14q_decomp_p0-c3-7-r-1-1788500082,2026-09-03T22:34:42,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,-1,ok,,1,8192,2,4,14.84,121.6020,497105178686749,497105301629318,122.942569,832,131328,524288,621,19976,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497105178713699,497105178714329,497105178740519,497105301610978
c3_14q_decomp_p0-c3-7-r0-1788500082,2026-09-03T22:34:42,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,0,ok,,1,8192,2,4,14.84,121.6020,497105451644439,497105574588298,122.943859,832,131328,524288,799,20037,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497105451671679,497105451672599,497105452058863,497105574579838
c3_14q_decomp_p0-c3-7-r1-1788500083,2026-09-03T22:34:43,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,1,ok,,1,8192,2,4,14.84,121.6020,497105722605059,497105845549148,122.944089,832,131328,524288,338,20310,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497105722632749,497105722633479,497105722654609,497105845530078
c3_14q_decomp_p0-c3-7-r2-1788500083,2026-09-03T22:34:43,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,2,ok,,1,8192,2,4,14.84,121.6020,497106035925322,497106158862122,122.9368,832,131328,524288,619,19555,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497106035952603,497106035953333,497106035974003,497106158850112
c3_14q_decomp_p0-c3-7-r3-1788500083,2026-09-03T22:34:43,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,3,ok,,1,8192,2,4,14.84,121.6020,497106353896023,497106476837162,122.941139,832,131328,524288,568,20735,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497106353922073,497106353922903,497106353943163,497106476819762
c3_14q_decomp_p0-c3-7-r4-1788500084,2026-09-03T22:34:44,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,4,ok,,1,8192,2,4,14.84,121.6020,497106666421968,497106789355748,122.93378,832,131328,524288,306,19269,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497106666448489,497106666449559,497106666470649,497106789346388
c3_14q_decomp_p0-c3-7-r5-1788500084,2026-09-03T22:34:44,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,5,ok,,1,8192,2,4,14.84,121.6020,497106973765862,497107096709242,122.94338,832,131328,524288,459,19220,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497106973792523,497106973793243,497106973814533,497107096690052
c3_14q_decomp_p0-c3-7-r6-1788500084,2026-09-03T22:34:44,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,6,ok,,1,8192,2,4,14.84,121.6020,497107249871144,497107372810123,122.938979,832,131328,524288,35,18648,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497107249898624,497107249899234,497107249921144,497107372795493
c3_14q_decomp_p0-c3-7-r7-1788500084,2026-09-03T22:34:44,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,7,ok,,1,8192,2,4,14.84,121.6020,497107556526491,497107679468220,122.941729,832,131328,524288,614,19974,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497107556552671,497107556553321,497107556574091,497107679450570
c3_14q_decomp_p0-c3-7-r8-1788500085,2026-09-03T22:34:45,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,8,ok,,1,8192,2,4,14.84,121.6020,497107822993316,497107945937256,122.94394,832,131328,524288,386,18828,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497107823020166,497107823020806,497107823041846,497107945917995
c3_14q_decomp_p0-c3-7-r9-1788500085,2026-09-03T22:34:45,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,7,9,ok,,1,8192,2,4,14.84,121.6020,497108139622413,497108262559232,122.936819,832,131328,524288,49,18748,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497108139648963,497108139649713,497108139672203,497108262547382
c3_14q_decomp_p0-c3-6-r-1-1788500085,2026-09-03T22:34:45,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,6,-1,ok,,1,1024,2,3,12.06,12.3515,497108430596703,497108443157538,12.560835,784,98560,40960,26,1164,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497108430616763,497108430617433,497108430637893,497108443141698
c3_14q_decomp_p0-c3-6-r0-1788500086,2026-09-03T22:34:46,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,6,0,ok,,1,1024,2,3,12.06,12.3515,497108585350521,497108597918326,12.567805,784,98560,40960,40,1203,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497108585370341,497108585371001,497108585387841,497108597896536
c3_14q_decomp_p0-c3-6-r1-1788500086,2026-09-03T22:34:46,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,6,1,ok,,1,1024,2,3,12.06,12.3515,497108741156469,497108753717425,12.560956,784,98560,40960,40,1182,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497108741176309,497108741176939,497108741194519,497108753702174
c3_14q_decomp_p0-c3-6-r2-1788500086,2026-09-03T22:34:46,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,6,2,ok,,1,1024,2,3,12.06,12.3515,497108896081448,497108908639934,12.558486,784,98560,40960,40,1107,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497108896101369,497108896102129,497108896120699,497108908627794
c3_14q_decomp_p0-c3-6-r3-1788500086,2026-09-03T22:34:46,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,6,3,ok,,1,1024,2,3,12.06,12.3515,497109045302771,497109057858696,12.555925,784,98560,40960,30,1158,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497109045322651,497109045323401,497109045339671,497109057849166
c3_14q_decomp_p0-c3-6-r4-1788500086,2026-09-03T22:34:46,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,6,4,ok,,1,1024,2,3,12.06,12.3515,497109202891237,497109215451353,12.560116,784,98560,40960,26,1154,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497109202911687,497109202912457,497109202930677,497109215436642
c3_14q_decomp_p0-c3-6-r5-1788500086,2026-09-03T22:34:46,c3,build_63329aaf_20260830175903,0.000,e9b23c4,single,6,5,ok,,1,1024,2,3,12.06,12.3515,497109358006968,497109370562134,12.555166,784,98560,40960,25,1176,1,c3_14q_decomp_p0,0,1,0,0,decomp; batch_server v7; dma STRM_POLL_US=0,497109358027699,497109358028849,497109358044629,497109370553064
