run_id,wall_time,mode,bitfile,wns_ns,software_commit,workload,workload_id,repeat,status,exclusion_reason,n_circuits,shots,rps,n_active_ch,per_shot_us,qpu_ms,t_start_ns,t_end_ns,elapsed_ms,cmd_bytes_logical,cmd_bytes_transferred,readout_bytes,send_block_us_max,send_block_us_total,seamless,tag,pool_tables,n_groups,cnr,cnr_wait_cycles,note,loop_n,interval_us,period_us,period_src,calib_n,cmd_bytes_max,n_units,n_segments,seg_dur_us
c3_14q_phys1-c3-phys1-r-1-1788334142,2026-09-02T00:29:02,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys1,-1,data_mismatch,[Errno 104] Connection reset by peer,1,1,50000,1,5182400.00,5182.4000,,,,160,,400000,,,,c3_14q_phys1,0,,,,,50000,100.000,103.6480,compile,,160,,,
c3_14q_phys1-c3-phys1-r0-1788334142,2026-09-02T00:29:02,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys1,0,data_mismatch,[Errno 104] Connection reset by peer,1,1,50000,1,5182400.00,5182.4000,,,,160,,400000,,,,c3_14q_phys1,0,,,,,50000,100.000,103.6480,compile,,160,,,
c3_14q_phys1-c3-phys1-r0-1788334142,2026-09-02T00:29:02,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys1,0,data_mismatch,[Errno 104] Connection reset by peer,1,1,50000,1,5182400.00,5182.4000,,,,160,,400000,,,,c3_14q_phys1,0,,,,,50000,100.000,103.6480,compile,,160,,,
c3_14q_phys1-c3-phys1-r-1-1788334180,2026-09-02T00:29:40,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys1,-1,ok,,1,1,50000,1,5182400.00,5182.4000,331203142050141,331208324423153,5182.373012,160,33024,400000,560,23891,1,c3_14q_phys1,0,1,0,0,,50000,100.000,103.6480,compile,,160,,,
c3_14q_phys1-c3-phys1-r0-1788334185,2026-09-02T00:29:45,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys1,0,ok,,1,1,50000,1,5182400.00,5182.4000,331208368156360,331213550533212,5182.376852,160,33024,400000,449,23145,1,c3_14q_phys1,0,1,0,0,,50000,100.000,103.6480,compile,,160,,,
c3_14q_phys1-c3-phys1-r1-1788334190,2026-09-02T00:29:50,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys1,1,ok,,1,1,50000,1,5182400.00,5182.4000,331213595159309,331218777531400,5182.372091,160,33024,400000,774,28012,1,c3_14q_phys1,0,1,0,0,,50000,100.000,103.6480,compile,,160,,,
c3_14q_phys1-c3-phys1-r2-1788334196,2026-09-02T00:29:56,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys1,2,ok,,1,1,50000,1,5182400.00,5182.4000,331218820314028,331224002686530,5182.372502,160,33024,400000,1489,22598,1,c3_14q_phys1,0,1,0,0,,50000,100.000,103.6480,compile,,160,,,
c3_14q_phys1-c3-phys2-r-1-1788334201,2026-09-02T00:30:01,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys2,-1,ok,,1,1,32,1,188.93,0.1889,331224490382308,331224490871943,0.489635,1664,33024,256,24,24,1,c3_14q_phys1,0,1,0,0,,32,1.000,5.9040,compile,,1664,,,
c3_14q_phys1-c3-phys2-r0-1788334201,2026-09-02T00:30:01,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys2,0,ok,,1,1,32,1,188.93,0.1889,331224543746841,331224544078135,0.331294,1664,33024,256,23,23,1,c3_14q_phys1,0,1,0,0,,32,1.000,5.9040,compile,,1664,,,
c3_14q_phys1-c3-phys2-r1-1788334201,2026-09-02T00:30:01,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys2,1,ok,,1,1,32,1,188.93,0.1889,331224595655921,331224595996014,0.340093,1664,33024,256,37,37,1,c3_14q_phys1,0,1,0,0,,32,1.000,5.9040,compile,,1664,,,
c3_14q_phys1-c3-phys2-r2-1788334201,2026-09-02T00:30:01,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys2,2,ok,,1,1,32,1,188.93,0.1889,331224648277557,331224648682891,0.405334,1664,33024,256,20,20,1,c3_14q_phys1,0,1,0,0,,32,1.000,5.9040,compile,,1664,,,
c3_14q_phys1-c3-phys3-r-1-1788334202,2026-09-02T00:30:02,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys3,-1,ok,,1,1,50000,1,100182400.00,100182.4000,331225055296418,331325235676448,100180.38003,160,33024,400000,1443,69493,1,c3_14q_phys1,0,1,0,0,,50000,2000.000,2003.6480,compile,,160,,,
c3_14q_phys1-c3-phys3-r0-1788334302,2026-09-02T00:31:42,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys3,0,ok,,1,1,50000,1,100182400.00,100182.4000,331325280897300,331425461272590,100180.37529,160,33024,400000,524,65073,1,c3_14q_phys1,0,1,0,0,,50000,2000.000,2003.6480,compile,,160,,,
c3_14q_phys1-c3-phys3-r1-1788334402,2026-09-02T00:33:22,c3,build_63329aaf_20260830175903,0.000,1b60263,phys,phys3,1,ok,,1,1,50000,1,100182400.00,100182.4000,331425506124129,331525686504519,100180.38039,160,33024,400000,1137,67009,1,c3_14q_phys1,0,1,0,0,,50000,2000.000,2003.6480,compile,,160,,,
