run_id,wall_time,mode,bitfile,wns_ns,software_commit,workload,workload_id,repeat,status,exclusion_reason,n_circuits,shots,rps,n_active_ch,per_shot_us,qpu_ms,t_start_ns,t_end_ns,elapsed_ms,cmd_bytes_logical,cmd_bytes_transferred,readout_bytes,send_block_us_max,send_block_us_total,seamless,tag,pool_tables,n_groups,cnr,cnr_wait_cycles,note,pair_id,stop_at,cp_step,cp_ns_req,delay_actual_ns,stop_result,actual_shots,overshoot,fired_k,t_decision_ns,t_write_ns,t_event_ps_ns,latency_cycles,latency_us,stop_flags,strm_poll_us
c3_14q_stop1_warmup-c3-2-r-1-1788333985,2026-09-02T00:26:25,c3,build_63329aaf_20260830175903,0.000,1b60263,single,2,-1,data_mismatch,[Errno 104] Connection reset by peer,1,8192,2,3,11.71,95.9611,,,,624,,393216,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-2-r-1-1788333985,2026-09-02T00:26:25,c3,build_63329aaf_20260830175903,0.000,1b60263,single,2,-1,data_mismatch,[Errno 104] Connection reset by peer,1,8192,2,3,11.71,95.9611,,,,624,,393216,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,2457,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-9-r-1-1788333986,2026-09-02T00:26:26,c3,build_63329aaf_20260830175903,0.000,1b60263,single,9,-1,data_mismatch,[Errno 104] Connection reset by peer,1,128,2,6,21.10,2.7013,,,,1248,,12288,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-9-r-1-1788333986,2026-09-02T00:26:26,c3,build_63329aaf_20260830175903,0.000,1b60263,single,9,-1,data_mismatch,[Errno 104] Connection reset by peer,1,128,2,6,21.10,2.7013,,,,1248,,12288,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,60,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-10-r-1-1788333987,2026-09-02T00:26:27,c3,build_63329aaf_20260830175903,0.000,1b60263,single,10,-1,data_mismatch,[Errno 104] Connection reset by peer,1,32,2,8,27.36,0.8756,,,,1664,,4096,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-10-r-1-1788333987,2026-09-02T00:26:27,c3,build_63329aaf_20260830175903,0.000,1b60263,single,10,-1,data_mismatch,[Errno 104] Connection reset by peer,1,32,2,8,27.36,0.8756,,,,1664,,4096,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,12,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-19-r-1-1788333988,2026-09-02T00:26:28,c3,build_63329aaf_20260830175903,0.000,1b60263,single,19,-1,data_mismatch,[Errno 104] Connection reset by peer,1,4096,2,14,46.42,190.1199,,,,3968,,917504,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-19-r-1-1788333989,2026-09-02T00:26:29,c3,build_63329aaf_20260830175903,0.000,1b60263,single,19,-1,data_mismatch,[Errno 104] Connection reset by peer,1,4096,2,14,46.42,190.1199,,,,3968,,917504,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,1227,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-22-r-1-1788333990,2026-09-02T00:26:30,c3,build_63329aaf_20260830175903,0.000,1b60263,single,22,-1,data_mismatch,[Errno 104] Connection reset by peer,1,400,2,14,50.12,20.0496,,,,4192,,89600,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-22-r-1-1788333991,2026-09-02T00:26:31,c3,build_63329aaf_20260830175903,0.000,1b60263,single,22,-1,data_mismatch,[Errno 104] Connection reset by peer,1,400,2,14,50.12,20.0496,,,,4192,,89600,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,120,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-23-r-1-1788333992,2026-09-02T00:26:32,c3,build_63329aaf_20260830175903,0.000,1b60263,single,23,-1,data_mismatch,[Errno 104] Connection reset by peer,1,4000,2,12,42.85,171.4080,,,,3136,,768000,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,0,,,,,,,,,,,,,,200
c3_14q_stop1_warmup-c3-23-r-1-1788333992,2026-09-02T00:26:32,c3,build_63329aaf_20260830175903,0.000,1b60263,single,23,-1,data_mismatch,[Errno 104] Connection reset by peer,1,4000,2,12,42.85,171.4080,,,,3136,,768000,,,,c3_14q_stop1_warmup,0,,,,stop_campaign rep=-1,,1200,,,,,,,,,,,,,,200
c3_14q_stop1-c3-2-r0-1788333993,2026-09-02T00:26:33,c3,build_63329aaf_20260830175903,0.000,1b60263,single,2,0,data_mismatch,[Errno 104] Connection reset by peer,1,8192,2,3,11.71,95.9611,,,,624,,393216,,,,c3_14q_stop1,0,,,,stop_campaign rep=1,2_p0,2457,,,,,,,,,,,,,,200
c3_14q_stop1-c3-2-r0-1788333993,2026-09-02T00:26:33,c3,build_63329aaf_20260830175903,0.000,1b60263,single,2,0,data_mismatch,[Errno 104] Connection reset by peer,1,8192,2,3,11.71,95.9611,,,,624,,393216,,,,c3_14q_stop1,0,,,,stop_campaign rep=1,2_p0,2457,,,,,,,,,,,,,,200
c3_14q_stop1-c3-2-r0-1788334035,2026-09-02T00:27:15,c3,build_63329aaf_20260830175903,0.000,1b60263,single,2,0,ok,,1,8192,2,3,11.71,95.9611,331058068826983,331058098345688,29.518705,624,98560,393216,36,3015,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=2,2_p0,2457,819,5980,18230,FIRED,2475,18,3,331058098259187,331058098259647,331058098282317,5465,10.93,0,200
c3_14q_stop1-c3-2-r0-1788334035,2026-09-02T00:27:15,c3,build_63329aaf_20260830175903,0.000,1b60263,single,2,0,ok,,1,8192,2,3,11.71,95.9611,331058583580281,331058680901434,97.321153,624,98560,393216,286,14068,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=2,2_p0,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-2-r0-1788334036,2026-09-02T00:27:16,c3,build_63329aaf_20260830175903,0.000,1b60263,single,2,0,ok,,1,8192,2,3,11.71,95.9611,331059208028606,331059237614982,29.586376,624,98560,393216,52,3015,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p1,2457,819,5980,18260,FIRED,2474,17,3,331059237459921,331059237460451,331059237485941,44,0.088,0,200
c3_14q_stop1-c3-2-r0-1788334037,2026-09-02T00:27:17,c3,build_63329aaf_20260830175903,0.000,1b60263,single,2,0,ok,,1,8192,2,3,11.71,95.9611,331059751228969,331059848549153,97.320184,624,98560,393216,588,15432,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p1,0,,,,,,,,,,,,,,200
c3_14q_stop1-c3-2-r0-1788334037,2026-09-02T00:27:17,c3,build_63329aaf_20260830175903,0.000,1b60263,single,2,0,ok,,1,8192,2,3,11.71,95.9611,331060368383572,331060465702625,97.319053,624,98560,393216,122,13650,1,c3_14q_stop1,0,1,0,0,stop_campaign rep=1,2_p2,0,,,,,,,,,,,,,,200
