mode,workload,workload_id,population,sur_n,sur_mean_ms,sur_sd_ms,sur_qpu_ms,real_n,real_mean_ms,real_sd_ms,real_qpu_ms,n_groups,diff_ms,ci95_lo_ms,ci95_hi_ms,welch_df,margin_ms,verdict
std,single,1,equivalence,5,303.2135,0.0743,210.8621,5,403.2442,0.1043,210.9604,1,100.0306,99.8952,100.1661,7.2,2.1096,NON-MATCHING
std,single,2,equivalence,5,130.2790,0.0409,95.9283,5,159.4563,0.9191,95.9611,1,29.1773,28.0351,30.3194,4.0,0.9596,NON-MATCHING
std,single,3,equivalence,5,49.3700,0.0060,34.3200,5,65.9125,0.0085,34.3360,1,16.5425,16.5315,16.5535,7.2,0.3434,NON-MATCHING
std,single,4,equivalence,5,12.6329,0.0065,8.9400,5,16.8067,0.0066,8.9400,1,4.1738,4.1642,4.1834,8.0,0.1500,NON-MATCHING
std,single,5,equivalence,5,18.4005,0.0159,14.5000,5,23.0795,0.0093,14.4960,1,4.6791,4.6589,4.6992,6.4,0.1500,NON-MATCHING
std,single,6,equivalence,5,16.3242,0.0042,12.3494,5,19.4865,0.0061,12.3515,1,3.1623,3.1545,3.1701,7.1,0.1500,NON-MATCHING
std,single,7,equivalence,5,159.5491,0.0612,121.5693,5,201.0228,0.5712,121.6020,1,41.4736,40.7605,42.1868,4.1,1.2160,NON-MATCHING
std,single,8,equivalence,5,23.6535,0.0073,18.4013,5,28.4016,0.1457,18.4054,1,4.7481,4.5670,4.9293,4.0,0.1841,NON-MATCHING
std,single,9,equivalence,5,5.7339,0.0092,2.7008,5,6.2143,0.0138,2.7013,1,0.4804,0.4628,0.4980,7.0,0.1500,NON-MATCHING
std,single,10,equivalence,5,3.3876,0.0008,0.8755,5,3.6545,0.0015,0.8756,1,0.2669,0.2650,0.2688,6.0,0.1500,NON-MATCHING
std,single,11,equivalence,5,24.7067,0.0190,19.3741,5,30.0166,0.0749,19.3761,1,5.3099,5.2210,5.3988,4.5,0.1938,NON-MATCHING
std,single,12,equivalence,5,88.4737,0.0465,54.3000,5,115.0856,1.0606,54.3000,1,26.6119,25.2940,27.9299,4.0,0.5430,NON-MATCHING
std,single,13,equivalence,5,16.8820,0.0072,13.2350,5,18.1322,0.0201,13.2360,1,1.2501,1.2256,1.2747,5.0,0.1500,NON-MATCHING
std,single,19,equivalence,5,230.5860,0.4314,190.1363,5,267.0813,0.1316,190.1199,1,36.4953,35.9768,37.0139,4.7,1.9012,NON-MATCHING
