idx,name,n_qubits,shots,checkpoint,n,n_ref,tvd_p95,hf_p05,tvd_median,p_false_fail,evaluable
1,Bell state (GHZ-2),2,24576,3,7371,2457,0.024,0.999,0.007,0.0,1
1,Bell state (GHZ-2),2,24576,4,9828,2457,0.021,1.0,0.006,0.0,1
1,Bell state (GHZ-2),2,24576,5,12285,2457,0.02,1.0,0.008,0.0,1
1,Bell state (GHZ-2),2,24576,6,14742,2457,0.021,1.0,0.007,0.0,1
1,Bell state (GHZ-2),2,24576,7,17199,2457,0.022,1.0,0.008,0.0,1
1,Bell state (GHZ-2),2,24576,8,19656,2457,0.019,1.0,0.007,0.0,1
1,Bell state (GHZ-2),2,24576,9,22113,2457,0.021,1.0,0.007,0.0,1
1,Bell state (GHZ-2),2,24576,10,24576,2457,0.021,1.0,0.006,0.0,1
2,GHZ-3,3,8192,3,2457,819,0.039,0.998,0.012,0.0,1
2,GHZ-3,3,8192,4,3276,819,0.041,0.998,0.015,0.0,1
2,GHZ-3,3,8192,5,4095,819,0.037,0.999,0.013,0.0,1
2,GHZ-3,3,8192,6,4914,819,0.04,0.998,0.015,0.0,1
2,GHZ-3,3,8192,7,5733,819,0.035,0.999,0.013,0.0,1
2,GHZ-3,3,8192,8,6552,819,0.038,0.999,0.015,0.0,1
2,GHZ-3,3,8192,9,7371,819,0.036,0.999,0.013,0.0,1
2,GHZ-3,3,8192,10,8192,819,0.037,0.999,0.011,0.0,1
3,VQE HeH+ 2Q,2,4000,3,1200,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,4,1600,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,5,2000,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,6,2400,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,7,2800,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,8,3200,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,9,3600,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,10,4000,400,0.0,1.0,0.0,0.0,1
4,GHZ-4,4,8192,3,2457,819,0.039,0.999,0.013,0.0,1
4,GHZ-4,4,8192,4,3276,819,0.04,0.998,0.014,0.0,1
4,GHZ-4,4,8192,5,4095,819,0.035,0.999,0.011,0.0,1
4,GHZ-4,4,8192,6,4914,819,0.039,0.998,0.013,0.0,1
4,GHZ-4,4,8192,7,5733,819,0.034,0.999,0.014,0.0,1
4,GHZ-4,4,8192,8,6552,819,0.036,0.999,0.015,0.0,1
4,GHZ-4,4,8192,9,7371,819,0.038,0.999,0.01,0.0,1
4,GHZ-4,4,8192,10,8192,819,0.036,0.999,0.012,0.0,1
5,GHZ-5,5,1024,3,306,102,0.108,0.988,0.036,0.0,1
5,GHZ-5,5,1024,4,408,102,0.12,0.985,0.042,0.0,1
5,GHZ-5,5,1024,5,510,102,0.094,0.991,0.033,0.0,1
5,GHZ-5,5,1024,6,612,102,0.095,0.991,0.038,0.0,1
5,GHZ-5,5,1024,7,714,102,0.102,0.99,0.036,0.0,1
5,GHZ-5,5,1024,8,816,102,0.123,0.985,0.039,0.0,1
5,GHZ-5,5,1024,9,918,102,0.095,0.991,0.032,0.0,1
5,GHZ-5,5,1024,10,1024,102,0.105,0.989,0.035,0.0,1
6,GHZ-6,6,128,3,36,100,0.188,0.964,0.059,0.0,1
6,GHZ-6,6,128,4,48,100,0.179,0.966,0.055,0.0,1
6,GHZ-6,6,128,5,60,100,0.16,0.974,0.057,0.0,1
6,GHZ-6,6,128,6,72,100,0.158,0.975,0.052,0.0,1
6,GHZ-6,6,128,7,84,100,0.14,0.98,0.051,0.0,1
6,GHZ-6,6,128,8,96,100,0.144,0.979,0.051,0.0,1
6,GHZ-6,6,128,9,108,100,0.136,0.982,0.043,0.0,1
6,GHZ-6,6,128,10,128,100,0.128,0.984,0.052,0.0,1
7,GHZ-8,8,32,3,9,100,0.298,0.906,0.106,0.0,1
7,GHZ-8,8,32,4,12,100,0.29,0.911,0.103,0.0,1
7,GHZ-8,8,32,5,15,100,0.29,0.911,0.1,0.0,1
7,GHZ-8,8,32,6,18,100,0.243,0.938,0.091,0.0,1
7,GHZ-8,8,32,7,21,100,0.247,0.938,0.081,0.0,1
7,GHZ-8,8,32,8,24,100,0.228,0.946,0.082,0.0,1
7,GHZ-8,8,32,9,27,100,0.224,0.948,0.073,0.0,1
7,GHZ-8,8,32,10,32,100,0.22,0.949,0.07,0.0,1
8,QFT 4Q,4,500,3,150,100,0.254,0.896,0.193,0.0,1
8,QFT 4Q,4,500,4,200,100,0.25,0.906,0.185,0.0,1
8,QFT 4Q,4,500,5,250,100,0.25,0.904,0.188,0.0,1
8,QFT 4Q,4,500,6,300,100,0.233,0.907,0.183,0.0,1
8,QFT 4Q,4,500,7,350,100,0.232,0.911,0.169,0.0,1
8,QFT 4Q,4,500,8,400,100,0.238,0.911,0.175,0.0,1
