idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
1,FakeGuadalupeV2,0,1,2457,0.0423,0.9574,1.0,1.0
1,FakeGuadalupeV2,0,2,4914,0.0425,0.9573,0.0002,0.0002
1,FakeGuadalupeV2,0,3,7371,0.0441,0.9555,0.0016,0.0017
1,FakeGuadalupeV2,0,4,9828,0.0429,0.9567,0.0012,0.0012
1,FakeGuadalupeV2,0,5,12285,0.0424,0.9572,0.0005,0.0005
1,FakeGuadalupeV2,0,6,14742,0.0433,0.9563,0.0009,0.0009
1,FakeGuadalupeV2,0,7,17199,0.0431,0.9564,0.0001,0.0001
1,FakeGuadalupeV2,0,8,19656,0.0446,0.9561,0.0014,0.0003
1,FakeGuadalupeV2,0,9,22113,0.0441,0.9555,0.0004,0.0007
1,FakeGuadalupeV2,0,10,24576,0.0443,0.9552,0.0002,0.0003
1,FakeGuadalupeV2,1,1,2457,0.0468,0.953,1.0,1.0
1,FakeGuadalupeV2,1,2,4914,0.0427,0.9572,0.0041,0.0042
1,FakeGuadalupeV2,1,3,7371,0.0426,0.9574,0.0001,0.0002
1,FakeGuadalupeV2,1,4,9828,0.0457,0.9543,0.0031,0.0031
1,FakeGuadalupeV2,1,5,12285,0.0447,0.9553,0.001,0.001
1,FakeGuadalupeV2,1,6,14742,0.0435,0.9565,0.0012,0.0012
1,FakeGuadalupeV2,1,7,17199,0.0432,0.9568,0.0003,0.0003
1,FakeGuadalupeV2,1,8,19656,0.0425,0.9575,0.0007,0.0007
1,FakeGuadalupeV2,1,9,22113,0.0418,0.9582,0.0007,0.0007
1,FakeGuadalupeV2,1,10,24576,0.0422,0.9578,0.0004,0.0004
1,FakeGuadalupeV2,2,1,2457,0.0407,0.9593,1.0,1.0
1,FakeGuadalupeV2,2,2,4914,0.045,0.9548,0.0043,0.0044
1,FakeGuadalupeV2,2,3,7371,0.0438,0.956,0.0012,0.0012
1,FakeGuadalupeV2,2,4,9828,0.0426,0.9573,0.0012,0.0012
1,FakeGuadalupeV2,2,5,12285,0.041,0.9589,0.0016,0.0016
1,FakeGuadalupeV2,2,6,14742,0.0412,0.9587,0.0002,0.0003
1,FakeGuadalupeV2,2,7,17199,0.0419,0.9581,0.0006,0.0006
1,FakeGuadalupeV2,2,8,19656,0.0414,0.9585,0.0005,0.0004
1,FakeGuadalupeV2,2,9,22113,0.0415,0.9584,0.0001,0.0001
1,FakeGuadalupeV2,2,10,24576,0.0413,0.9586,0.0002,0.0001
1,FakeGuadalupeV2,3,1,2457,0.0415,0.9585,1.0,1.0
1,FakeGuadalupeV2,3,2,4914,0.0395,0.9605,0.002,0.002
1,FakeGuadalupeV2,3,3,7371,0.041,0.959,0.0015,0.0015
1,FakeGuadalupeV2,3,4,9828,0.0394,0.9606,0.0016,0.0016
1,FakeGuadalupeV2,3,5,12285,0.0407,0.9593,0.0013,0.0014
1,FakeGuadalupeV2,3,6,14742,0.0403,0.9597,0.0004,0.0004
1,FakeGuadalupeV2,3,7,17199,0.0396,0.9604,0.0007,0.0007
1,FakeGuadalupeV2,3,8,19656,0.0405,0.9595,0.0009,0.0009
1,FakeGuadalupeV2,3,9,22113,0.0409,0.9591,0.0004,0.0004
1,FakeGuadalupeV2,3,10,24576,0.0417,0.9583,0.0007,0.0007
1,FakeGuadalupeV2,4,1,2457,0.0358,0.9642,1.0,1.0
1,FakeGuadalupeV2,4,2,4914,0.0364,0.9635,0.0006,0.0007
1,FakeGuadalupeV2,4,3,7371,0.0377,0.9623,0.0013,0.0012
1,FakeGuadalupeV2,4,4,9828,0.0405,0.9595,0.0028,0.0028
1,FakeGuadalupeV2,4,5,12285,0.0402,0.9598,0.0003,0.0003
1,FakeGuadalupeV2,4,6,14742,0.0401,0.9599,0.0001,0.0001
1,FakeGuadalupeV2,4,7,17199,0.0394,0.9606,0.0007,0.0007
1,FakeGuadalupeV2,4,8,19656,0.0396,0.9604,0.0002,0.0002
1,FakeGuadalupeV2,4,9,22113,0.0401,0.9599,0.0004,0.0004
1,FakeGuadalupeV2,4,10,24576,0.0408,0.9592,0.0007,0.0007
1,FakeGuadalupeV2,5,1,2457,0.0423,0.9576,1.0,1.0
1,FakeGuadalupeV2,5,2,4914,0.0421,0.9579,0.0002,0.0002
1,FakeGuadalupeV2,5,3,7371,0.0416,0.9583,0.0005,0.0005
1,FakeGuadalupeV2,5,4,9828,0.041,0.959,0.0006,0.0006
1,FakeGuadalupeV2,5,5,12285,0.0422,0.9578,0.0012,0.0012
1,FakeGuadalupeV2,5,6,14742,0.041,0.959,0.0011,0.0011
1,FakeGuadalupeV2,5,7,17199,0.0405,0.9595,0.0005,0.0005
1,FakeGuadalupeV2,5,8,19656,0.0409,0.9591,0.0004,0.0004
1,FakeGuadalupeV2,5,9,22113,0.0415,0.9585,0.0006,0.0006
1,FakeGuadalupeV2,5,10,24576,0.0416,0.9584,0.0001,0.0001
1,FakeGuadalupeV2,6,1,2457,0.0395,0.9605,1.0,1.0
1,FakeGuadalupeV2,6,2,4914,0.0423,0.9574,0.0028,0.0031
1,FakeGuadalupeV2,6,3,7371,0.0429,0.957,0.0005,0.0004
1,FakeGuadalupeV2,6,4,9828,0.0429,0.9569,0.0001,0.0002
1,FakeGuadalupeV2,6,5,12285,0.0428,0.957,0.0001,0.0001
1,FakeGuadalupeV2,6,6,14742,0.0428,0.957,0.0,0.0
1,FakeGuadalupeV2,6,7,17199,0.0421,0.9578,0.0007,0.0008
1,FakeGuadalupeV2,6,8,19656,0.0426,0.9572,0.0005,0.0006
1,FakeGuadalupeV2,6,9,22113,0.0419,0.958,0.0008,0.0008
1,FakeGuadalupeV2,6,10,24576,0.042,0.9578,0.0002,0.0002
1,FakeGuadalupeV2,7,1,2457,0.0444,0.9556,1.0,1.0
1,FakeGuadalupeV2,7,2,4914,0.0448,0.9552,0.0004,0.0004
1,FakeGuadalupeV2,7,3,7371,0.0426,0.9574,0.0022,0.0022
1,FakeGuadalupeV2,7,4,9828,0.0429,0.957,0.0003,0.0003
1,FakeGuadalupeV2,7,5,12285,0.0427,0.9572,0.0002,0.0002
1,FakeGuadalupeV2,7,6,14742,0.043,0.957,0.0003,0.0003
1,FakeGuadalupeV2,7,7,17199,0.0432,0.9568,0.0002,0.0002
1,FakeGuadalupeV2,7,8,19656,0.0425,0.9574,0.0007,0.0007
1,FakeGuadalupeV2,7,9,22113,0.0424,0.9575,0.0001,0.0001
1,FakeGuadalupeV2,7,10,24576,0.0421,0.9578,0.0003,0.0003
1,FakeGuadalupeV2,8,1,2457,0.0407,0.9592,1.0,1.0
1,FakeGuadalupeV2,8,2,4914,0.0425,0.9575,0.0018,0.0017
1,FakeGuadalupeV2,8,3,7371,0.0419,0.9581,0.0006,0.0006
1,FakeGuadalupeV2,8,4,9828,0.04,0.96,0.0019,0.0019
1,FakeGuadalupeV2,8,5,12285,0.0421,0.9579,0.0021,0.0021
1,FakeGuadalupeV2,8,6,14742,0.0425,0.9575,0.0004,0.0004
1,FakeGuadalupeV2,8,7,17199,0.0429,0.9571,0.0004,0.0004
1,FakeGuadalupeV2,8,8,19656,0.0422,0.9577,0.0007,0.0007
1,FakeGuadalupeV2,8,9,22113,0.0426,0.9574,0.0004,0.0004
1,FakeGuadalupeV2,8,10,24576,0.0424,0.9575,0.0002,0.0002
1,FakeGuadalupeV2,9,1,2457,0.0525,0.9475,1.0,1.0
1,FakeGuadalupeV2,9,2,4914,0.0511,0.9488,0.0014,0.0013
1,FakeGuadalupeV2,9,3,7371,0.046,0.9539,0.0051,0.0051
1,FakeGuadalupeV2,9,4,9828,0.0444,0.9556,0.0016,0.0017
1,FakeGuadalupeV2,9,5,12285,0.0442,0.9557,0.0002,0.0001
1,FakeGuadalupeV2,9,6,14742,0.0447,0.9552,0.0005,0.0005
1,FakeGuadalupeV2,9,7,17199,0.0441,0.9558,0.0006,0.0006
1,FakeGuadalupeV2,9,8,19656,0.0454,0.9545,0.0014,0.0014
1,FakeGuadalupeV2,9,9,22113,0.0451,0.9548,0.0003,0.0003
1,FakeGuadalupeV2,9,10,24576,0.0454,0.9545,0.0003,0.0003
