idx,name,n_qubits,backend,backend_qubits,seed,shots,ref_shots,final_tvd,final_hf,grade,stop_cp_paper,stop_shots_paper,stop_correct_paper,stop_cp_tvd_only,stop_correct_tvd_only,transpiled_depth,transpiled_2q,sim_s,qiskit,qiskit_aer,qiskit_ibm_runtime
1,Bell state (GHZ-2),2,FakeTorino,133,0,24576,2457,0.1893,0.8107,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,1,24576,2457,0.1873,0.8127,PASS,,,CORRECT,,CORRECT,8,2,1.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,2,24576,2457,0.186,0.8139,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,3,24576,2457,0.1856,0.8143,PASS,,,CORRECT,,CORRECT,8,2,1.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,4,24576,2457,0.1843,0.8157,PASS,,,CORRECT,,CORRECT,8,2,1.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,5,24576,2457,0.1827,0.8173,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,6,24576,2457,0.1893,0.8107,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,7,24576,2457,0.1859,0.8141,PASS,,,CORRECT,,CORRECT,8,2,1.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,8,24576,2457,0.1832,0.8167,PASS,,,CORRECT,,CORRECT,8,2,1.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,9,24576,2457,0.1844,0.8155,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,10,24576,2457,0.1803,0.8197,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,11,24576,2457,0.1842,0.8158,PASS,,,CORRECT,,CORRECT,8,2,1.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,12,24576,2457,0.1879,0.8121,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,13,24576,2457,0.1886,0.8114,PASS,,,CORRECT,,CORRECT,8,2,1.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,14,24576,2457,0.1822,0.8177,PASS,,,CORRECT,,CORRECT,8,2,1.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,15,24576,2457,0.1833,0.8167,PASS,,,CORRECT,,CORRECT,8,2,1.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,16,24576,2457,0.186,0.814,PASS,,,CORRECT,,CORRECT,8,2,2.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,17,24576,2457,0.1859,0.8141,PASS,,,CORRECT,,CORRECT,8,2,2.0,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,18,24576,2457,0.1849,0.815,PASS,,,CORRECT,,CORRECT,8,2,1.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,19,24576,2457,0.1823,0.8177,PASS,,,CORRECT,,CORRECT,8,2,2.3,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeTorino,133,0,8192,819,0.2308,0.7691,PASS,,,CORRECT,,CORRECT,12,2,1.6,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeTorino,133,1,8192,819,0.2312,0.7687,PASS,,,CORRECT,,CORRECT,12,2,1.9,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeTorino,133,2,8192,819,0.2278,0.7721,PASS,,,CORRECT,,CORRECT,12,2,1.9,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeTorino,133,3,8192,819,0.2367,0.763,PASS,,,CORRECT,,CORRECT,12,2,2.8,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeTorino,133,4,8192,819,0.2267,0.7732,PASS,,,CORRECT,,CORRECT,12,2,2.1,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeTorino,133,5,8192,819,0.2354,0.7644,PASS,,,CORRECT,,CORRECT,12,2,1.6,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeTorino,133,6,8192,819,0.2346,0.7654,PASS,,,CORRECT,,CORRECT,12,2,1.3,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeTorino,133,7,8192,819,0.2283,0.7717,PASS,,,CORRECT,,CORRECT,12,2,2.2,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeTorino,133,8,8192,819,0.2296,0.7703,PASS,,,CORRECT,,CORRECT,12,2,1.9,2.3.1,0.17.2,0.46.1
