idx,name,n_qubits,shots,n_outcomes_full,tvd_30_vs_ref,hf_30_vs_ref,tvd_100_vs_100,hf_100_vs_100
1,Bell state (GHZ-2),2,24576,2,0.007,1.0,0.002,1.0
2,GHZ-3,3,8192,2,0.014,1.0,0.009,1.0
3,VQE HeH+ 2Q,2,4000,1,0.0,1.0,0.0,1.0
4,GHZ-4,4,8192,2,0.022,0.999,0.006,1.0
5,GHZ-5,5,1024,2,0.048,0.997,0.024,0.999
6,GHZ-6,6,128,2,0.065,0.993,0.058,0.994
7,GHZ-8,8,32,2,0.146,0.974,0.106,0.987
8,QFT 4Q,4,500,16,0.211,0.929,0.099,0.984
14,VQE BeH2 14Q,14,4096,3610,0.972,0.002,0.798,0.048
15,Shor N=15 5Q,5,1000,4,0.08,0.99,0.037,0.998
16,QAOA 2Q p=1,2,1000,4,0.08,0.99,0.037,0.998
17,Quantum teleportation 3Q,3,1024,4,0.084,0.988,0.048,0.997
18,Deutsch-Jozsa 3Q,3,1024,2,0.052,0.996,0.017,1.0
19,Bernstein-Vazirani 5Q,5,1024,2,0.048,0.997,0.024,0.999
20,VQE 1Q eigensolver,1,10000,2,0.026,0.999,0.004,1.0
21,QAOA MaxCut 12Q,12,10000,2830,0.659,0.23,0.297,0.77
22,QML Image Class 14Q,14,400,395,0.988,0.0,0.971,0.001
23,VQE SrH PDM 12Q,12,4000,1,0.0,1.0,0.0,1.0
24,Grover 6Q,6,1024,64,0.37,0.689,0.137,0.97
25,QSVM Radar 4Q,4,1024,16,0.164,0.938,0.066,0.992
