idx,name,n_qubits,original_shots,shots,checkpoint_frac,n_distinct,tvd_vs_ideal,hf_vs_ideal,delta_tvd,converged,should_stop
1,Bell state (GHZ-2),2,24576,2457,0.1,4,0.0167,0.9833,1.0,False,False
1,Bell state (GHZ-2),2,24576,4914,0.2,4,0.0181,0.9828,0.0014,False,False
1,Bell state (GHZ-2),2,24576,7371,0.3,4,0.0222,0.9827,0.0041,True,False
1,Bell state (GHZ-2),2,24576,9828,0.4,4,0.0179,0.982,0.0043,True,False
1,Bell state (GHZ-2),2,24576,12285,0.5,4,0.0182,0.9818,0.0002,True,False
1,Bell state (GHZ-2),2,24576,14742,0.6,4,0.0184,0.9816,0.0002,True,False
1,Bell state (GHZ-2),2,24576,17199,0.7,4,0.0183,0.9817,0.0001,True,False
1,Bell state (GHZ-2),2,24576,19656,0.8,4,0.0182,0.9818,0.0001,True,False
1,Bell state (GHZ-2),2,24576,22113,0.9,4,0.0182,0.9818,0.0,True,False
1,Bell state (GHZ-2),2,24576,24576,1.0,4,0.018,0.982,0.0002,True,False
2,GHZ-3,3,8192,819,0.1,8,0.6264,0.3734,1.0,False,False
2,GHZ-3,3,8192,1638,0.2,8,0.6239,0.3759,0.0024,False,False
2,GHZ-3,3,8192,2457,0.3,8,0.6195,0.3804,0.0045,True,True
2,GHZ-3,3,8192,3276,0.4,8,0.6172,0.3825,0.0022,True,True
2,GHZ-3,3,8192,4095,0.5,8,0.6134,0.3863,0.0038,True,True
2,GHZ-3,3,8192,4914,0.6,8,0.6093,0.3905,0.0042,True,True
2,GHZ-3,3,8192,5733,0.7,8,0.6091,0.3907,0.0002,True,True
2,GHZ-3,3,8192,6552,0.8,8,0.607,0.3928,0.0021,True,True
2,GHZ-3,3,8192,7371,0.9,8,0.6067,0.3932,0.0003,True,True
2,GHZ-3,3,8192,8192,1.0,8,0.6068,0.393,0.0001,True,True
3,VQE HeH+ 2Q,2,4000,400,0.1,3,0.0175,0.9825,1.0,False,False
3,VQE HeH+ 2Q,2,4000,800,0.2,4,0.0212,0.9788,0.0038,False,False
