idx,name,n_qubits,original_shots,final_tvd,final_hf,final_grade,stop_at,shots_saved_pct,stop_correct
1,Bell state (GHZ-2),2,24576,0.018,0.982,PASS,,0,CORRECT
2,GHZ-3,3,8192,0.6068,0.3931,FAIL,2457,70.0,CORRECT
3,VQE HeH+ 2Q,2,4000,0.024,0.976,PASS,,0,CORRECT
4,GHZ-4,4,8192,0.0475,0.9525,PASS,,0,CORRECT
5,GHZ-5,5,1024,0.0547,0.9541,PASS,,0,CORRECT
6,GHZ-6,6,128,0.6641,0.3317,FAIL,60,53.1,CORRECT
7,GHZ-8,8,32,0.9062,0.0888,FAIL,12,62.5,CORRECT
8,QFT 4Q,4,500,0.108,0.9833,PASS,,0,CORRECT
9,VQE Hubbard 16Q,16,1000,0.987,0.0002,FAIL,300,70.0,CORRECT
10,Grover Lights-Out 16Q,16,4000,0.9313,0.005,FAIL,1200,70.0,CORRECT
11,QSVM Kernel 15Q (LHC),15,8192,0.5616,0.2965,FAIL,2457,70.0,CORRECT
12,QML Kernel 17Q (Supernova),17,5000,0.7768,0.0747,FAIL,1500,70.0,CORRECT
13,QAOA MaxCut 16Q,16,20000,0.656,0.1763,FAIL,6000,70.0,CORRECT
14,VQE BeH2 14Q,14,4096,0.7988,0.049,FAIL,1227,70.0,CORRECT
16,QAOA 2Q p=1,2,1000,0.043,0.9974,PASS,,0,CORRECT
17,Quantum teleportation 3Q,3,1024,0.0234,0.999,PASS,,0,CORRECT
18,Deutsch-Jozsa 3Q,3,1024,0.0449,0.9689,PASS,,0,CORRECT
19,Bernstein-Vazirani 5Q,5,1024,0.0596,0.9443,PASS,,0,CORRECT
20,VQE 1Q eigensolver,1,10000,0.0165,0.9997,PASS,,0,CORRECT
22,QML Image Class 14Q,14,400,0.9775,0.0005,FAIL,120,70.0,CORRECT
23,VQE SrH PDM 12Q,12,4000,0.9745,0.0255,FAIL,1200,70.0,CORRECT
