idx,name,n_qubits,shots,category,backend,tvd,hellinger_fidelity,circuit_metric_name,circuit_metric_value,readable,transpiled_depth,transpiled_cx_count
1,Bell state (GHZ-2),2,24576,ghz,FakeAlgiers,0.0178,0.9822,ghz_visibility,0.9822,PASS,5,1
1,Bell state (GHZ-2),2,24576,ghz,FakeGuadalupeV2,0.0427,0.9572,ghz_visibility,0.9573,PASS,5,1
1,Bell state (GHZ-2),2,24576,ghz,FakeLagosV2,0.2623,0.7376,ghz_visibility,0.7377,PASS,5,1
1,Bell state (GHZ-2),2,24576,ghz,FakeManilaV2,0.0607,0.9392,ghz_visibility,0.9393,PASS,5,1
1,Bell state (GHZ-2),2,24576,ghz,FakeSherbrooke,0.0413,0.9587,ghz_visibility,0.9587,PASS,6,0
1,Bell state (GHZ-2),2,24576,ghz,FakeTorino,0.182,0.8179,ghz_visibility,0.818,PASS,8,0
2,GHZ-3,3,8192,ghz,FakeAlgiers,0.0345,0.9655,ghz_visibility,0.9655,PASS,6,2
2,GHZ-3,3,8192,ghz,FakeGuadalupeV2,0.0726,0.9272,ghz_visibility,0.9274,PASS,6,2
2,GHZ-3,3,8192,ghz,FakeLagosV2,0.6077,0.3923,ghz_visibility,0.3923,FAIL,6,2
2,GHZ-3,3,8192,ghz,FakeManilaV2,0.1581,0.8419,ghz_visibility,0.8419,PASS,6,2
2,GHZ-3,3,8192,ghz,FakeSherbrooke,0.0742,0.9257,ghz_visibility,0.9258,PASS,9,0
2,GHZ-3,3,8192,ghz,FakeTorino,0.2285,0.7715,ghz_visibility,0.7715,PASS,12,0
3,VQE HeH+ 2Q,2,4000,vqe,FakeAlgiers,0.018,0.982,none,,PASS,8,1
3,VQE HeH+ 2Q,2,4000,vqe,FakeGuadalupeV2,0.044,0.956,none,,PASS,8,1
3,VQE HeH+ 2Q,2,4000,vqe,FakeLagosV2,0.2923,0.7078,none,,PASS,8,1
3,VQE HeH+ 2Q,2,4000,vqe,FakeManilaV2,0.069,0.931,none,,PASS,8,1
3,VQE HeH+ 2Q,2,4000,vqe,FakeSherbrooke,0.0447,0.9553,none,,PASS,8,0
3,VQE HeH+ 2Q,2,4000,vqe,FakeTorino,0.1875,0.8125,none,,PASS,8,0
4,GHZ-4,4,8192,ghz,FakeAlgiers,0.0474,0.9526,ghz_visibility,0.9526,PASS,7,3
4,GHZ-4,4,8192,ghz,FakeGuadalupeV2,0.1108,0.8891,ghz_visibility,0.8892,PASS,7,3
4,GHZ-4,4,8192,ghz,FakeLagosV2,0.4081,0.5918,ghz_visibility,0.5919,MARGINAL,7,3
4,GHZ-4,4,8192,ghz,FakeManilaV2,0.1721,0.8279,ghz_visibility,0.8279,PASS,7,3
4,GHZ-4,4,8192,ghz,FakeSherbrooke,0.0856,0.9144,ghz_visibility,0.9144,PASS,12,0
4,GHZ-4,4,8192,ghz,FakeTorino,0.2515,0.7485,ghz_visibility,0.7485,PASS,16,0
5,GHZ-5,5,1024,ghz,FakeAlgiers,0.0469,0.9529,ghz_visibility,0.9531,PASS,8,4
5,GHZ-5,5,1024,ghz,FakeGuadalupeV2,0.0977,0.9022,ghz_visibility,0.9023,PASS,8,4
5,GHZ-5,5,1024,ghz,FakeLagosV2,0.502,0.4977,ghz_visibility,0.498,MARGINAL,8,4
5,GHZ-5,5,1024,ghz,FakeManilaV2,0.1875,0.8125,ghz_visibility,0.8125,PASS,8,4
5,GHZ-5,5,1024,ghz,FakeSherbrooke,0.1035,0.896,ghz_visibility,0.8965,PASS,14,0
5,GHZ-5,5,1024,ghz,FakeTorino,0.2979,0.702,ghz_visibility,0.7021,PASS,20,0
6,GHZ-6,6,128,ghz,FakeAlgiers,0.0625,0.9591,ghz_visibility,0.9609,PASS,9,5
6,GHZ-6,6,128,ghz,FakeGuadalupeV2,0.1719,0.8242,ghz_visibility,0.8281,PASS,9,5
6,GHZ-6,6,128,ghz,FakeLagosV2,0.6875,0.3124,ghz_visibility,0.3125,FAIL,12,8
6,GHZ-6,6,128,ghz,FakeSherbrooke,0.1328,0.8654,ghz_visibility,0.8672,PASS,16,0
6,GHZ-6,6,128,ghz,FakeTorino,0.2344,0.7656,ghz_visibility,0.7656,PASS,24,0
7,GHZ-8,8,32,ghz,FakeAlgiers,0.0938,0.9342,ghz_visibility,0.9375,PASS,11,7
7,GHZ-8,8,32,ghz,FakeGuadalupeV2,0.0938,0.9062,ghz_visibility,0.9062,PASS,11,7
7,GHZ-8,8,32,ghz,FakeSherbrooke,0.8438,0.1483,ghz_visibility,0.1562,FAIL,20,0
7,GHZ-8,8,32,ghz,FakeTorino,0.3125,0.6766,ghz_visibility,0.6875,MARGINAL,32,0
8,QFT 4Q,4,500,qft,FakeAlgiers,0.082,0.9906,none,,PASS,42,18
8,QFT 4Q,4,500,qft,FakeGuadalupeV2,0.09,0.9854,none,,PASS,37,18
8,QFT 4Q,4,500,qft,FakeLagosV2,0.096,0.9879,none,,PASS,37,18
8,QFT 4Q,4,500,qft,FakeManilaV2,0.122,0.9763,none,,PASS,39,21
8,QFT 4Q,4,500,qft,FakeSherbrooke,0.122,0.9781,none,,PASS,80,0
8,QFT 4Q,4,500,qft,FakeTorino,0.132,0.9767,none,,PASS,86,0
9,VQE Hubbard 16Q,16,1000,vqe,FakeAlgiers,0.985,0.0002,none,,FAIL,27,30
9,VQE Hubbard 16Q,16,1000,vqe,FakeGuadalupeV2,0.984,0.0003,none,,FAIL,48,39
9,VQE Hubbard 16Q,16,1000,vqe,FakeSherbrooke,0.985,0.0002,none,,FAIL,59,0
9,VQE Hubbard 16Q,16,1000,vqe,FakeTorino,0.982,0.0003,none,,FAIL,70,0
