idx,name,n_qubits,shots,checkpoint,n,n_ref,tvd_p95,hf_p05,tvd_median,p_false_fail,evaluable
1,Bell state (GHZ-2),2,24576,3,7371,2457,0.012,1.0,0.004,0.0,1
1,Bell state (GHZ-2),2,24576,4,9828,2457,0.01,1.0,0.004,0.0,1
1,Bell state (GHZ-2),2,24576,5,12285,2457,0.01,1.0,0.003,0.0,1
1,Bell state (GHZ-2),2,24576,6,14742,2457,0.008,1.0,0.003,0.0,1
1,Bell state (GHZ-2),2,24576,7,17199,2457,0.008,1.0,0.002,0.0,1
1,Bell state (GHZ-2),2,24576,8,19656,2457,0.008,1.0,0.003,0.0,1
1,Bell state (GHZ-2),2,24576,9,22113,2457,0.008,1.0,0.003,0.0,1
1,Bell state (GHZ-2),2,24576,10,24576,2457,0.007,1.0,0.002,0.0,1
2,GHZ-3,3,8192,3,2457,819,0.019,1.0,0.007,0.0,1
2,GHZ-3,3,8192,4,3276,819,0.017,1.0,0.006,0.0,1
2,GHZ-3,3,8192,5,4095,819,0.015,1.0,0.005,0.0,1
2,GHZ-3,3,8192,6,4914,819,0.014,1.0,0.005,0.0,1
2,GHZ-3,3,8192,7,5733,819,0.014,1.0,0.005,0.0,1
2,GHZ-3,3,8192,8,6552,819,0.014,1.0,0.004,0.0,1
2,GHZ-3,3,8192,9,7371,819,0.011,1.0,0.004,0.0,1
2,GHZ-3,3,8192,10,8192,819,0.01,1.0,0.004,0.0,1
3,VQE HeH+ 2Q,2,4000,3,1200,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,4,1600,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,5,2000,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,6,2400,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,7,2800,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,8,3200,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,9,3600,400,0.0,1.0,0.0,0.0,1
3,VQE HeH+ 2Q,2,4000,10,4000,400,0.0,1.0,0.0,0.0,1
4,GHZ-4,4,8192,3,2457,819,0.019,1.0,0.008,0.0,1
4,GHZ-4,4,8192,4,3276,819,0.017,1.0,0.005,0.0,1
4,GHZ-4,4,8192,5,4095,819,0.014,1.0,0.005,0.0,1
4,GHZ-4,4,8192,6,4914,819,0.013,1.0,0.005,0.0,1
4,GHZ-4,4,8192,7,5733,819,0.013,1.0,0.004,0.0,1
4,GHZ-4,4,8192,8,6552,819,0.014,1.0,0.005,0.0,1
4,GHZ-4,4,8192,9,7371,819,0.011,1.0,0.004,0.0,1
4,GHZ-4,4,8192,10,8192,819,0.011,1.0,0.004,0.0,1
5,GHZ-5,5,1024,3,306,102,0.062,0.996,0.02,0.0,1
5,GHZ-5,5,1024,4,408,102,0.049,0.998,0.02,0.0,1
5,GHZ-5,5,1024,5,510,102,0.045,0.998,0.015,0.0,1
5,GHZ-5,5,1024,6,612,102,0.041,0.998,0.011,0.0,1
5,GHZ-5,5,1024,7,714,102,0.038,0.999,0.011,0.0,1
5,GHZ-5,5,1024,8,816,102,0.037,0.999,0.012,0.0,1
5,GHZ-5,5,1024,9,918,102,0.027,0.999,0.009,0.0,1
5,GHZ-5,5,1024,10,1024,102,0.032,0.999,0.012,0.0,1
6,GHZ-6,6,128,3,36,100,0.167,0.971,0.056,0.0,1
6,GHZ-6,6,128,4,48,100,0.146,0.978,0.042,0.0,1
6,GHZ-6,6,128,5,60,100,0.117,0.986,0.05,0.0,1
6,GHZ-6,6,128,6,72,100,0.125,0.984,0.042,0.0,1
6,GHZ-6,6,128,7,84,100,0.119,0.986,0.036,0.0,1
6,GHZ-6,6,128,8,96,100,0.094,0.991,0.031,0.0,1
6,GHZ-6,6,128,9,108,100,0.093,0.991,0.028,0.0,1
6,GHZ-6,6,128,10,128,100,0.102,0.99,0.031,0.0,1
7,GHZ-8,8,32,3,9,100,0.278,0.916,0.167,0.0,1
7,GHZ-8,8,32,4,12,100,0.25,0.933,0.083,0.0,1
7,GHZ-8,8,32,5,15,100,0.233,0.942,0.1,0.0,1
7,GHZ-8,8,32,6,18,100,0.222,0.948,0.056,0.0,1
7,GHZ-8,8,32,7,21,100,0.214,0.952,0.071,0.0,1
7,GHZ-8,8,32,8,24,100,0.208,0.955,0.083,0.0,1
7,GHZ-8,8,32,9,27,100,0.167,0.971,0.056,0.0,1
7,GHZ-8,8,32,10,32,100,0.188,0.964,0.062,0.0,1
8,QFT 4Q,4,500,3,150,100,0.169,0.951,0.129,0.0,1
8,QFT 4Q,4,500,4,200,100,0.14,0.97,0.11,0.0,1
8,QFT 4Q,4,500,5,250,100,0.133,0.974,0.098,0.0,1
8,QFT 4Q,4,500,6,300,100,0.117,0.978,0.087,0.0,1
8,QFT 4Q,4,500,7,350,100,0.109,0.982,0.081,0.0,1
8,QFT 4Q,4,500,8,400,100,0.103,0.984,0.075,0.0,1
8,QFT 4Q,4,500,9,450,100,0.098,0.986,0.072,0.0,1
8,QFT 4Q,4,500,10,500,100,0.09,0.988,0.07,0.0,1
14,VQE BeH2 14Q,14,4096,3,1227,409,0.125,0.886,0.11,0.0,1
14,VQE BeH2 14Q,14,4096,4,1636,409,0.111,0.9,0.1,0.0,1
14,VQE BeH2 14Q,14,4096,5,2045,409,0.101,0.911,0.092,0.0,1
14,VQE BeH2 14Q,14,4096,6,2454,409,0.096,0.918,0.086,0.0,1
14,VQE BeH2 14Q,14,4096,7,2863,409,0.089,0.925,0.081,0.0,1
14,VQE BeH2 14Q,14,4096,8,3272,409,0.086,0.929,0.077,0.0,1
14,VQE BeH2 14Q,14,4096,9,3681,409,0.081,0.934,0.074,0.0,1
14,VQE BeH2 14Q,14,4096,10,4096,409,0.078,0.937,0.07,0.0,1
15,Shor N=15 5Q,5,1000,3,300,100,0.07,0.993,0.037,0.0,1
15,Shor N=15 5Q,5,1000,4,400,100,0.062,0.995,0.03,0.0,1
15,Shor N=15 5Q,5,1000,5,500,100,0.056,0.996,0.03,0.0,1
15,Shor N=15 5Q,5,1000,6,600,100,0.048,0.997,0.027,0.0,1
15,Shor N=15 5Q,5,1000,7,700,100,0.044,0.998,0.024,0.0,1
15,Shor N=15 5Q,5,1000,8,800,100,0.044,0.997,0.022,0.0,1
15,Shor N=15 5Q,5,1000,9,900,100,0.04,0.998,0.022,0.0,1
15,Shor N=15 5Q,5,1000,10,1000,100,0.037,0.998,0.02,0.0,1
16,QAOA 2Q p=1,2,1000,3,300,100,0.07,0.993,0.037,0.0,1
16,QAOA 2Q p=1,2,1000,4,400,100,0.062,0.995,0.03,0.0,1
16,QAOA 2Q p=1,2,1000,5,500,100,0.056,0.996,0.03,0.0,1
16,QAOA 2Q p=1,2,1000,6,600,100,0.048,0.997,0.027,0.0,1
16,QAOA 2Q p=1,2,1000,7,700,100,0.044,0.998,0.024,0.0,1
16,QAOA 2Q p=1,2,1000,8,800,100,0.044,0.997,0.023,0.0,1
16,QAOA 2Q p=1,2,1000,9,900,100,0.04,0.998,0.022,0.0,1
16,QAOA 2Q p=1,2,1000,10,1000,100,0.037,0.998,0.02,0.0,1
17,Quantum teleportation 3Q,3,1024,3,306,102,0.069,0.993,0.036,0.0,1
17,Quantum teleportation 3Q,3,1024,4,408,102,0.061,0.995,0.034,0.0,1
17,Quantum teleportation 3Q,3,1024,5,510,102,0.053,0.996,0.032,0.0,1
17,Quantum teleportation 3Q,3,1024,6,612,102,0.052,0.997,0.026,0.0,1
17,Quantum teleportation 3Q,3,1024,7,714,102,0.043,0.998,0.024,0.0,1
17,Quantum teleportation 3Q,3,1024,8,816,102,0.044,0.997,0.022,0.0,1
17,Quantum teleportation 3Q,3,1024,9,918,102,0.04,0.998,0.023,0.0,1
17,Quantum teleportation 3Q,3,1024,10,1024,102,0.041,0.998,0.02,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,3,306,102,0.052,0.997,0.016,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,4,408,102,0.054,0.997,0.017,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,5,510,102,0.043,0.998,0.014,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,6,612,102,0.042,0.998,0.015,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,7,714,102,0.039,0.998,0.014,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,8,816,102,0.033,0.999,0.013,0.0,1
