idx,name,n_qubits,shots,n_outcomes,max_p,uniform_p,collision_ratio,entropy_bits,verdict
1,Bell state (GHZ-2),2,24576,2,0.5,0.25,2.0,1.0,broad
2,GHZ-3,3,8192,2,0.5,0.125,4.0,1.0,peaked
3,VQE HeH+ 2Q,2,4000,1,1.0,0.25,4.0,0.0,peaked
4,GHZ-4,4,8192,2,0.5,0.0625,8.0,1.0,peaked
5,GHZ-5,5,1024,2,0.5,0.03125,16.0,1.0,peaked
6,GHZ-6,6,128,2,0.5,0.015625,32.0,1.0,peaked
7,GHZ-8,8,32,2,0.5,0.003906,128.0,1.0,peaked
8,QFT 4Q,4,500,16,0.0625,0.0625,1.0,4.0,UNIFORM (no information)
14,VQE BeH2 14Q,14,4096,14386,0.524555,6.1e-05,4708.089,3.921,peaked
15,Shor N=15 5Q,5,1000,4,0.25,0.03125,8.0,2.0,peaked
16,QAOA 2Q p=1,2,1000,4,0.25,0.25,1.0,2.0,UNIFORM (no information)
17,Quantum teleportation 3Q,3,1024,4,0.25,0.125,2.0,2.0,broad
18,Deutsch-Jozsa 3Q,3,1024,2,0.5,0.125,4.0,1.0,peaked
19,Bernstein-Vazirani 5Q,5,1024,2,0.5,0.03125,16.0,1.0,peaked
20,VQE 1Q eigensolver,1,10000,2,0.5,0.5,1.0,1.0,UNIFORM (no information)
21,QAOA MaxCut 12Q,12,10000,4096,0.00179,0.000244,2.079,11.317,broad
22,QML Image Class 14Q,14,400,1487,0.775242,6.1e-05,9934.192,1.663,peaked
23,VQE SrH PDM 12Q,12,4000,1,1.0,0.000244,4096.0,-0.0,peaked
24,Grover 6Q,6,1024,64,0.017201,0.015625,1.01,5.993,UNIFORM (no information)
25,QSVM Radar 4Q,4,1024,16,0.379902,0.0625,2.812,3.274,broad
