idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
1,FakeAlgiers,20,1,2457,0.0263,0.9774,1.0,1.0
1,FakeAlgiers,20,2,4914,0.0189,0.981,0.0073,0.0036
1,FakeAlgiers,20,3,7371,0.0193,0.9807,0.0003,0.0003
1,FakeAlgiers,20,4,9828,0.0188,0.9811,0.0004,0.0004
1,FakeAlgiers,20,5,12285,0.0195,0.9805,0.0006,0.0006
1,FakeAlgiers,20,6,14742,0.0196,0.9804,0.0001,0.0001
1,FakeAlgiers,20,7,17199,0.0197,0.9803,0.0,0.0
1,FakeAlgiers,20,8,19656,0.0195,0.9805,0.0001,0.0001
1,FakeAlgiers,20,9,22113,0.0198,0.9802,0.0002,0.0002
1,FakeAlgiers,20,10,24576,0.0202,0.9798,0.0005,0.0005
1,FakeAlgiers,21,1,2457,0.0191,0.9808,1.0,1.0
1,FakeAlgiers,21,2,4914,0.0185,0.982,0.0006,0.0012
1,FakeAlgiers,21,3,7371,0.0166,0.9834,0.002,0.0014
1,FakeAlgiers,21,4,9828,0.0172,0.9828,0.0006,0.0006
1,FakeAlgiers,21,5,12285,0.0177,0.9822,0.0005,0.0005
1,FakeAlgiers,21,6,14742,0.0176,0.9824,0.0002,0.0002
1,FakeAlgiers,21,7,17199,0.0182,0.9818,0.0006,0.0006
1,FakeAlgiers,21,8,19656,0.0183,0.9817,0.0001,0.0001
1,FakeAlgiers,21,9,22113,0.0187,0.9813,0.0005,0.0005
1,FakeAlgiers,21,10,24576,0.0183,0.9817,0.0005,0.0005
1,FakeAlgiers,22,1,2457,0.0187,0.9812,1.0,1.0
1,FakeAlgiers,22,2,4914,0.0185,0.9815,0.0002,0.0003
1,FakeAlgiers,22,3,7371,0.018,0.982,0.0005,0.0005
1,FakeAlgiers,22,4,9828,0.0174,0.9826,0.0006,0.0006
1,FakeAlgiers,22,5,12285,0.0174,0.9826,0.0,0.0
1,FakeAlgiers,22,6,14742,0.0173,0.9827,0.0001,0.0001
1,FakeAlgiers,22,7,17199,0.0168,0.9832,0.0005,0.0005
1,FakeAlgiers,22,8,19656,0.0168,0.9832,0.0,0.0
1,FakeAlgiers,22,9,22113,0.0167,0.9833,0.0001,0.0001
1,FakeAlgiers,22,10,24576,0.0175,0.9825,0.0008,0.0008
1,FakeAlgiers,23,1,2457,0.0195,0.9804,1.0,1.0
1,FakeAlgiers,23,2,4914,0.0183,0.9818,0.0012,0.0014
1,FakeAlgiers,23,3,7371,0.0186,0.9814,0.0003,0.0004
1,FakeAlgiers,23,4,9828,0.0181,0.9819,0.0005,0.0005
1,FakeAlgiers,23,5,12285,0.019,0.981,0.0009,0.0009
1,FakeAlgiers,23,6,14742,0.0187,0.9813,0.0003,0.0003
1,FakeAlgiers,23,7,17199,0.019,0.981,0.0004,0.0004
1,FakeAlgiers,23,8,19656,0.0193,0.9807,0.0003,0.0003
1,FakeAlgiers,23,9,22113,0.0188,0.9812,0.0005,0.0005
1,FakeAlgiers,23,10,24576,0.019,0.981,0.0001,0.0001
1,FakeAlgiers,24,1,2457,0.0187,0.9813,1.0,1.0
1,FakeAlgiers,24,2,4914,0.0193,0.981,0.0006,0.0003
1,FakeAlgiers,24,3,7371,0.0186,0.9814,0.0007,0.0004
1,FakeAlgiers,24,4,9828,0.018,0.982,0.0006,0.0006
1,FakeAlgiers,24,5,12285,0.0182,0.9818,0.0001,0.0001
1,FakeAlgiers,24,6,14742,0.0185,0.9815,0.0003,0.0003
1,FakeAlgiers,24,7,17199,0.0187,0.9813,0.0003,0.0003
1,FakeAlgiers,24,8,19656,0.0184,0.9816,0.0003,0.0003
1,FakeAlgiers,24,9,22113,0.0185,0.9815,0.0001,0.0001
1,FakeAlgiers,24,10,24576,0.0185,0.9815,0.0,0.0
1,FakeAlgiers,25,1,2457,0.0208,0.9792,1.0,1.0
1,FakeAlgiers,25,2,4914,0.0195,0.9805,0.0012,0.0013
1,FakeAlgiers,25,3,7371,0.0186,0.9814,0.0009,0.0009
1,FakeAlgiers,25,4,9828,0.0182,0.9818,0.0004,0.0004
1,FakeAlgiers,25,5,12285,0.0181,0.9819,0.0001,0.0001
1,FakeAlgiers,25,6,14742,0.0177,0.9822,0.0004,0.0003
1,FakeAlgiers,25,7,17199,0.0178,0.9822,0.0001,0.0001
1,FakeAlgiers,25,8,19656,0.0178,0.9822,0.0,0.0
1,FakeAlgiers,25,9,22113,0.0175,0.9825,0.0003,0.0003
1,FakeAlgiers,25,10,24576,0.0174,0.9826,0.0001,0.0001
1,FakeAlgiers,26,1,2457,0.0222,0.9823,1.0,1.0
1,FakeAlgiers,26,2,4914,0.0195,0.9834,0.0026,0.0011
1,FakeAlgiers,26,3,7371,0.016,0.9839,0.0035,0.0006
1,FakeAlgiers,26,4,9828,0.0172,0.9828,0.0012,0.0011
1,FakeAlgiers,26,5,12285,0.018,0.982,0.0008,0.0008
1,FakeAlgiers,26,6,14742,0.0181,0.9819,0.0001,0.0001
1,FakeAlgiers,26,7,17199,0.0183,0.9817,0.0002,0.0002
1,FakeAlgiers,26,8,19656,0.0182,0.9818,0.0001,0.0001
1,FakeAlgiers,26,9,22113,0.018,0.982,0.0003,0.0003
1,FakeAlgiers,26,10,24576,0.0182,0.9818,0.0002,0.0002
1,FakeAlgiers,27,1,2457,0.0208,0.9792,1.0,1.0
1,FakeAlgiers,27,2,4914,0.0175,0.9825,0.0033,0.0033
1,FakeAlgiers,27,3,7371,0.0183,0.9817,0.0008,0.0008
1,FakeAlgiers,27,4,9828,0.019,0.981,0.0007,0.0007
1,FakeAlgiers,27,5,12285,0.0185,0.9815,0.0005,0.0005
1,FakeAlgiers,27,6,14742,0.0177,0.9823,0.0008,0.0008
1,FakeAlgiers,27,7,17199,0.0173,0.9827,0.0004,0.0004
1,FakeAlgiers,27,8,19656,0.0175,0.9825,0.0002,0.0002
1,FakeAlgiers,27,9,22113,0.0171,0.9829,0.0004,0.0004
