idx,name,n_qubits,backend,backend_qubits,seed,shots,ref_shots,final_tvd,final_hf,grade,stop_cp_paper,stop_shots_paper,stop_correct_paper,stop_cp_tvd_only,stop_correct_tvd_only,transpiled_depth,transpiled_2q,sim_s,qiskit,qiskit_aer,qiskit_ibm_runtime
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,0,24576,2457,0.0443,0.9557,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,1,24576,2457,0.0422,0.9578,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,2,24576,2457,0.0413,0.9585,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,3,24576,2457,0.0417,0.9582,PASS,,,CORRECT,,CORRECT,5,2,0.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,4,24576,2457,0.0408,0.9592,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,5,24576,2457,0.0416,0.9584,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,6,24576,2457,0.042,0.958,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,7,24576,2457,0.0421,0.9579,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,8,24576,2457,0.0424,0.9575,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,9,24576,2457,0.0454,0.9545,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,10,24576,2457,0.0411,0.9589,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,11,24576,2457,0.046,0.954,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,12,24576,2457,0.0408,0.9591,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,13,24576,2457,0.0411,0.9589,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,14,24576,2457,0.0396,0.9603,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,15,24576,2457,0.0415,0.9585,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,16,24576,2457,0.0431,0.9569,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,17,24576,2457,0.0403,0.9597,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,18,24576,2457,0.0415,0.9585,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,19,24576,2457,0.0416,0.9584,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeGuadalupeV2,16,0,8192,819,0.0728,0.9272,PASS,,,CORRECT,,CORRECT,6,2,0.1,2.3.1,0.17.2,0.46.1
