idx,name,n_qubits,backend,backend_qubits,seed,shots,ref_shots,final_tvd,final_hf,grade,stop_cp_paper,stop_shots_paper,stop_correct_paper,stop_cp_tvd_only,stop_correct_tvd_only,transpiled_depth,transpiled_2q,sim_s,qiskit,qiskit_aer,qiskit_ibm_runtime
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,20,24576,2457,0.045,0.955,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,21,24576,2457,0.0435,0.9565,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,22,24576,2457,0.0432,0.9568,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,23,24576,2457,0.0426,0.9573,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,24,24576,2457,0.0427,0.9573,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,25,24576,2457,0.0431,0.9568,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,26,24576,2457,0.0446,0.9554,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,27,24576,2457,0.0424,0.9576,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,28,24576,2457,0.0428,0.9572,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,29,24576,2457,0.0419,0.9581,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,30,24576,2457,0.0443,0.9557,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,31,24576,2457,0.0425,0.9575,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,32,24576,2457,0.044,0.9559,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,33,24576,2457,0.0443,0.9557,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,34,24576,2457,0.0411,0.9588,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,35,24576,2457,0.0418,0.9582,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,36,24576,2457,0.0421,0.9579,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,37,24576,2457,0.0445,0.9555,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,38,24576,2457,0.0415,0.9584,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,39,24576,2457,0.0438,0.9562,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,40,24576,2457,0.0411,0.9589,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,41,24576,2457,0.0424,0.9576,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,42,24576,2457,0.0416,0.9584,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,43,24576,2457,0.0431,0.9568,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,44,24576,2457,0.0427,0.9573,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,45,24576,2457,0.0422,0.9578,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,46,24576,2457,0.0413,0.9587,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,47,24576,2457,0.0418,0.9582,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,48,24576,2457,0.0438,0.9562,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,49,24576,2457,0.043,0.957,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,50,24576,2457,0.0415,0.9584,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,51,24576,2457,0.0433,0.9567,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,52,24576,2457,0.04,0.96,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,53,24576,2457,0.0444,0.9556,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,54,24576,2457,0.0435,0.9565,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,55,24576,2457,0.0422,0.9578,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,56,24576,2457,0.0411,0.9589,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,57,24576,2457,0.0406,0.9593,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,58,24576,2457,0.0429,0.957,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,59,24576,2457,0.0438,0.9561,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,60,24576,2457,0.0436,0.9564,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,61,24576,2457,0.0422,0.9578,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,62,24576,2457,0.0411,0.9588,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,63,24576,2457,0.0432,0.9567,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,64,24576,2457,0.042,0.9579,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,65,24576,2457,0.0429,0.9569,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,66,24576,2457,0.0431,0.9569,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,67,24576,2457,0.0438,0.9562,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,68,24576,2457,0.0412,0.9587,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,69,24576,2457,0.045,0.955,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,70,24576,2457,0.0429,0.9571,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,71,24576,2457,0.0415,0.9585,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,72,24576,2457,0.0405,0.9595,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,73,24576,2457,0.0402,0.9596,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,74,24576,2457,0.0421,0.9578,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,75,24576,2457,0.0435,0.9565,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,76,24576,2457,0.0439,0.9561,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,77,24576,2457,0.043,0.957,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,78,24576,2457,0.0412,0.9587,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,79,24576,2457,0.0418,0.9581,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,80,24576,2457,0.0429,0.9571,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,81,24576,2457,0.0431,0.9569,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,82,24576,2457,0.0417,0.9583,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,83,24576,2457,0.0429,0.957,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,84,24576,2457,0.0408,0.9592,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,85,24576,2457,0.0404,0.9596,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeGuadalupeV2,16,86,24576,2457,0.0419,0.9581,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
