idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
1,FakeGuadalupeV2,20,1,2457,0.0452,0.9547,1.0,1.0
1,FakeGuadalupeV2,20,2,4914,0.0433,0.9566,0.0018,0.002
1,FakeGuadalupeV2,20,3,7371,0.0453,0.9547,0.002,0.0019
1,FakeGuadalupeV2,20,4,9828,0.0434,0.9565,0.0019,0.0019
1,FakeGuadalupeV2,20,5,12285,0.0444,0.9556,0.0009,0.0009
1,FakeGuadalupeV2,20,6,14742,0.0446,0.9554,0.0003,0.0003
1,FakeGuadalupeV2,20,7,17199,0.0442,0.9558,0.0004,0.0004
1,FakeGuadalupeV2,20,8,19656,0.0445,0.9555,0.0002,0.0002
1,FakeGuadalupeV2,20,9,22113,0.0449,0.9551,0.0004,0.0004
1,FakeGuadalupeV2,20,10,24576,0.045,0.955,0.0001,0.0001
1,FakeGuadalupeV2,21,1,2457,0.046,0.9539,1.0,1.0
1,FakeGuadalupeV2,21,2,4914,0.0444,0.9554,0.0016,0.0015
1,FakeGuadalupeV2,21,3,7371,0.0434,0.9565,0.0009,0.0011
1,FakeGuadalupeV2,21,4,9828,0.042,0.9579,0.0014,0.0014
1,FakeGuadalupeV2,21,5,12285,0.044,0.9559,0.002,0.002
1,FakeGuadalupeV2,21,6,14742,0.0439,0.9561,0.0001,0.0002
1,FakeGuadalupeV2,21,7,17199,0.0438,0.9562,0.0,0.0001
1,FakeGuadalupeV2,21,8,19656,0.0439,0.9561,0.0001,0.0001
1,FakeGuadalupeV2,21,9,22113,0.0441,0.9559,0.0002,0.0002
1,FakeGuadalupeV2,21,10,24576,0.0435,0.9565,0.0006,0.0006
1,FakeGuadalupeV2,22,1,2457,0.0484,0.9515,1.0,1.0
1,FakeGuadalupeV2,22,2,4914,0.0458,0.9542,0.0026,0.0027
1,FakeGuadalupeV2,22,3,7371,0.0438,0.9562,0.002,0.002
1,FakeGuadalupeV2,22,4,9828,0.0443,0.9557,0.0004,0.0005
1,FakeGuadalupeV2,22,5,12285,0.0426,0.9574,0.0017,0.0017
1,FakeGuadalupeV2,22,6,14742,0.0429,0.957,0.0004,0.0003
1,FakeGuadalupeV2,22,7,17199,0.0428,0.9572,0.0001,0.0002
1,FakeGuadalupeV2,22,8,19656,0.0431,0.9569,0.0003,0.0003
1,FakeGuadalupeV2,22,9,22113,0.0432,0.9568,0.0001,0.0001
1,FakeGuadalupeV2,22,10,24576,0.0432,0.9568,0.0001,0.0001
1,FakeGuadalupeV2,23,1,2457,0.0374,0.9626,1.0,1.0
1,FakeGuadalupeV2,23,2,4914,0.0389,0.9611,0.0014,0.0015
1,FakeGuadalupeV2,23,3,7371,0.0393,0.9607,0.0005,0.0004
1,FakeGuadalupeV2,23,4,9828,0.0401,0.9599,0.0007,0.0007
1,FakeGuadalupeV2,23,5,12285,0.0408,0.9592,0.0007,0.0007
1,FakeGuadalupeV2,23,6,14742,0.0406,0.9593,0.0001,0.0001
1,FakeGuadalupeV2,23,7,17199,0.0413,0.9586,0.0007,0.0007
1,FakeGuadalupeV2,23,8,19656,0.0425,0.9575,0.0011,0.0011
1,FakeGuadalupeV2,23,9,22113,0.0421,0.9579,0.0004,0.0004
1,FakeGuadalupeV2,23,10,24576,0.0426,0.9573,0.0005,0.0005
1,FakeGuadalupeV2,24,1,2457,0.0431,0.9568,1.0,1.0
1,FakeGuadalupeV2,24,2,4914,0.0433,0.9566,0.0002,0.0002
1,FakeGuadalupeV2,24,3,7371,0.0441,0.9559,0.0007,0.0007
1,FakeGuadalupeV2,24,4,9828,0.0429,0.9571,0.0012,0.0011
1,FakeGuadalupeV2,24,5,12285,0.0432,0.9568,0.0003,0.0003
1,FakeGuadalupeV2,24,6,14742,0.0427,0.9573,0.0005,0.0005
1,FakeGuadalupeV2,24,7,17199,0.043,0.957,0.0003,0.0003
1,FakeGuadalupeV2,24,8,19656,0.0428,0.9571,0.0002,0.0002
1,FakeGuadalupeV2,24,9,22113,0.0424,0.9576,0.0005,0.0005
1,FakeGuadalupeV2,24,10,24576,0.0427,0.9573,0.0003,0.0003
1,FakeGuadalupeV2,25,1,2457,0.046,0.9539,1.0,1.0
1,FakeGuadalupeV2,25,2,4914,0.0462,0.9538,0.0002,0.0001
1,FakeGuadalupeV2,25,3,7371,0.0452,0.9547,0.001,0.001
1,FakeGuadalupeV2,25,4,9828,0.0454,0.9545,0.0002,0.0002
1,FakeGuadalupeV2,25,5,12285,0.0441,0.9558,0.0013,0.0013
1,FakeGuadalupeV2,25,6,14742,0.0433,0.9566,0.0008,0.0008
1,FakeGuadalupeV2,25,7,17199,0.0429,0.957,0.0004,0.0004
1,FakeGuadalupeV2,25,8,19656,0.0434,0.9565,0.0005,0.0005
1,FakeGuadalupeV2,25,9,22113,0.0432,0.9567,0.0003,0.0003
1,FakeGuadalupeV2,25,10,24576,0.0431,0.9568,0.0001,0.0001
1,FakeGuadalupeV2,26,1,2457,0.0407,0.9592,1.0,1.0
1,FakeGuadalupeV2,26,2,4914,0.0421,0.9578,0.0014,0.0013
1,FakeGuadalupeV2,26,3,7371,0.0421,0.9579,0.0001,0.0001
1,FakeGuadalupeV2,26,4,9828,0.0433,0.9567,0.0013,0.0013
1,FakeGuadalupeV2,26,5,12285,0.0438,0.9562,0.0004,0.0005
1,FakeGuadalupeV2,26,6,14742,0.0434,0.9566,0.0004,0.0004
1,FakeGuadalupeV2,26,7,17199,0.0445,0.9555,0.0011,0.0011
1,FakeGuadalupeV2,26,8,19656,0.0439,0.9561,0.0006,0.0006
1,FakeGuadalupeV2,26,9,22113,0.0441,0.9558,0.0003,0.0003
1,FakeGuadalupeV2,26,10,24576,0.0446,0.9554,0.0004,0.0004
1,FakeGuadalupeV2,27,1,2457,0.0517,0.9482,1.0,1.0
1,FakeGuadalupeV2,27,2,4914,0.0472,0.9527,0.0045,0.0044
1,FakeGuadalupeV2,27,3,7371,0.0478,0.9522,0.0005,0.0005
1,FakeGuadalupeV2,27,4,9828,0.0478,0.9522,0.0001,0.0001
1,FakeGuadalupeV2,27,5,12285,0.0462,0.9538,0.0016,0.0016
1,FakeGuadalupeV2,27,6,14742,0.0447,0.9553,0.0015,0.0015
1,FakeGuadalupeV2,27,7,17199,0.0433,0.9567,0.0014,0.0014
1,FakeGuadalupeV2,27,8,19656,0.0431,0.9569,0.0002,0.0002
1,FakeGuadalupeV2,27,9,22113,0.0426,0.9573,0.0004,0.0005
1,FakeGuadalupeV2,27,10,24576,0.0424,0.9576,0.0002,0.0002
1,FakeGuadalupeV2,28,1,2457,0.0403,0.9595,1.0,1.0
1,FakeGuadalupeV2,28,2,4914,0.0411,0.9589,0.0008,0.0007
1,FakeGuadalupeV2,28,3,7371,0.0422,0.9578,0.0011,0.0011
1,FakeGuadalupeV2,28,4,9828,0.0409,0.9591,0.0013,0.0013
1,FakeGuadalupeV2,28,5,12285,0.0422,0.9578,0.0013,0.0013
1,FakeGuadalupeV2,28,6,14742,0.0418,0.9582,0.0004,0.0004
1,FakeGuadalupeV2,28,7,17199,0.0416,0.9583,0.0002,0.0001
1,FakeGuadalupeV2,28,8,19656,0.0415,0.9584,0.0001,0.0001
1,FakeGuadalupeV2,28,9,22113,0.0416,0.9583,0.0001,0.0001
1,FakeGuadalupeV2,28,10,24576,0.0428,0.9572,0.0011,0.0011
1,FakeGuadalupeV2,29,1,2457,0.046,0.9539,1.0,1.0
1,FakeGuadalupeV2,29,2,4914,0.0403,0.9596,0.0057,0.0057
1,FakeGuadalupeV2,29,3,7371,0.0434,0.9565,0.0031,0.0031
1,FakeGuadalupeV2,29,4,9828,0.0442,0.9558,0.0007,0.0007
1,FakeGuadalupeV2,29,5,12285,0.0435,0.9565,0.0007,0.0007
1,FakeGuadalupeV2,29,6,14742,0.0435,0.9564,0.0001,0.0001
1,FakeGuadalupeV2,29,7,17199,0.0433,0.9567,0.0002,0.0002
1,FakeGuadalupeV2,29,8,19656,0.0434,0.9566,0.0001,0.0001
1,FakeGuadalupeV2,29,9,22113,0.043,0.957,0.0004,0.0004
1,FakeGuadalupeV2,29,10,24576,0.0419,0.9581,0.0011,0.001
1,FakeGuadalupeV2,30,1,2457,0.037,0.9629,1.0,1.0
1,FakeGuadalupeV2,30,2,4914,0.0374,0.9626,0.0004,0.0004
1,FakeGuadalupeV2,30,3,7371,0.0393,0.9606,0.0019,0.0019
1,FakeGuadalupeV2,30,4,9828,0.0389,0.9611,0.0005,0.0005
1,FakeGuadalupeV2,30,5,12285,0.04,0.96,0.0011,0.0011
1,FakeGuadalupeV2,30,6,14742,0.0406,0.9594,0.0006,0.0006
1,FakeGuadalupeV2,30,7,17199,0.0412,0.9588,0.0006,0.0006
1,FakeGuadalupeV2,30,8,19656,0.043,0.957,0.0018,0.0018
1,FakeGuadalupeV2,30,9,22113,0.0439,0.9561,0.0009,0.0009
1,FakeGuadalupeV2,30,10,24576,0.0443,0.9557,0.0004,0.0004
1,FakeGuadalupeV2,31,1,2457,0.0415,0.9585,1.0,1.0
1,FakeGuadalupeV2,31,2,4914,0.0438,0.9562,0.0022,0.0022
1,FakeGuadalupeV2,31,3,7371,0.0434,0.9566,0.0003,0.0003
1,FakeGuadalupeV2,31,4,9828,0.0455,0.9545,0.0021,0.0021
1,FakeGuadalupeV2,31,5,12285,0.0451,0.9549,0.0004,0.0004
1,FakeGuadalupeV2,31,6,14742,0.0449,0.9551,0.0002,0.0002
1,FakeGuadalupeV2,31,7,17199,0.0443,0.9557,0.0006,0.0006
1,FakeGuadalupeV2,31,8,19656,0.0441,0.9559,0.0002,0.0002
1,FakeGuadalupeV2,31,9,22113,0.0428,0.9572,0.0013,0.0013
1,FakeGuadalupeV2,31,10,24576,0.0425,0.9575,0.0003,0.0003
1,FakeGuadalupeV2,32,1,2457,0.046,0.9538,1.0,1.0
1,FakeGuadalupeV2,32,2,4914,0.045,0.9546,0.001,0.0008
1,FakeGuadalupeV2,32,3,7371,0.043,0.9568,0.002,0.0022
1,FakeGuadalupeV2,32,4,9828,0.0439,0.956,0.0008,0.0008
1,FakeGuadalupeV2,32,5,12285,0.0452,0.9547,0.0013,0.0013
1,FakeGuadalupeV2,32,6,14742,0.0449,0.955,0.0003,0.0003
1,FakeGuadalupeV2,32,7,17199,0.0444,0.9555,0.0005,0.0005
1,FakeGuadalupeV2,32,8,19656,0.045,0.9549,0.0006,0.0006
1,FakeGuadalupeV2,32,9,22113,0.0443,0.9556,0.0007,0.0007
1,FakeGuadalupeV2,32,10,24576,0.044,0.9559,0.0003,0.0003
1,FakeGuadalupeV2,33,1,2457,0.0456,0.9544,1.0,1.0
1,FakeGuadalupeV2,33,2,4914,0.0466,0.9534,0.001,0.001
1,FakeGuadalupeV2,33,3,7371,0.0454,0.9545,0.0012,0.0011
1,FakeGuadalupeV2,33,4,9828,0.0454,0.9546,0.0001,0.0
1,FakeGuadalupeV2,33,5,12285,0.0448,0.9552,0.0006,0.0006
1,FakeGuadalupeV2,33,6,14742,0.0448,0.9551,0.0,0.0
1,FakeGuadalupeV2,33,7,17199,0.0447,0.9553,0.0001,0.0001
1,FakeGuadalupeV2,33,8,19656,0.0441,0.9558,0.0005,0.0006
1,FakeGuadalupeV2,33,9,22113,0.044,0.9559,0.0001,0.0001
1,FakeGuadalupeV2,33,10,24576,0.0443,0.9557,0.0003,0.0002
1,FakeGuadalupeV2,34,1,2457,0.0362,0.9637,1.0,1.0
1,FakeGuadalupeV2,34,2,4914,0.0366,0.9633,0.0004,0.0004
1,FakeGuadalupeV2,34,3,7371,0.0391,0.9609,0.0024,0.0024
1,FakeGuadalupeV2,34,4,9828,0.0391,0.9609,0.0,0.0
1,FakeGuadalupeV2,34,5,12285,0.0405,0.9595,0.0014,0.0014
1,FakeGuadalupeV2,34,6,14742,0.0419,0.958,0.0014,0.0015
1,FakeGuadalupeV2,34,7,17199,0.0419,0.958,0.0,0.0001
1,FakeGuadalupeV2,34,8,19656,0.0417,0.9582,0.0002,0.0002
1,FakeGuadalupeV2,34,9,22113,0.0416,0.9584,0.0001,0.0002
1,FakeGuadalupeV2,34,10,24576,0.0411,0.9588,0.0004,0.0004
1,FakeGuadalupeV2,35,1,2457,0.0395,0.9605,1.0,1.0
1,FakeGuadalupeV2,35,2,4914,0.0433,0.9566,0.0039,0.0039
1,FakeGuadalupeV2,35,3,7371,0.0431,0.9568,0.0002,0.0002
1,FakeGuadalupeV2,35,4,9828,0.0429,0.957,0.0002,0.0003
1,FakeGuadalupeV2,35,5,12285,0.0414,0.9586,0.0016,0.0016
1,FakeGuadalupeV2,35,6,14742,0.0416,0.9584,0.0002,0.0002
1,FakeGuadalupeV2,35,7,17199,0.0422,0.9578,0.0006,0.0006
1,FakeGuadalupeV2,35,8,19656,0.0423,0.9577,0.0001,0.0001
1,FakeGuadalupeV2,35,9,22113,0.0421,0.9578,0.0001,0.0001
1,FakeGuadalupeV2,35,10,24576,0.0418,0.9582,0.0003,0.0003
1,FakeGuadalupeV2,36,1,2457,0.0383,0.9614,1.0,1.0
1,FakeGuadalupeV2,36,2,4914,0.0395,0.9604,0.0012,0.0009
1,FakeGuadalupeV2,36,3,7371,0.0399,0.96,0.0004,0.0004
1,FakeGuadalupeV2,36,4,9828,0.0396,0.9603,0.0003,0.0003
1,FakeGuadalupeV2,36,5,12285,0.0403,0.9596,0.0007,0.0007
1,FakeGuadalupeV2,36,6,14742,0.0402,0.9598,0.0001,0.0002
1,FakeGuadalupeV2,36,7,17199,0.0406,0.9593,0.0005,0.0005
1,FakeGuadalupeV2,36,8,19656,0.0403,0.9597,0.0003,0.0004
1,FakeGuadalupeV2,36,9,22113,0.0411,0.9589,0.0008,0.0008
1,FakeGuadalupeV2,36,10,24576,0.0421,0.9579,0.001,0.001
1,FakeGuadalupeV2,37,1,2457,0.0452,0.9548,1.0,1.0
1,FakeGuadalupeV2,37,2,4914,0.0448,0.9552,0.0004,0.0004
1,FakeGuadalupeV2,37,3,7371,0.0442,0.9558,0.0005,0.0005
1,FakeGuadalupeV2,37,4,9828,0.0444,0.9556,0.0001,0.0002
1,FakeGuadalupeV2,37,5,12285,0.0433,0.9567,0.0011,0.0011
1,FakeGuadalupeV2,37,6,14742,0.0433,0.9566,0.0,0.0
1,FakeGuadalupeV2,37,7,17199,0.0437,0.9563,0.0004,0.0004
1,FakeGuadalupeV2,37,8,19656,0.0444,0.9556,0.0006,0.0006
1,FakeGuadalupeV2,37,9,22113,0.0448,0.9552,0.0004,0.0004
1,FakeGuadalupeV2,37,10,24576,0.0445,0.9555,0.0003,0.0003
1,FakeGuadalupeV2,38,1,2457,0.0513,0.9487,1.0,1.0
1,FakeGuadalupeV2,38,2,4914,0.0454,0.9546,0.0059,0.0058
1,FakeGuadalupeV2,38,3,7371,0.045,0.9549,0.0003,0.0004
1,FakeGuadalupeV2,38,4,9828,0.044,0.956,0.0011,0.0011
1,FakeGuadalupeV2,38,5,12285,0.0428,0.9572,0.0011,0.0011
1,FakeGuadalupeV2,38,6,14742,0.0423,0.9577,0.0006,0.0005
1,FakeGuadalupeV2,38,7,17199,0.0414,0.9585,0.0009,0.0008
1,FakeGuadalupeV2,38,8,19656,0.0421,0.9579,0.0007,0.0007
1,FakeGuadalupeV2,38,9,22113,0.042,0.9579,0.0001,0.0001
1,FakeGuadalupeV2,38,10,24576,0.0415,0.9584,0.0005,0.0005
1,FakeGuadalupeV2,39,1,2457,0.0391,0.9609,1.0,1.0
1,FakeGuadalupeV2,39,2,4914,0.045,0.955,0.0059,0.0059
1,FakeGuadalupeV2,39,3,7371,0.0442,0.9557,0.0007,0.0007
1,FakeGuadalupeV2,39,4,9828,0.0433,0.9566,0.0009,0.0009
1,FakeGuadalupeV2,39,5,12285,0.0441,0.9558,0.0008,0.0008
1,FakeGuadalupeV2,39,6,14742,0.0446,0.9553,0.0005,0.0005
1,FakeGuadalupeV2,39,7,17199,0.0442,0.9557,0.0004,0.0004
1,FakeGuadalupeV2,39,8,19656,0.0441,0.9559,0.0001,0.0001
1,FakeGuadalupeV2,39,9,22113,0.0438,0.9562,0.0003,0.0003
1,FakeGuadalupeV2,39,10,24576,0.0438,0.9562,0.0,0.0
1,FakeGuadalupeV2,40,1,2457,0.0452,0.9547,1.0,1.0
1,FakeGuadalupeV2,40,2,4914,0.0458,0.9539,0.0006,0.0007
