idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
1,FakeLagosV2,0,1,2457,0.2637,0.7362,1.0,1.0
1,FakeLagosV2,0,2,4914,0.2658,0.7342,0.002,0.002
1,FakeLagosV2,0,3,7371,0.2686,0.7314,0.0028,0.0028
1,FakeLagosV2,0,4,9828,0.2639,0.7361,0.0047,0.0047
1,FakeLagosV2,0,5,12285,0.263,0.737,0.0009,0.0009
1,FakeLagosV2,0,6,14742,0.2638,0.7362,0.0008,0.0008
1,FakeLagosV2,0,7,17199,0.2635,0.7365,0.0003,0.0003
1,FakeLagosV2,0,8,19656,0.2634,0.7365,0.0001,0.0001
1,FakeLagosV2,0,9,22113,0.2638,0.7362,0.0004,0.0004
1,FakeLagosV2,0,10,24576,0.2652,0.7348,0.0014,0.0014
1,FakeLagosV2,1,1,2457,0.2707,0.7292,1.0,1.0
1,FakeLagosV2,1,2,4914,0.2613,0.7386,0.0094,0.0094
1,FakeLagosV2,1,3,7371,0.2621,0.7378,0.0008,0.0007
1,FakeLagosV2,1,4,9828,0.2675,0.7325,0.0054,0.0053
1,FakeLagosV2,1,5,12285,0.2682,0.7318,0.0007,0.0007
1,FakeLagosV2,1,6,14742,0.2681,0.7318,0.0001,0.0001
1,FakeLagosV2,1,7,17199,0.267,0.733,0.0012,0.0011
1,FakeLagosV2,1,8,19656,0.2655,0.7345,0.0015,0.0015
1,FakeLagosV2,1,9,22113,0.266,0.734,0.0004,0.0004
1,FakeLagosV2,1,10,24576,0.267,0.733,0.0011,0.0011
1,FakeLagosV2,2,1,2457,0.2466,0.7533,1.0,1.0
1,FakeLagosV2,2,2,4914,0.258,0.7418,0.0114,0.0115
1,FakeLagosV2,2,3,7371,0.262,0.7379,0.0039,0.004
1,FakeLagosV2,2,4,9828,0.2599,0.7401,0.0021,0.0022
1,FakeLagosV2,2,5,12285,0.2583,0.7417,0.0016,0.0016
1,FakeLagosV2,2,6,14742,0.2592,0.7408,0.0009,0.0009
1,FakeLagosV2,2,7,17199,0.2604,0.7395,0.0012,0.0012
1,FakeLagosV2,2,8,19656,0.26,0.7399,0.0004,0.0004
1,FakeLagosV2,2,9,22113,0.2599,0.7401,0.0001,0.0001
1,FakeLagosV2,2,10,24576,0.2596,0.7404,0.0003,0.0003
1,FakeLagosV2,3,1,2457,0.265,0.735,1.0,1.0
1,FakeLagosV2,3,2,4914,0.265,0.7349,0.0,0.0001
1,FakeLagosV2,3,3,7371,0.2647,0.7352,0.0003,0.0004
1,FakeLagosV2,3,4,9828,0.2634,0.7365,0.0013,0.0013
1,FakeLagosV2,3,5,12285,0.2632,0.7366,0.0002,0.0001
1,FakeLagosV2,3,6,14742,0.2608,0.7391,0.0025,0.0025
1,FakeLagosV2,3,7,17199,0.2618,0.7382,0.001,0.0009
1,FakeLagosV2,3,8,19656,0.2619,0.7381,0.0001,0.0001
1,FakeLagosV2,3,9,22113,0.2616,0.7384,0.0002,0.0002
1,FakeLagosV2,3,10,24576,0.2615,0.7385,0.0001,0.0001
1,FakeLagosV2,4,1,2457,0.2466,0.7533,1.0,1.0
1,FakeLagosV2,4,2,4914,0.2507,0.7491,0.0041,0.0042
1,FakeLagosV2,4,3,7371,0.2593,0.7407,0.0085,0.0084
1,FakeLagosV2,4,4,9828,0.2594,0.7406,0.0001,0.0001
1,FakeLagosV2,4,5,12285,0.2606,0.7394,0.0012,0.0011
1,FakeLagosV2,4,6,14742,0.26,0.74,0.0006,0.0006
1,FakeLagosV2,4,7,17199,0.2609,0.7391,0.0009,0.0009
1,FakeLagosV2,4,8,19656,0.2598,0.7402,0.0011,0.0011
1,FakeLagosV2,4,9,22113,0.261,0.739,0.0012,0.0012
1,FakeLagosV2,4,10,24576,0.261,0.7389,0.0,0.0001
1,FakeLagosV2,5,1,2457,0.2686,0.7313,1.0,1.0
1,FakeLagosV2,5,2,4914,0.2684,0.7316,0.0002,0.0003
1,FakeLagosV2,5,3,7371,0.269,0.731,0.0006,0.0006
1,FakeLagosV2,5,4,9828,0.2638,0.7362,0.0052,0.0052
1,FakeLagosV2,5,5,12285,0.2653,0.7347,0.0014,0.0014
1,FakeLagosV2,5,6,14742,0.2664,0.7335,0.0012,0.0012
1,FakeLagosV2,5,7,17199,0.2643,0.7357,0.0021,0.0021
1,FakeLagosV2,5,8,19656,0.2639,0.7361,0.0004,0.0004
1,FakeLagosV2,5,9,22113,0.2646,0.7354,0.0007,0.0007
1,FakeLagosV2,5,10,24576,0.2625,0.7375,0.0021,0.0021
1,FakeLagosV2,6,1,2457,0.2751,0.7247,1.0,1.0
1,FakeLagosV2,6,2,4914,0.2788,0.7212,0.0037,0.0035
1,FakeLagosV2,6,3,7371,0.2732,0.7267,0.0056,0.0055
1,FakeLagosV2,6,4,9828,0.2696,0.7304,0.0036,0.0036
1,FakeLagosV2,6,5,12285,0.2688,0.7312,0.0009,0.0009
1,FakeLagosV2,6,6,14742,0.2669,0.7331,0.0019,0.0019
1,FakeLagosV2,6,7,17199,0.2674,0.7326,0.0005,0.0005
1,FakeLagosV2,6,8,19656,0.2709,0.7291,0.0035,0.0035
1,FakeLagosV2,6,9,22113,0.2716,0.7284,0.0007,0.0007
1,FakeLagosV2,6,10,24576,0.2713,0.7287,0.0003,0.0003
1,FakeLagosV2,7,1,2457,0.267,0.733,1.0,1.0
1,FakeLagosV2,7,2,4914,0.2678,0.7322,0.0008,0.0008
1,FakeLagosV2,7,3,7371,0.2666,0.7334,0.0012,0.0012
1,FakeLagosV2,7,4,9828,0.2677,0.7323,0.0011,0.0011
1,FakeLagosV2,7,5,12285,0.2679,0.7321,0.0002,0.0002
1,FakeLagosV2,7,6,14742,0.2705,0.7295,0.0026,0.0026
1,FakeLagosV2,7,7,17199,0.27,0.73,0.0005,0.0005
1,FakeLagosV2,7,8,19656,0.268,0.732,0.0019,0.002
1,FakeLagosV2,7,9,22113,0.2666,0.7334,0.0014,0.0014
1,FakeLagosV2,7,10,24576,0.2673,0.7327,0.0006,0.0006
1,FakeLagosV2,8,1,2457,0.2568,0.7432,1.0,1.0
1,FakeLagosV2,8,2,4914,0.2611,0.7388,0.0043,0.0043
