idx,name,n_qubits,backend,backend_qubits,seed,shots,ref_shots,final_tvd,final_hf,grade,stop_cp_paper,stop_shots_paper,stop_correct_paper,stop_cp_tvd_only,stop_correct_tvd_only,transpiled_depth,transpiled_2q,sim_s,qiskit,qiskit_aer,qiskit_ibm_runtime
1,Bell state (GHZ-2),2,FakeManilaV2,5,0,24576,2457,0.0634,0.9366,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,1,24576,2457,0.0608,0.9392,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,2,24576,2457,0.0609,0.9391,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,3,24576,2457,0.0606,0.9394,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,4,24576,2457,0.0584,0.9416,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,5,24576,2457,0.0594,0.9406,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,6,24576,2457,0.0622,0.9378,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,7,24576,2457,0.0613,0.9387,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,8,24576,2457,0.0594,0.9405,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,9,24576,2457,0.0643,0.9356,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,10,24576,2457,0.0603,0.9397,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
