idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
1,FakeManilaV2,0,1,2457,0.0602,0.9397,1.0,1.0
1,FakeManilaV2,0,2,4914,0.0625,0.9375,0.0022,0.0022
1,FakeManilaV2,0,3,7371,0.0628,0.9372,0.0003,0.0003
1,FakeManilaV2,0,4,9828,0.0608,0.9392,0.002,0.002
1,FakeManilaV2,0,5,12285,0.0611,0.9389,0.0003,0.0003
1,FakeManilaV2,0,6,14742,0.0622,0.9378,0.0011,0.0011
1,FakeManilaV2,0,7,17199,0.0627,0.9373,0.0005,0.0005
1,FakeManilaV2,0,8,19656,0.0628,0.9372,0.0001,0.0001
1,FakeManilaV2,0,9,22113,0.0626,0.9374,0.0001,0.0002
1,FakeManilaV2,0,10,24576,0.0634,0.9366,0.0007,0.0007
1,FakeManilaV2,1,1,2457,0.0696,0.9301,1.0,1.0
1,FakeManilaV2,1,2,4914,0.0615,0.9384,0.0081,0.0083
1,FakeManilaV2,1,3,7371,0.0609,0.939,0.0005,0.0006
1,FakeManilaV2,1,4,9828,0.0638,0.9362,0.0029,0.0028
1,FakeManilaV2,1,5,12285,0.0614,0.9386,0.0024,0.0024
1,FakeManilaV2,1,6,14742,0.0608,0.9391,0.0005,0.0005
1,FakeManilaV2,1,7,17199,0.0604,0.9396,0.0004,0.0004
1,FakeManilaV2,1,8,19656,0.0601,0.9398,0.0003,0.0003
1,FakeManilaV2,1,9,22113,0.06,0.94,0.0001,0.0001
1,FakeManilaV2,1,10,24576,0.0608,0.9392,0.0008,0.0008
1,FakeManilaV2,2,1,2457,0.0598,0.9402,1.0,1.0
1,FakeManilaV2,2,2,4914,0.0637,0.9362,0.0039,0.004
1,FakeManilaV2,2,3,7371,0.0629,0.9369,0.0007,0.0008
1,FakeManilaV2,2,4,9828,0.0601,0.9398,0.0028,0.0029
1,FakeManilaV2,2,5,12285,0.0588,0.9412,0.0014,0.0014
1,FakeManilaV2,2,6,14742,0.0596,0.9403,0.0009,0.0009
1,FakeManilaV2,2,7,17199,0.0604,0.9396,0.0007,0.0007
1,FakeManilaV2,2,8,19656,0.0599,0.9401,0.0005,0.0005
1,FakeManilaV2,2,9,22113,0.0602,0.9397,0.0004,0.0004
1,FakeManilaV2,2,10,24576,0.0609,0.939,0.0007,0.0007
1,FakeManilaV2,3,1,2457,0.0582,0.9418,1.0,1.0
1,FakeManilaV2,3,2,4914,0.0554,0.9446,0.0028,0.0028
1,FakeManilaV2,3,3,7371,0.0566,0.9434,0.0012,0.0012
1,FakeManilaV2,3,4,9828,0.0568,0.9432,0.0002,0.0002
