idx,name,n_qubits,backend,backend_qubits,seed,shots,ref_shots,final_tvd,final_hf,grade,stop_cp_paper,stop_shots_paper,stop_correct_paper,stop_cp_tvd_only,stop_correct_tvd_only,transpiled_depth,transpiled_2q,sim_s,qiskit,qiskit_aer,qiskit_ibm_runtime
1,Bell state (GHZ-2),2,FakeManilaV2,5,20,24576,2457,0.0625,0.9375,PASS,,,CORRECT,,CORRECT,5,2,0.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,21,24576,2457,0.0619,0.9381,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,22,24576,2457,0.0594,0.9406,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,23,24576,2457,0.0622,0.9378,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,24,24576,2457,0.0611,0.9389,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,25,24576,2457,0.0618,0.9382,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,26,24576,2457,0.0622,0.9378,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,27,24576,2457,0.0602,0.9398,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,28,24576,2457,0.0614,0.9385,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,29,24576,2457,0.0594,0.9406,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,30,24576,2457,0.0631,0.9369,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,31,24576,2457,0.0611,0.9389,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,32,24576,2457,0.0625,0.9374,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,33,24576,2457,0.0627,0.9373,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,34,24576,2457,0.062,0.938,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,35,24576,2457,0.0604,0.9396,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,36,24576,2457,0.0617,0.9383,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,37,24576,2457,0.0636,0.9364,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,38,24576,2457,0.0595,0.9405,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,39,24576,2457,0.0618,0.9382,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,40,24576,2457,0.0608,0.9392,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,41,24576,2457,0.0617,0.9383,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,42,24576,2457,0.0613,0.9387,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,43,24576,2457,0.0599,0.9401,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,44,24576,2457,0.0618,0.9382,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,45,24576,2457,0.0627,0.9373,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,46,24576,2457,0.0597,0.9403,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,47,24576,2457,0.0608,0.9392,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,48,24576,2457,0.0614,0.9386,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,49,24576,2457,0.0587,0.9413,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,50,24576,2457,0.0607,0.9393,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,51,24576,2457,0.0618,0.9382,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeManilaV2,5,52,24576,2457,0.0593,0.9407,PASS,,,CORRECT,,CORRECT,5,2,0.1,2.3.1,0.17.2,0.46.1
