idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
1,FakeManilaV2,20,1,2457,0.0631,0.9367,1.0,1.0
1,FakeManilaV2,20,2,4914,0.0588,0.9411,0.0043,0.0044
1,FakeManilaV2,20,3,7371,0.0611,0.9389,0.0022,0.0022
1,FakeManilaV2,20,4,9828,0.0614,0.9386,0.0003,0.0003
1,FakeManilaV2,20,5,12285,0.0624,0.9376,0.001,0.001
1,FakeManilaV2,20,6,14742,0.0622,0.9378,0.0001,0.0002
1,FakeManilaV2,20,7,17199,0.0613,0.9387,0.0009,0.0009
1,FakeManilaV2,20,8,19656,0.062,0.938,0.0006,0.0006
1,FakeManilaV2,20,9,22113,0.0625,0.9375,0.0005,0.0005
1,FakeManilaV2,20,10,24576,0.0625,0.9375,0.0,0.0
1,FakeManilaV2,21,1,2457,0.0692,0.9308,1.0,1.0
1,FakeManilaV2,21,2,4914,0.0637,0.9362,0.0055,0.0054
1,FakeManilaV2,21,3,7371,0.0623,0.9377,0.0014,0.0015
1,FakeManilaV2,21,4,9828,0.0615,0.9385,0.0008,0.0008
1,FakeManilaV2,21,5,12285,0.0632,0.9368,0.0017,0.0017
1,FakeManilaV2,21,6,14742,0.0623,0.9377,0.0008,0.0008
1,FakeManilaV2,21,7,17199,0.0626,0.9374,0.0002,0.0002
1,FakeManilaV2,21,8,19656,0.0616,0.9384,0.001,0.001
1,FakeManilaV2,21,9,22113,0.062,0.938,0.0004,0.0004
1,FakeManilaV2,21,10,24576,0.0619,0.9381,0.0001,0.0001
1,FakeManilaV2,22,1,2457,0.0619,0.9381,1.0,1.0
1,FakeManilaV2,22,2,4914,0.0602,0.9398,0.0016,0.0017
1,FakeManilaV2,22,3,7371,0.0585,0.9415,0.0018,0.0018
1,FakeManilaV2,22,4,9828,0.0599,0.9401,0.0015,0.0015
1,FakeManilaV2,22,5,12285,0.0589,0.941,0.001,0.001
1,FakeManilaV2,22,6,14742,0.0588,0.9412,0.0001,0.0001
1,FakeManilaV2,22,7,17199,0.0582,0.9418,0.0006,0.0006
1,FakeManilaV2,22,8,19656,0.059,0.941,0.0008,0.0008
1,FakeManilaV2,22,9,22113,0.0593,0.9407,0.0003,0.0003
1,FakeManilaV2,22,10,24576,0.0594,0.9406,0.0001,0.0001
1,FakeManilaV2,23,1,2457,0.0602,0.9398,1.0,1.0
1,FakeManilaV2,23,2,4914,0.057,0.943,0.0033,0.0032
1,FakeManilaV2,23,3,7371,0.0574,0.9426,0.0004,0.0004
1,FakeManilaV2,23,4,9828,0.0586,0.9414,0.0012,0.0012
1,FakeManilaV2,23,5,12285,0.0606,0.9394,0.002,0.002
1,FakeManilaV2,23,6,14742,0.0602,0.9398,0.0003,0.0003
1,FakeManilaV2,23,7,17199,0.0611,0.9389,0.0008,0.0008
1,FakeManilaV2,23,8,19656,0.0616,0.9384,0.0005,0.0005
1,FakeManilaV2,23,9,22113,0.0614,0.9386,0.0001,0.0001
1,FakeManilaV2,23,10,24576,0.0622,0.9378,0.0008,0.0008
1,FakeManilaV2,24,1,2457,0.0623,0.9377,1.0,1.0
1,FakeManilaV2,24,2,4914,0.0617,0.9383,0.0006,0.0005
1,FakeManilaV2,24,3,7371,0.0609,0.9391,0.0007,0.0008
1,FakeManilaV2,24,4,9828,0.0585,0.9415,0.0024,0.0024
1,FakeManilaV2,24,5,12285,0.0606,0.9394,0.0021,0.0021
1,FakeManilaV2,24,6,14742,0.0608,0.9392,0.0002,0.0002
1,FakeManilaV2,24,7,17199,0.0613,0.9387,0.0004,0.0004
1,FakeManilaV2,24,8,19656,0.0612,0.9388,0.0001,0.0001
1,FakeManilaV2,24,9,22113,0.0611,0.9389,0.0002,0.0002
1,FakeManilaV2,24,10,24576,0.0611,0.9389,0.0001,0.0001
1,FakeManilaV2,25,1,2457,0.0651,0.9348,1.0,1.0
1,FakeManilaV2,25,2,4914,0.0649,0.9351,0.0002,0.0003
1,FakeManilaV2,25,3,7371,0.0655,0.9344,0.0006,0.0007
1,FakeManilaV2,25,4,9828,0.0647,0.9352,0.0008,0.0008
1,FakeManilaV2,25,5,12285,0.0639,0.9361,0.0008,0.0008
1,FakeManilaV2,25,6,14742,0.0624,0.9375,0.0015,0.0015
1,FakeManilaV2,25,7,17199,0.0623,0.9376,0.0001,0.0001
1,FakeManilaV2,25,8,19656,0.0624,0.9375,0.0001,0.0001
1,FakeManilaV2,25,9,22113,0.062,0.938,0.0004,0.0004
1,FakeManilaV2,25,10,24576,0.0618,0.9382,0.0002,0.0002
1,FakeManilaV2,26,1,2457,0.0562,0.9436,1.0,1.0
1,FakeManilaV2,26,2,4914,0.056,0.9439,0.0002,0.0003
1,FakeManilaV2,26,3,7371,0.0556,0.9443,0.0003,0.0005
1,FakeManilaV2,26,4,9828,0.0591,0.9409,0.0035,0.0035
1,FakeManilaV2,26,5,12285,0.0602,0.9398,0.0011,0.0011
1,FakeManilaV2,26,6,14742,0.0603,0.9397,0.0001,0.0001
1,FakeManilaV2,26,7,17199,0.0614,0.9386,0.0011,0.0011
1,FakeManilaV2,26,8,19656,0.0612,0.9388,0.0002,0.0002
1,FakeManilaV2,26,9,22113,0.0617,0.9383,0.0005,0.0005
1,FakeManilaV2,26,10,24576,0.0622,0.9378,0.0005,0.0005
1,FakeManilaV2,27,1,2457,0.0647,0.9353,1.0,1.0
1,FakeManilaV2,27,2,4914,0.0619,0.9381,0.0028,0.0028
1,FakeManilaV2,27,3,7371,0.0639,0.9361,0.002,0.002
1,FakeManilaV2,27,4,9828,0.0646,0.9354,0.0007,0.0007
1,FakeManilaV2,27,5,12285,0.0637,0.9363,0.0009,0.0009
1,FakeManilaV2,27,6,14742,0.0617,0.9383,0.002,0.002
1,FakeManilaV2,27,7,17199,0.0612,0.9388,0.0006,0.0006
1,FakeManilaV2,27,8,19656,0.0613,0.9387,0.0001,0.0001
1,FakeManilaV2,27,9,22113,0.0604,0.9396,0.0008,0.0008
1,FakeManilaV2,27,10,24576,0.0602,0.9398,0.0002,0.0002
1,FakeManilaV2,28,1,2457,0.0582,0.9416,1.0,1.0
1,FakeManilaV2,28,2,4914,0.0582,0.9418,0.0,0.0002
1,FakeManilaV2,28,3,7371,0.0587,0.9412,0.0005,0.0005
1,FakeManilaV2,28,4,9828,0.0588,0.9412,0.0001,0.0001
1,FakeManilaV2,28,5,12285,0.0602,0.9398,0.0014,0.0014
1,FakeManilaV2,28,6,14742,0.0611,0.9389,0.0009,0.0009
1,FakeManilaV2,28,7,17199,0.0599,0.94,0.0012,0.0012
1,FakeManilaV2,28,8,19656,0.0598,0.9401,0.0001,0.0001
1,FakeManilaV2,28,9,22113,0.0601,0.9399,0.0002,0.0002
1,FakeManilaV2,28,10,24576,0.0614,0.9385,0.0014,0.0014
1,FakeManilaV2,29,1,2457,0.0655,0.9345,1.0,1.0
1,FakeManilaV2,29,2,4914,0.0543,0.9456,0.0112,0.0112
1,FakeManilaV2,29,3,7371,0.0589,0.9411,0.0045,0.0045
1,FakeManilaV2,29,4,9828,0.0603,0.9397,0.0015,0.0015
1,FakeManilaV2,29,5,12285,0.0595,0.9405,0.0008,0.0008
1,FakeManilaV2,29,6,14742,0.0595,0.9405,0.0,0.0
1,FakeManilaV2,29,7,17199,0.0591,0.9409,0.0004,0.0004
1,FakeManilaV2,29,8,19656,0.0603,0.9397,0.0012,0.0012
1,FakeManilaV2,29,9,22113,0.0601,0.9399,0.0002,0.0002
1,FakeManilaV2,29,10,24576,0.0594,0.9406,0.0006,0.0006
1,FakeManilaV2,30,1,2457,0.0586,0.9414,1.0,1.0
1,FakeManilaV2,30,2,4914,0.0584,0.9416,0.0002,0.0002
1,FakeManilaV2,30,3,7371,0.0587,0.9412,0.0003,0.0004
1,FakeManilaV2,30,4,9828,0.0585,0.9415,0.0002,0.0003
1,FakeManilaV2,30,5,12285,0.0586,0.9414,0.0001,0.0001
