idx,name,n_qubits,backend,backend_qubits,seed,shots,ref_shots,final_tvd,final_hf,grade,stop_cp_paper,stop_shots_paper,stop_correct_paper,stop_cp_tvd_only,stop_correct_tvd_only,transpiled_depth,transpiled_2q,sim_s,qiskit,qiskit_aer,qiskit_ibm_runtime
1,Bell state (GHZ-2),2,FakeSherbrooke,127,0,24576,2457,0.0416,0.9584,PASS,,,CORRECT,,CORRECT,6,2,0.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,1,24576,2457,0.0403,0.9597,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,2,24576,2457,0.0388,0.9611,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,3,24576,2457,0.0397,0.9603,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,4,24576,2457,0.04,0.96,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,5,24576,2457,0.0394,0.9606,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,6,24576,2457,0.0406,0.9594,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,7,24576,2457,0.0403,0.9597,PASS,,,CORRECT,,CORRECT,6,2,0.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,8,24576,2457,0.0404,0.9596,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,9,24576,2457,0.0428,0.9571,PASS,,,CORRECT,,CORRECT,6,2,0.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,10,24576,2457,0.0388,0.9612,PASS,,,CORRECT,,CORRECT,6,2,0.9,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,11,24576,2457,0.043,0.957,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,12,24576,2457,0.0392,0.9608,PASS,,,CORRECT,,CORRECT,6,2,0.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,13,24576,2457,0.0398,0.9602,PASS,,,CORRECT,,CORRECT,6,2,0.9,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,14,24576,2457,0.0387,0.9612,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,15,24576,2457,0.0391,0.9609,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,16,24576,2457,0.0411,0.9589,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,17,24576,2457,0.0387,0.9613,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,18,24576,2457,0.0392,0.9607,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,19,24576,2457,0.0389,0.9611,PASS,,,CORRECT,,CORRECT,6,2,0.9,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,0,8192,819,0.0714,0.9286,PASS,,,CORRECT,,CORRECT,9,2,0.9,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,1,8192,819,0.0748,0.9252,PASS,,,CORRECT,,CORRECT,9,2,0.8,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,2,8192,819,0.0697,0.9302,PASS,,,CORRECT,,CORRECT,9,2,0.6,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,3,8192,819,0.0696,0.9304,PASS,,,CORRECT,,CORRECT,9,2,1.2,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,4,8192,819,0.0743,0.9256,PASS,,,CORRECT,,CORRECT,9,2,2.2,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,5,8192,819,0.0701,0.9299,PASS,,,CORRECT,,CORRECT,9,2,1.7,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,6,8192,819,0.0699,0.93,PASS,,,CORRECT,,CORRECT,9,2,0.9,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,7,8192,819,0.0713,0.9287,PASS,,,CORRECT,,CORRECT,9,2,1.0,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,8,8192,819,0.0648,0.9351,PASS,,,CORRECT,,CORRECT,9,2,1.1,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,9,8192,819,0.0692,0.9308,PASS,,,CORRECT,,CORRECT,9,2,1.1,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,10,8192,819,0.0685,0.9314,PASS,,,CORRECT,,CORRECT,9,2,1.5,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,11,8192,819,0.0743,0.9256,PASS,,,CORRECT,,CORRECT,9,2,0.6,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,12,8192,819,0.0687,0.9312,PASS,,,CORRECT,,CORRECT,9,2,0.6,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,13,8192,819,0.0707,0.9293,PASS,,,CORRECT,,CORRECT,9,2,1.0,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,14,8192,819,0.0707,0.9292,PASS,,,CORRECT,,CORRECT,9,2,1.3,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,15,8192,819,0.0714,0.9285,PASS,,,CORRECT,,CORRECT,9,2,1.2,2.3.1,0.17.2,0.46.1
2,GHZ-3,3,FakeSherbrooke,127,16,8192,819,0.0673,0.9327,PASS,,,CORRECT,,CORRECT,9,2,1.3,2.3.1,0.17.2,0.46.1
