idx,name,n_qubits,backend,backend_qubits,seed,shots,ref_shots,final_tvd,final_hf,grade,stop_cp_paper,stop_shots_paper,stop_correct_paper,stop_cp_tvd_only,stop_correct_tvd_only,transpiled_depth,transpiled_2q,sim_s,qiskit,qiskit_aer,qiskit_ibm_runtime
1,Bell state (GHZ-2),2,FakeSherbrooke,127,20,24576,2457,0.0417,0.9583,PASS,,,CORRECT,,CORRECT,6,2,0.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,21,24576,2457,0.0405,0.9595,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,22,24576,2457,0.041,0.959,PASS,,,CORRECT,,CORRECT,6,2,0.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,23,24576,2457,0.0419,0.9581,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,24,24576,2457,0.0416,0.9584,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,25,24576,2457,0.0407,0.9593,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,26,24576,2457,0.0414,0.9586,PASS,,,CORRECT,,CORRECT,6,2,0.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,27,24576,2457,0.0397,0.9603,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,28,24576,2457,0.0409,0.9591,PASS,,,CORRECT,,CORRECT,6,2,0.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,29,24576,2457,0.0391,0.9609,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,30,24576,2457,0.0408,0.9592,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,31,24576,2457,0.0397,0.9603,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,32,24576,2457,0.04,0.96,PASS,,,CORRECT,,CORRECT,6,2,0.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,33,24576,2457,0.042,0.958,PASS,,,CORRECT,,CORRECT,6,2,0.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,34,24576,2457,0.0404,0.9596,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,35,24576,2457,0.0401,0.9599,PASS,,,CORRECT,,CORRECT,6,2,0.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,36,24576,2457,0.0398,0.9602,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,37,24576,2457,0.0427,0.9573,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,38,24576,2457,0.0392,0.9608,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,39,24576,2457,0.0413,0.9587,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,40,24576,2457,0.0375,0.9625,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,41,24576,2457,0.0405,0.9595,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,42,24576,2457,0.0404,0.9596,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,43,24576,2457,0.0396,0.9604,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,44,24576,2457,0.0398,0.9602,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,45,24576,2457,0.0411,0.9589,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,46,24576,2457,0.0404,0.9596,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,47,24576,2457,0.0396,0.9604,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,48,24576,2457,0.0413,0.9587,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,49,24576,2457,0.0409,0.9591,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,50,24576,2457,0.0389,0.9611,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,51,24576,2457,0.0404,0.9596,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,52,24576,2457,0.0379,0.9621,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,53,24576,2457,0.041,0.959,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,54,24576,2457,0.0411,0.9589,PASS,,,CORRECT,,CORRECT,6,2,0.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,55,24576,2457,0.0398,0.9602,PASS,,,CORRECT,,CORRECT,6,2,0.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,56,24576,2457,0.0373,0.9627,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,57,24576,2457,0.0399,0.9601,PASS,,,CORRECT,,CORRECT,6,2,0.7,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,58,24576,2457,0.0399,0.9601,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,59,24576,2457,0.0412,0.9588,PASS,,,CORRECT,,CORRECT,6,2,0.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,60,24576,2457,0.0417,0.9583,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,61,24576,2457,0.0391,0.9609,PASS,,,CORRECT,,CORRECT,6,2,0.6,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeSherbrooke,127,62,24576,2457,0.039,0.961,PASS,,,CORRECT,,CORRECT,6,2,0.8,2.3.1,0.17.2,0.46.1
