idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
1,FakeSherbrooke,20,1,2457,0.0448,0.9549,1.0,1.0
1,FakeSherbrooke,20,2,4914,0.0405,0.9594,0.0043,0.0045
1,FakeSherbrooke,20,3,7371,0.0402,0.9598,0.0003,0.0004
1,FakeSherbrooke,20,4,9828,0.0391,0.9609,0.0011,0.0011
1,FakeSherbrooke,20,5,12285,0.04,0.9599,0.001,0.0009
1,FakeSherbrooke,20,6,14742,0.0403,0.9597,0.0002,0.0002
1,FakeSherbrooke,20,7,17199,0.0399,0.9601,0.0004,0.0004
1,FakeSherbrooke,20,8,19656,0.0408,0.9592,0.0009,0.0009
1,FakeSherbrooke,20,9,22113,0.0415,0.9585,0.0007,0.0007
1,FakeSherbrooke,20,10,24576,0.0417,0.9583,0.0002,0.0002
1,FakeSherbrooke,21,1,2457,0.0419,0.9581,1.0,1.0
1,FakeSherbrooke,21,2,4914,0.0397,0.9602,0.0022,0.0022
1,FakeSherbrooke,21,3,7371,0.0383,0.9617,0.0014,0.0015
1,FakeSherbrooke,21,4,9828,0.0392,0.9608,0.0009,0.0009
1,FakeSherbrooke,21,5,12285,0.0409,0.959,0.0018,0.0018
1,FakeSherbrooke,21,6,14742,0.0411,0.9589,0.0002,0.0002
1,FakeSherbrooke,21,7,17199,0.0409,0.9591,0.0002,0.0002
1,FakeSherbrooke,21,8,19656,0.0405,0.9594,0.0003,0.0003
1,FakeSherbrooke,21,9,22113,0.0408,0.9592,0.0003,0.0003
1,FakeSherbrooke,21,10,24576,0.0405,0.9595,0.0003,0.0004
1,FakeSherbrooke,22,1,2457,0.0501,0.9499,1.0,1.0
1,FakeSherbrooke,22,2,4914,0.0472,0.9528,0.0028,0.0029
1,FakeSherbrooke,22,3,7371,0.0438,0.9562,0.0034,0.0034
1,FakeSherbrooke,22,4,9828,0.0432,0.9568,0.0006,0.0006
1,FakeSherbrooke,22,5,12285,0.0422,0.9577,0.001,0.001
1,FakeSherbrooke,22,6,14742,0.0414,0.9586,0.0008,0.0008
1,FakeSherbrooke,22,7,17199,0.0407,0.9593,0.0007,0.0007
1,FakeSherbrooke,22,8,19656,0.041,0.959,0.0003,0.0003
1,FakeSherbrooke,22,9,22113,0.041,0.959,0.0,0.0
1,FakeSherbrooke,22,10,24576,0.041,0.959,0.0,0.0
1,FakeSherbrooke,23,1,2457,0.037,0.963,1.0,1.0
1,FakeSherbrooke,23,2,4914,0.0376,0.9623,0.0006,0.0007
1,FakeSherbrooke,23,3,7371,0.0376,0.9624,0.0001,0.0001
1,FakeSherbrooke,23,4,9828,0.0393,0.9607,0.0017,0.0017
1,FakeSherbrooke,23,5,12285,0.0404,0.9596,0.0011,0.0011
1,FakeSherbrooke,23,6,14742,0.0402,0.9598,0.0001,0.0001
1,FakeSherbrooke,23,7,17199,0.0405,0.9595,0.0002,0.0002
1,FakeSherbrooke,23,8,19656,0.0415,0.9585,0.001,0.001
1,FakeSherbrooke,23,9,22113,0.0409,0.9591,0.0006,0.0006
1,FakeSherbrooke,23,10,24576,0.0419,0.9581,0.001,0.001
1,FakeSherbrooke,24,1,2457,0.0423,0.9577,1.0,1.0
1,FakeSherbrooke,24,2,4914,0.0421,0.9578,0.0002,0.0001
1,FakeSherbrooke,24,3,7371,0.0425,0.9575,0.0003,0.0002
1,FakeSherbrooke,24,4,9828,0.0411,0.9589,0.0014,0.0014
1,FakeSherbrooke,24,5,12285,0.0413,0.9587,0.0002,0.0002
1,FakeSherbrooke,24,6,14742,0.0416,0.9583,0.0004,0.0004
1,FakeSherbrooke,24,7,17199,0.0416,0.9584,0.0,0.0
1,FakeSherbrooke,24,8,19656,0.0413,0.9587,0.0003,0.0003
1,FakeSherbrooke,24,9,22113,0.0411,0.9589,0.0002,0.0002
1,FakeSherbrooke,24,10,24576,0.0416,0.9584,0.0005,0.0005
1,FakeSherbrooke,25,1,2457,0.0423,0.9576,1.0,1.0
1,FakeSherbrooke,25,2,4914,0.0425,0.9575,0.0002,0.0001
1,FakeSherbrooke,25,3,7371,0.0429,0.9571,0.0003,0.0004
1,FakeSherbrooke,25,4,9828,0.043,0.9569,0.0002,0.0002
1,FakeSherbrooke,25,5,12285,0.0423,0.9576,0.0007,0.0007
1,FakeSherbrooke,25,6,14742,0.0418,0.9582,0.0005,0.0005
1,FakeSherbrooke,25,7,17199,0.0416,0.9584,0.0002,0.0002
1,FakeSherbrooke,25,8,19656,0.0414,0.9586,0.0002,0.0002
1,FakeSherbrooke,25,9,22113,0.041,0.959,0.0004,0.0004
1,FakeSherbrooke,25,10,24576,0.0407,0.9593,0.0003,0.0003
1,FakeSherbrooke,26,1,2457,0.0366,0.9631,1.0,1.0
1,FakeSherbrooke,26,2,4914,0.0376,0.9622,0.001,0.0009
1,FakeSherbrooke,26,3,7371,0.037,0.9629,0.0006,0.0007
1,FakeSherbrooke,26,4,9828,0.0394,0.9606,0.0023,0.0023
1,FakeSherbrooke,26,5,12285,0.0402,0.9598,0.0008,0.0008
1,FakeSherbrooke,26,6,14742,0.0404,0.9596,0.0002,0.0002
1,FakeSherbrooke,26,7,17199,0.0411,0.9589,0.0007,0.0007
1,FakeSherbrooke,26,8,19656,0.041,0.959,0.0001,0.0001
1,FakeSherbrooke,26,9,22113,0.0413,0.9587,0.0003,0.0003
1,FakeSherbrooke,26,10,24576,0.0414,0.9586,0.0001,0.0001
1,FakeSherbrooke,27,1,2457,0.0431,0.9568,1.0,1.0
1,FakeSherbrooke,27,2,4914,0.0409,0.9591,0.0022,0.0022
1,FakeSherbrooke,27,3,7371,0.0425,0.9575,0.0016,0.0015
1,FakeSherbrooke,27,4,9828,0.0427,0.9573,0.0003,0.0003
1,FakeSherbrooke,27,5,12285,0.0417,0.9583,0.0011,0.0011
1,FakeSherbrooke,27,6,14742,0.0413,0.9587,0.0004,0.0004
1,FakeSherbrooke,27,7,17199,0.0402,0.9598,0.0011,0.0011
1,FakeSherbrooke,27,8,19656,0.0408,0.9592,0.0006,0.0006
1,FakeSherbrooke,27,9,22113,0.0403,0.9597,0.0005,0.0005
1,FakeSherbrooke,27,10,24576,0.0397,0.9603,0.0007,0.0007
1,FakeSherbrooke,28,1,2457,0.0362,0.9637,1.0,1.0
1,FakeSherbrooke,28,2,4914,0.0381,0.9619,0.0018,0.0018
1,FakeSherbrooke,28,3,7371,0.0385,0.9615,0.0005,0.0005
1,FakeSherbrooke,28,4,9828,0.0391,0.9609,0.0005,0.0005
1,FakeSherbrooke,28,5,12285,0.0398,0.9602,0.0007,0.0007
1,FakeSherbrooke,28,6,14742,0.04,0.96,0.0001,0.0001
1,FakeSherbrooke,28,7,17199,0.0395,0.9605,0.0005,0.0005
1,FakeSherbrooke,28,8,19656,0.0395,0.9605,0.0,0.0
1,FakeSherbrooke,28,9,22113,0.0398,0.9601,0.0004,0.0004
1,FakeSherbrooke,28,10,24576,0.0409,0.9591,0.0011,0.0011
1,FakeSherbrooke,29,1,2457,0.0444,0.9556,1.0,1.0
1,FakeSherbrooke,29,2,4914,0.0381,0.9619,0.0063,0.0063
1,FakeSherbrooke,29,3,7371,0.0423,0.9577,0.0043,0.0042
1,FakeSherbrooke,29,4,9828,0.0431,0.9569,0.0008,0.0008
1,FakeSherbrooke,29,5,12285,0.0415,0.9585,0.0016,0.0016
1,FakeSherbrooke,29,6,14742,0.041,0.959,0.0005,0.0005
1,FakeSherbrooke,29,7,17199,0.0401,0.9599,0.0009,0.0009
1,FakeSherbrooke,29,8,19656,0.0404,0.9596,0.0003,0.0003
1,FakeSherbrooke,29,9,22113,0.0398,0.9602,0.0006,0.0006
1,FakeSherbrooke,29,10,24576,0.0391,0.9609,0.0007,0.0007
1,FakeSherbrooke,30,1,2457,0.033,0.967,1.0,1.0
1,FakeSherbrooke,30,2,4914,0.0336,0.9664,0.0006,0.0006
