idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
1,FakeTorino,0,1,2457,0.1864,0.8135,1.0,1.0
1,FakeTorino,0,2,4914,0.188,0.812,0.0016,0.0015
1,FakeTorino,0,3,7371,0.1887,0.8113,0.0007,0.0007
1,FakeTorino,0,4,9828,0.1879,0.8121,0.0008,0.0008
1,FakeTorino,0,5,12285,0.1868,0.8132,0.0011,0.0011
1,FakeTorino,0,6,14742,0.1872,0.8128,0.0003,0.0003
1,FakeTorino,0,7,17199,0.1877,0.8123,0.0006,0.0006
1,FakeTorino,0,8,19656,0.1877,0.8123,0.0,0.0
1,FakeTorino,0,9,22113,0.1885,0.8115,0.0008,0.0008
1,FakeTorino,0,10,24576,0.1893,0.8107,0.0008,0.0008
1,FakeTorino,1,1,2457,0.1909,0.809,1.0,1.0
1,FakeTorino,1,2,4914,0.1856,0.8143,0.0053,0.0053
1,FakeTorino,1,3,7371,0.1833,0.8167,0.0023,0.0023
1,FakeTorino,1,4,9828,0.1881,0.8119,0.0049,0.0048
1,FakeTorino,1,5,12285,0.1895,0.8105,0.0014,0.0014
1,FakeTorino,1,6,14742,0.1893,0.8107,0.0002,0.0002
1,FakeTorino,1,7,17199,0.1885,0.8115,0.0008,0.0008
1,FakeTorino,1,8,19656,0.1872,0.8128,0.0013,0.0013
1,FakeTorino,1,9,22113,0.1874,0.8126,0.0001,0.0001
1,FakeTorino,1,10,24576,0.1873,0.8127,0.0,0.0
1,FakeTorino,2,1,2457,0.1799,0.8201,1.0,1.0
1,FakeTorino,2,2,4914,0.1874,0.8125,0.0075,0.0076
1,FakeTorino,2,3,7371,0.1867,0.8132,0.0007,0.0007
1,FakeTorino,2,4,9828,0.1848,0.8152,0.0019,0.002
1,FakeTorino,2,5,12285,0.1852,0.8148,0.0004,0.0004
1,FakeTorino,2,6,14742,0.1848,0.8151,0.0003,0.0003
1,FakeTorino,2,7,17199,0.1859,0.814,0.0011,0.0011
1,FakeTorino,2,8,19656,0.1868,0.8132,0.0008,0.0008
1,FakeTorino,2,9,22113,0.1869,0.813,0.0002,0.0002
1,FakeTorino,2,10,24576,0.186,0.8139,0.0009,0.0009
1,FakeTorino,3,1,2457,0.1823,0.8176,1.0,1.0
1,FakeTorino,3,2,4914,0.1829,0.817,0.0006,0.0007
1,FakeTorino,3,3,7371,0.1834,0.8166,0.0005,0.0004
1,FakeTorino,3,4,9828,0.1836,0.8164,0.0001,0.0001
1,FakeTorino,3,5,12285,0.1844,0.8155,0.0008,0.0009
1,FakeTorino,3,6,14742,0.1833,0.8166,0.0011,0.0011
1,FakeTorino,3,7,17199,0.1847,0.8153,0.0014,0.0014
1,FakeTorino,3,8,19656,0.1854,0.8146,0.0007,0.0007
1,FakeTorino,3,9,22113,0.1851,0.8149,0.0003,0.0003
1,FakeTorino,3,10,24576,0.1856,0.8143,0.0005,0.0005
1,FakeTorino,4,1,2457,0.1795,0.8205,1.0,1.0
1,FakeTorino,4,2,4914,0.175,0.8249,0.0045,0.0044
1,FakeTorino,4,3,7371,0.1826,0.8174,0.0076,0.0075
1,FakeTorino,4,4,9828,0.1826,0.8173,0.0,0.0001
1,FakeTorino,4,5,12285,0.1829,0.8171,0.0003,0.0002
1,FakeTorino,4,6,14742,0.1832,0.8168,0.0003,0.0003
1,FakeTorino,4,7,17199,0.1827,0.8173,0.0005,0.0005
1,FakeTorino,4,8,19656,0.1821,0.8179,0.0006,0.0005
1,FakeTorino,4,9,22113,0.1836,0.8164,0.0014,0.0014
1,FakeTorino,4,10,24576,0.1843,0.8157,0.0007,0.0007
1,FakeTorino,5,1,2457,0.188,0.8119,1.0,1.0
1,FakeTorino,5,2,4914,0.1854,0.8146,0.0026,0.0028
1,FakeTorino,5,3,7371,0.1855,0.8145,0.0001,0.0001
1,FakeTorino,5,4,9828,0.1822,0.8178,0.0032,0.0032
1,FakeTorino,5,5,12285,0.1822,0.8178,0.0001,0.0001
1,FakeTorino,5,6,14742,0.1827,0.8173,0.0005,0.0005
1,FakeTorino,5,7,17199,0.1813,0.8186,0.0013,0.0013
1,FakeTorino,5,8,19656,0.1825,0.8175,0.0011,0.0011
1,FakeTorino,5,9,22113,0.183,0.817,0.0005,0.0005
1,FakeTorino,5,10,24576,0.1827,0.8173,0.0003,0.0003
1,FakeTorino,6,1,2457,0.1905,0.8092,1.0,1.0
1,FakeTorino,6,2,4914,0.1927,0.8073,0.0022,0.0019
1,FakeTorino,6,3,7371,0.1903,0.8096,0.0024,0.0023
1,FakeTorino,6,4,9828,0.19,0.81,0.0004,0.0004
1,FakeTorino,6,5,12285,0.1908,0.8092,0.0008,0.0008
1,FakeTorino,6,6,14742,0.19,0.81,0.0008,0.0008
1,FakeTorino,6,7,17199,0.1887,0.8113,0.0013,0.0013
1,FakeTorino,6,8,19656,0.1902,0.8098,0.0014,0.0014
1,FakeTorino,6,9,22113,0.1898,0.8102,0.0004,0.0004
1,FakeTorino,6,10,24576,0.1893,0.8107,0.0005,0.0005
1,FakeTorino,7,1,2457,0.1823,0.8176,1.0,1.0
1,FakeTorino,7,2,4914,0.187,0.813,0.0047,0.0046
1,FakeTorino,7,3,7371,0.1845,0.8155,0.0025,0.0025
1,FakeTorino,7,4,9828,0.1827,0.8173,0.0018,0.0018
1,FakeTorino,7,5,12285,0.1836,0.8164,0.0008,0.0008
1,FakeTorino,7,6,14742,0.1859,0.8141,0.0024,0.0024
1,FakeTorino,7,7,17199,0.1882,0.8118,0.0023,0.0023
1,FakeTorino,7,8,19656,0.1867,0.8133,0.0015,0.0015
1,FakeTorino,7,9,22113,0.1858,0.8142,0.0009,0.0009
1,FakeTorino,7,10,24576,0.1859,0.8141,0.0001,0.0001
1,FakeTorino,8,1,2457,0.1795,0.8205,1.0,1.0
1,FakeTorino,8,2,4914,0.1852,0.8148,0.0057,0.0058
1,FakeTorino,8,3,7371,0.1863,0.8136,0.0011,0.0011
1,FakeTorino,8,4,9828,0.1856,0.8143,0.0007,0.0007
1,FakeTorino,8,5,12285,0.1871,0.8129,0.0015,0.0014
1,FakeTorino,8,6,14742,0.1876,0.8123,0.0006,0.0006
1,FakeTorino,8,7,17199,0.1866,0.8133,0.001,0.001
1,FakeTorino,8,8,19656,0.1843,0.8157,0.0023,0.0023
1,FakeTorino,8,9,22113,0.1832,0.8167,0.0011,0.0011
1,FakeTorino,8,10,24576,0.1832,0.8167,0.0,0.0
1,FakeTorino,9,1,2457,0.1958,0.8042,1.0,1.0
1,FakeTorino,9,2,4914,0.1866,0.8134,0.0092,0.0092
1,FakeTorino,9,3,7371,0.1829,0.8171,0.0037,0.0037
1,FakeTorino,9,4,9828,0.1832,0.8168,0.0003,0.0003
1,FakeTorino,9,5,12285,0.1822,0.8178,0.001,0.001
1,FakeTorino,9,6,14742,0.1841,0.8159,0.0019,0.0019
1,FakeTorino,9,7,17199,0.1841,0.8159,0.0,0.0
1,FakeTorino,9,8,19656,0.1859,0.814,0.0019,0.0019
1,FakeTorino,9,9,22113,0.1857,0.8143,0.0002,0.0002
1,FakeTorino,9,10,24576,0.1844,0.8155,0.0013,0.0013
1,FakeTorino,10,1,2457,0.1876,0.8124,1.0,1.0
1,FakeTorino,10,2,4914,0.1858,0.8142,0.0018,0.0018
1,FakeTorino,10,3,7371,0.1796,0.8203,0.0062,0.0061
1,FakeTorino,10,4,9828,0.1806,0.8194,0.001,0.0009
1,FakeTorino,10,5,12285,0.181,0.819,0.0003,0.0003
1,FakeTorino,10,6,14742,0.1824,0.8176,0.0015,0.0014
1,FakeTorino,10,7,17199,0.1807,0.8193,0.0017,0.0017
1,FakeTorino,10,8,19656,0.1794,0.8206,0.0013,0.0013
1,FakeTorino,10,9,22113,0.1798,0.8201,0.0005,0.0005
1,FakeTorino,10,10,24576,0.1803,0.8197,0.0004,0.0005
1,FakeTorino,11,1,2457,0.1775,0.822,1.0,1.0
1,FakeTorino,11,2,4914,0.1862,0.8137,0.0088,0.0083
1,FakeTorino,11,3,7371,0.1844,0.8156,0.0018,0.0019
1,FakeTorino,11,4,9828,0.1853,0.8147,0.0009,0.0009
1,FakeTorino,11,5,12285,0.1839,0.8161,0.0014,0.0014
1,FakeTorino,11,6,14742,0.1829,0.8171,0.001,0.001
1,FakeTorino,11,7,17199,0.1838,0.8161,0.001,0.001
1,FakeTorino,11,8,19656,0.1837,0.8163,0.0002,0.0002
1,FakeTorino,11,9,22113,0.185,0.815,0.0013,0.0013
1,FakeTorino,11,10,24576,0.1842,0.8158,0.0008,0.0008
1,FakeTorino,12,1,2457,0.175,0.825,1.0,1.0
1,FakeTorino,12,2,4914,0.1815,0.8185,0.0065,0.0065
1,FakeTorino,12,3,7371,0.1792,0.8208,0.0023,0.0023
1,FakeTorino,12,4,9828,0.1849,0.8151,0.0057,0.0057
1,FakeTorino,12,5,12285,0.1842,0.8158,0.0007,0.0007
1,FakeTorino,12,6,14742,0.1853,0.8147,0.001,0.0011
1,FakeTorino,12,7,17199,0.1865,0.8135,0.0013,0.0013
1,FakeTorino,12,8,19656,0.1871,0.8129,0.0006,0.0006
1,FakeTorino,12,9,22113,0.1879,0.8121,0.0008,0.0008
1,FakeTorino,12,10,24576,0.1879,0.8121,0.0,0.0
1,FakeTorino,13,1,2457,0.1888,0.811,1.0,1.0
1,FakeTorino,13,2,4914,0.187,0.8129,0.0018,0.0019
1,FakeTorino,13,3,7371,0.1906,0.8093,0.0036,0.0035
1,FakeTorino,13,4,9828,0.1905,0.8095,0.0001,0.0001
1,FakeTorino,13,5,12285,0.1895,0.8105,0.001,0.001
1,FakeTorino,13,6,14742,0.1897,0.8103,0.0002,0.0001
1,FakeTorino,13,7,17199,0.19,0.81,0.0003,0.0003
1,FakeTorino,13,8,19656,0.1899,0.8101,0.0001,0.0001
1,FakeTorino,13,9,22113,0.1898,0.8102,0.0001,0.0001
1,FakeTorino,13,10,24576,0.1886,0.8114,0.0012,0.0012
1,FakeTorino,14,1,2457,0.1836,0.8153,1.0,1.0
1,FakeTorino,14,2,4914,0.1836,0.8163,0.0,0.001
1,FakeTorino,14,3,7371,0.183,0.8169,0.0005,0.0006
1,FakeTorino,14,4,9828,0.1796,0.8204,0.0034,0.0034
1,FakeTorino,14,5,12285,0.18,0.82,0.0004,0.0004
1,FakeTorino,14,6,14742,0.1812,0.8188,0.0012,0.0012
1,FakeTorino,14,7,17199,0.1809,0.8191,0.0003,0.0003
1,FakeTorino,14,8,19656,0.1819,0.8181,0.001,0.001
1,FakeTorino,14,9,22113,0.1821,0.8179,0.0002,0.0002
1,FakeTorino,14,10,24576,0.1822,0.8178,0.0001,0.0001
1,FakeTorino,15,1,2457,0.1648,0.8352,1.0,1.0
1,FakeTorino,15,2,4914,0.1744,0.8256,0.0096,0.0096
1,FakeTorino,15,3,7371,0.1776,0.8224,0.0032,0.0032
1,FakeTorino,15,4,9828,0.1813,0.8187,0.0037,0.0037
1,FakeTorino,15,5,12285,0.1793,0.8207,0.002,0.002
1,FakeTorino,15,6,14742,0.1824,0.8176,0.0031,0.0031
1,FakeTorino,15,7,17199,0.1816,0.8184,0.0008,0.0008
1,FakeTorino,15,8,19656,0.1842,0.8158,0.0025,0.0025
1,FakeTorino,15,9,22113,0.1833,0.8167,0.0009,0.0009
1,FakeTorino,15,10,24576,0.1833,0.8167,0.0,0.0
1,FakeTorino,16,1,2457,0.1962,0.8038,1.0,1.0
1,FakeTorino,16,2,4914,0.188,0.8119,0.0081,0.0081
1,FakeTorino,16,3,7371,0.1857,0.8142,0.0023,0.0023
1,FakeTorino,16,4,9828,0.1823,0.8177,0.0034,0.0034
1,FakeTorino,16,5,12285,0.1853,0.8147,0.0029,0.003
1,FakeTorino,16,6,14742,0.1853,0.8147,0.0,0.0
1,FakeTorino,16,7,17199,0.1845,0.8155,0.0008,0.0008
1,FakeTorino,16,8,19656,0.1851,0.8149,0.0006,0.0006
1,FakeTorino,16,9,22113,0.1854,0.8146,0.0002,0.0002
1,FakeTorino,16,10,24576,0.186,0.814,0.0006,0.0006
1,FakeTorino,17,1,2457,0.1832,0.8168,1.0,1.0
1,FakeTorino,17,2,4914,0.1842,0.8158,0.001,0.001
1,FakeTorino,17,3,7371,0.1879,0.8121,0.0037,0.0037
1,FakeTorino,17,4,9828,0.1861,0.8139,0.0018,0.0018
1,FakeTorino,17,5,12285,0.1831,0.8169,0.003,0.003
1,FakeTorino,17,6,14742,0.1845,0.8155,0.0014,0.0014
1,FakeTorino,17,7,17199,0.1844,0.8156,0.0001,0.0001
1,FakeTorino,17,8,19656,0.1856,0.8144,0.0012,0.0012
1,FakeTorino,17,9,22113,0.1855,0.8145,0.0002,0.0002
1,FakeTorino,17,10,24576,0.1859,0.8141,0.0005,0.0005
1,FakeTorino,18,1,2457,0.1713,0.8286,1.0,1.0
1,FakeTorino,18,2,4914,0.1752,0.8248,0.0039,0.0038
1,FakeTorino,18,3,7371,0.1832,0.8168,0.0079,0.0079
1,FakeTorino,18,4,9828,0.1822,0.8177,0.0009,0.0009
1,FakeTorino,18,5,12285,0.1868,0.8131,0.0046,0.0046
1,FakeTorino,18,6,14742,0.1846,0.8153,0.0022,0.0022
1,FakeTorino,18,7,17199,0.186,0.8139,0.0014,0.0014
1,FakeTorino,18,8,19656,0.1859,0.814,0.0001,0.0
1,FakeTorino,18,9,22113,0.186,0.814,0.0,0.0
1,FakeTorino,18,10,24576,0.1849,0.815,0.001,0.001
1,FakeTorino,19,1,2457,0.1958,0.8042,1.0,1.0
1,FakeTorino,19,2,4914,0.1827,0.8173,0.013,0.0131
1,FakeTorino,19,3,7371,0.1784,0.8216,0.0043,0.0043
1,FakeTorino,19,4,9828,0.1779,0.8221,0.0005,0.0005
1,FakeTorino,19,5,12285,0.177,0.823,0.0008,0.0008
1,FakeTorino,19,6,14742,0.1795,0.8205,0.0024,0.0024
1,FakeTorino,19,7,17199,0.179,0.821,0.0005,0.0005
1,FakeTorino,19,8,19656,0.1809,0.8191,0.0018,0.0018
1,FakeTorino,19,9,22113,0.1808,0.8192,0.0001,0.0001
1,FakeTorino,19,10,24576,0.1823,0.8177,0.0015,0.0015
2,FakeTorino,0,1,819,0.2625,0.7373,1.0,1.0
2,FakeTorino,0,2,1638,0.2466,0.7533,0.0159,0.016
2,FakeTorino,0,3,2457,0.2418,0.7582,0.0049,0.0049
