idx,name,n_qubits,backend,backend_qubits,seed,shots,ref_shots,final_tvd,final_hf,grade,stop_cp_paper,stop_shots_paper,stop_correct_paper,stop_cp_tvd_only,stop_correct_tvd_only,transpiled_depth,transpiled_2q,sim_s,qiskit,qiskit_aer,qiskit_ibm_runtime
1,Bell state (GHZ-2),2,FakeTorino,133,20,24576,2457,0.1823,0.8177,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,21,24576,2457,0.1857,0.8143,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,22,24576,2457,0.1822,0.8178,PASS,,,CORRECT,,CORRECT,8,2,1.0,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,23,24576,2457,0.1868,0.8131,PASS,,,CORRECT,,CORRECT,8,2,1.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,24,24576,2457,0.1846,0.8154,PASS,,,CORRECT,,CORRECT,8,2,1.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,25,24576,2457,0.1825,0.8175,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,26,24576,2457,0.1851,0.8149,PASS,,,CORRECT,,CORRECT,8,2,1.0,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,27,24576,2457,0.1812,0.8188,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,28,24576,2457,0.1831,0.8168,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,29,24576,2457,0.1814,0.8186,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,30,24576,2457,0.1844,0.8156,PASS,,,CORRECT,,CORRECT,8,2,1.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,31,24576,2457,0.1851,0.8149,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,32,24576,2457,0.1871,0.8129,PASS,,,CORRECT,,CORRECT,8,2,1.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,33,24576,2457,0.1835,0.8165,PASS,,,CORRECT,,CORRECT,8,2,1.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,34,24576,2457,0.1826,0.8174,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,35,24576,2457,0.1848,0.8152,PASS,,,CORRECT,,CORRECT,8,2,1.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,36,24576,2457,0.1855,0.8145,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,37,24576,2457,0.1842,0.8158,PASS,,,CORRECT,,CORRECT,8,2,1.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,38,24576,2457,0.1824,0.8176,PASS,,,CORRECT,,CORRECT,8,2,1.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,39,24576,2457,0.1855,0.8145,PASS,,,CORRECT,,CORRECT,8,2,1.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,40,24576,2457,0.1865,0.8135,PASS,,,CORRECT,,CORRECT,8,2,1.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,41,24576,2457,0.1837,0.8163,PASS,,,CORRECT,,CORRECT,8,2,1.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,42,24576,2457,0.184,0.816,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,43,24576,2457,0.1847,0.8152,PASS,,,CORRECT,,CORRECT,8,2,1.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,44,24576,2457,0.1868,0.8132,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,45,24576,2457,0.1888,0.8111,PASS,,,CORRECT,,CORRECT,8,2,1.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,46,24576,2457,0.1839,0.8161,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,47,24576,2457,0.1826,0.8174,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,48,24576,2457,0.1853,0.8147,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,49,24576,2457,0.1835,0.8165,PASS,,,CORRECT,,CORRECT,8,2,1.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,50,24576,2457,0.184,0.816,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,51,24576,2457,0.1829,0.8171,PASS,,,CORRECT,,CORRECT,8,2,1.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,52,24576,2457,0.1843,0.8157,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,53,24576,2457,0.1898,0.8102,PASS,,,CORRECT,,CORRECT,8,2,1.5,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,54,24576,2457,0.1832,0.8168,PASS,,,CORRECT,,CORRECT,8,2,1.1,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,55,24576,2457,0.1849,0.815,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,56,24576,2457,0.1814,0.8186,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,57,24576,2457,0.1855,0.8145,PASS,,,CORRECT,,CORRECT,8,2,1.4,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,58,24576,2457,0.1883,0.8117,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,59,24576,2457,0.1832,0.8168,PASS,,,CORRECT,,CORRECT,8,2,1.3,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,60,24576,2457,0.1847,0.8153,PASS,,,CORRECT,,CORRECT,8,2,1.2,2.3.1,0.17.2,0.46.1
1,Bell state (GHZ-2),2,FakeTorino,133,61,24576,2457,0.1847,0.8153,PASS,,,CORRECT,,CORRECT,8,2,1.4,2.3.1,0.17.2,0.46.1
