tag,k,t_trig,mode,window_ms,dt_ns,n_pulses,n_shots,pulses_per_shot,expected_shots_in_span,missing_shots,period_prog_us,mean_period_us,sd_ns,min_dev_ns,max_dev_ns,n_outside_1us,max_intra_gap_us,thr_mV,vmax_mV
phys5_n1,0,1788574392.0,CONSTANT,1000.0,80.0,1029,1024,"1 (min 1, max 2)",1027,3,248.544,249.25,61.6,576.0,736.0,0,0.16,24.64,61.6
phys5_n2,0,1788574414.4,CONSTANT,1000.0,80.0,1030,1024,"1 (min 1, max 2)",1027,3,248.544,249.25,62.1,576.0,736.0,0,0.16,24.64,61.6
phys5_n3,0,1788574427.2,CONSTANT,1000.0,80.0,1030,1024,"1 (min 1, max 2)",1027,3,248.544,249.25,62.1,576.0,736.0,0,0.16,24.64,61.6
phys4_n1,0,1788573156.7,CONSTANT,100.0,80.0,14556,8000,"2 (min 1, max 2)",8000,0,8.932,8.932,60.7,-132.0,28.0,0,0.56,24.0,60.0
phys4_n2,0,1788573173.3,CONSTANT,100.0,80.0,14544,8000,"2 (min 1, max 2)",8000,0,8.932,8.932,60.7,-132.0,28.0,0,0.56,24.0,60.0
phys4_n3,0,1788573190.0,CONSTANT,100.0,80.0,14538,8000,"2 (min 1, max 2)",8000,0,8.932,8.932,60.7,-132.0,28.0,0,0.56,23.68,59.2
phys3_n1,0,1788573207.7,CONSTANT,1000.0,80.0,990,490,"2 (min 2, max 3)",490,0,2003.648,2003.6476,63.7,-128.0,32.0,0,1.12,23.68,59.2
phys3_n1,1,1788573210.9,CONSTANT,1000.0,80.0,990,490,"2 (min 2, max 3)",490,0,2003.648,2003.6476,63.7,-128.0,32.0,0,1.12,23.68,59.2
phys3_n1,2,1788573217.5,CONSTANT,1000.0,80.0,1011,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,64.3,-128.0,32.0,0,1.12,23.68,59.2
phys3_n1,3,1788573222.0,CONSTANT,1000.0,80.0,1011,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,64.3,-128.0,32.0,0,1.12,23.68,59.2
phys3_n1,4,1788573228.6,CONSTANT,1000.0,80.0,1007,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,63.9,-128.0,32.0,0,1.12,23.68,59.2
phys3_n1,5,1788573233.1,CONSTANT,1000.0,80.0,1007,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,63.9,-128.0,32.0,0,1.12,23.68,59.2
phys3_n1,6,1788573239.8,CONSTANT,1000.0,80.0,1007,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,63.9,-128.0,32.0,0,1.12,23.36,58.4
phys3_n1,7,1788573244.2,CONSTANT,1000.0,80.0,1007,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,63.9,-128.0,32.0,0,1.12,23.36,58.4
phys3_n1,8,1788573250.9,CONSTANT,1000.0,80.0,1006,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,63.7,-128.0,32.0,0,1.12,23.68,59.2
phys3_n1,9,1788573255.3,CONSTANT,1000.0,80.0,1006,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,63.7,-128.0,32.0,0,1.12,23.68,59.2
ctest,0,1788572204.1,CONSTANT,100.0,80.0,14669,8000,"2 (min 1, max 2)",8000,0,8.932,8.932,60.7,-132.0,28.0,0,0.56,13.44,33.6
ctest,1,1788572333.3,CONSTANT,100.0,80.0,14672,8000,"2 (min 1, max 2)",8000,0,8.932,8.932,60.6,-132.0,28.0,0,0.56,13.44,33.6
ctest,2,1788572345.1,CONSTANT,100.0,80.0,14682,8000,"2 (min 1, max 2)",8000,0,8.932,8.932,60.7,-132.0,28.0,0,0.56,13.44,33.6
phys4_r3,0,1788572356.8,CONSTANT,100.0,80.0,14702,8000,"2 (min 1, max 2)",8000,0,8.932,8.932,60.8,-132.0,28.0,0,0.56,13.44,33.6
phys4_r4,0,1788572405.9,CONSTANT,100.0,80.0,14669,8000,"2 (min 1, max 2)",8000,0,8.932,8.932,60.7,-132.0,28.0,0,0.56,13.44,33.6
phys4_r5,0,1788572421.4,CONSTANT,100.0,80.0,14680,8000,"2 (min 1, max 2)",8000,0,8.932,8.932,60.7,-132.0,28.0,0,0.56,13.44,33.6
phys3_r1,0,1788572473.6,CONSTANT,1000.0,80.0,986,490,"2 (min 2, max 3)",490,0,2003.648,2003.6476,64.3,-128.0,32.0,0,1.12,12.8,32.0
phys3_r1,1,1788572478.1,CONSTANT,1000.0,80.0,986,490,"2 (min 2, max 3)",490,0,2003.648,2003.6476,64.3,-128.0,32.0,0,1.12,12.8,32.0
phys3_r1,2,1788572482.8,CONSTANT,1000.0,80.0,1006,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,63.9,-128.0,32.0,0,1.12,12.8,32.0
phys3_r1,3,1788572487.3,CONSTANT,1000.0,80.0,1004,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,64.1,-128.0,32.0,0,1.12,12.8,32.0
phys3_r1,4,1788572493.9,CONSTANT,1000.0,80.0,1000,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,64.1,-128.0,32.0,0,1.12,13.12,32.8
phys3_r1,5,1788572498.4,CONSTANT,1000.0,80.0,1000,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,64.1,-128.0,32.0,0,1.12,13.12,32.8
phys3_r1,6,1788572503.0,CONSTANT,1000.0,80.0,1004,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,64.3,-128.0,32.0,0,1.12,13.12,32.8
phys3_r1,7,1788572509.6,CONSTANT,1000.0,80.0,1008,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,63.7,-128.0,32.0,0,1.12,13.44,33.6
phys3_r1,8,1788572512.9,CONSTANT,1000.0,80.0,1008,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,63.7,-128.0,32.0,0,1.12,13.44,33.6
phys3_r1,9,1788572519.5,CONSTANT,1000.0,80.0,1005,499,"2 (min 2, max 3)",499,0,2003.648,2003.6476,63.9,-128.0,32.0,0,1.12,12.8,32.0
