config,experiment,n,status,E_ms,F_ms,F_se_ms,N,P_compiled_us,P_meas_se_us,P_meas_us,calib_points,cnr,cnr_wait_cycles,consistent,elapsed_ms,exclusion_reason,interval_us,loop_overhead_ci95_ns,loop_overhead_ns,mean_minus_E_ms,mean_ms,n_segments,n_units,period_src,s_resid_ms,sd_ms,se_pred3_ms,seg_dur_us,tolerance_ms
c1,phys1,3,ok,5184.6413,2.1435,0.006,50000,103.6480,9.2e-05,103.649956,9,,,True,5184.6396 5184.6570 5184.6439,,100.000,1.737..2.174,1.956,0.0056,5184.6468,,,compile,0.0113,0.0091,0.0075,,1.5185
c3,phys1,3,ok,5182.6082,0.2839,0.3136,50000,103.6480,0.004801,103.646488,9,0,0,True,5182.3769 5182.3721 5182.3725,,100.000,-12.866..9.842,-1.512,-0.2344,5182.3738,,,compile,0.588,0.0026,0.392,,1.5183
std,phys1,0,capacity,,,,50000,103.6480,,,,,,,,2N=100000 words > accbuf 2048 words,100.000,,,,,,,compile,,NA,,,
c1,phys2,3,ok,,,,32,5.9040,,,,,,,2.6044 2.6001 2.5987,,1.000,,,,2.6011,,,compile,,0.003,,,
c3,phys2,3,ok,,,,32,5.9040,,,,0,0,,0.3313 0.3401 0.4053,,1.000,,,,0.3589,,,compile,,0.0404,,,
std,phys2,3,ok,,,,32,5.9040,,,,,,,3.5329 3.4334 3.4267,,1.000,,,,3.4643,,,compile,,0.0595,,,
c1,phys3,3,ok,100182.6427,0.2568,0.0077,50000,2003.6480,0.00166,2003.647717,9,,,True,100182.5999 100182.6073 100182.6067,,2000.000,-4.208..3.643,-0.283,-0.0381,100182.6046,,,compile,0.0121,0.0041,0.0768,,11.0183
c3,phys3,3,ok,100180.3224,-1.8987,0.0062,50000,2003.6480,0.00134,2003.644422,9,0,0,True,100180.3753 100180.3804 100180.3849,,2000.000,-6.747..-0.409,-3.578,0.0578,100180.3802,,,compile,0.0097,0.0048,0.062,,11.018
std,phys3,0,capacity,,,,50000,2003.6480,,,,,,,,2N=100000 words > accbuf 2048 words,2000.000,,,,,,,compile,,NA,,,
c1,phys4,3,ok,73.6928,2.2169,0.0959,8000,8.9320,0.000321,8.934492,9,,,True,73.7004 73.7243 73.7199,,6.000,1.732..3.251,2.492,0.0221,73.7149,,,compile,0.1815,0.0127,0.1407,,1.0074
c3,phys4,3,ok,71.4697,0.0067,0.2056,8000,8.9320,0.000688,8.932869,9,0,0,True,71.5427 71.5273 71.5286,,6.000,-0.759..2.497,0.869,0.0632,71.5329,,,compile,0.3891,0.0085,0.3017,,1.0071
std,phys4,0,capacity,,,,8000,8.9320,,,,,,,,2N=16000 words > accbuf 2048 words,6.000,,,,,,,compile,,NA,,,
c3,phys5,9,ok,,,,1024,248.5440,,,,0,1,,329.0611 331.7024 328.5383 327.9951 327.9528 323.6686 255.3221 255.2959 255.3390,,1.000,,,,303.8751,5,5120,compile-segments,,36.4749,,50.114;49.114;49.114;49.114;51.088,
c3,phys5_ctrl1800p_cap1802,12,ok,,,,1024,46.8080,,,,0,1,,67.3499 65.5080 66.0182 65.7043 65.8642 65.8357 64.8232 64.8242 65.6713 48.1508 48.2642 48.1755,,1.000,,,,61.3491,1,1024,compile-segments,,7.9565,,46.808,
c3,phys5_ctrl1800p_cap1802_mask0,3,ok,,,,1024,46.8080,,,,1,40072,,130.4176 130.6262 130.2552,,1.000,,,,130.433,1,1024,compile-segments,,0.186,,46.808,
c3,phys5_ctrl1800p_cap1802_mask3f80,3,ok,,,,1024,46.8080,,,,1,8683,,65.9313 67.5059 66.0177,,1.000,,,,66.485,1,1024,compile-segments,,0.8852,,46.808,
c3,phys5_ctrl1800p_cap1802_mask3ffc,3,ok,,,,1024,46.8080,,,,1,8896,,65.6976 65.7012 65.8596,,1.000,,,,65.7528,1,1024,compile-segments,,0.0925,,46.808,
c3,phys5_ctrl1800p_cap902,9,ok,,,,1024,46.8180,,,,0,1,,129.5414 129.7181 129.8998 131.0798 131.4089 133.2664 48.5457 48.3138 48.3151,,1.000,,,,103.3432,2,2048,compile-segments,,41.2291,,22.658;24.160,
c3,phys6,9,ok,,,,5000,432.4840,,,,0,1,,2164.9249 2164.9372 2164.9306 2164.9403 2164.9262 2164.9359 2164.7392 2164.7305 2164.7341,,1.000,,,,2164.8665,3,15000,compile-segments,,0.0991,,146.958;145.958;139.568,
c3,phys6_cap1000,2,data_mismatch,,,,5000,432.5240,,,,,,,2261.5640 2214.4341,dma_server disconnected unexpectedly,1.000,,,,2237.999,,,compile-segments,,33.3259,,,
c3,phys6_cap500,2,data_mismatch,,,,5000,432.5840,,,,,,,4215.6561 4143.9159,batch_server disconnected unexpectedly,1.000,,,,4179.786,,,compile-segments,,50.728,,,
