idx,name,n_qubits,shots,per_shot_us,qpu_ms,per_shot_realized_us,workload_realized_ms,std_n,std_mean_ms,std_sd_ms,std_delta_ms,std_delta_pct,std_delta_real_ms,std_delta_real_pct,std_provisional,std_set_tag,c1_n,c1_mean_ms,c1_sd_ms,c1_delta_ms,c1_delta_pct,c1_delta_real_ms,c1_delta_real_pct,c1_provisional,c1_set_tag,c3_n,c3_mean_ms,c3_sd_ms,c3_delta_ms,c3_delta_pct,c3_delta_real_ms,c3_delta_real_pct,c3_provisional,c3_set_tag
1,Bell state (GHZ-2),2,24576,8.58,210.8621,8.7501,215.0425,5,403.2442,0.1043,192.3821,91.24,188.2017,87.52,no,std_14q_real1,5,217.2798,0.0062,6.4177,3.04,2.2373,1.04,no,c1_14q_real1,5,214.8798,0.0060,4.0177,1.91,-0.1627,-0.08,no,c3_14q_real2
2,GHZ-3,3,8192,11.71,95.9283,11.8641,97.1907,5,159.4563,0.9191,63.5280,66.22,62.2656,64.07,no,std_14q_real1,5,99.6435,0.0038,3.7152,3.87,2.4528,2.52,no,c1_14q_real1,5,97.4170,0.2107,1.4886,1.55,0.2263,0.23,no,c3_14q_real2
3,VQE HeH+ 2Q,2,4000,8.58,34.3200,8.7504,35.0016,5,65.9125,0.0085,31.5925,92.05,30.9109,88.31,no,std_14q_real1,5,37.2807,0.0074,2.9607,8.63,2.2791,6.51,no,c1_14q_real1,5,35.0442,0.0037,0.7242,2.11,0.0426,0.12,no,c3_14q_real2
4,QAOA 2Q p=1,2,1000,8.94,8.9400,9.1101,9.1101,5,16.8067,0.0066,7.8667,87.99,7.6966,84.48,no,std_14q_real1,5,11.3930,0.0027,2.4530,27.44,2.2829,25.06,no,c1_14q_real1,5,9.1996,0.0270,0.2596,2.90,0.0895,0.98,no,c3_14q_real2
5,Quantum teleportation 3Q,3,1000,14.50,14.5000,14.6467,14.6467,5,23.0795,0.0093,8.5795,59.17,8.4328,57.58,no,std_14q_real1,5,16.9886,0.0167,2.4886,17.16,2.3419,15.99,no,c1_14q_real1,5,14.7336,0.0067,0.2336,1.61,0.0869,0.59,no,c3_14q_real2
6,Deutsch-Jozsa 3Q,3,1024,12.06,12.3494,12.2037,12.4966,5,19.4865,0.0061,7.1370,57.79,6.9899,55.93,no,std_14q_real1,5,14.8393,0.0019,2.4898,20.16,2.3427,18.75,no,c1_14q_real1,5,12.5933,0.0043,0.2438,1.97,0.0967,0.77,no,c3_14q_real2
7,GHZ-4,4,8192,14.84,121.5693,14.9988,122.8702,5,201.0228,0.5712,79.4535,65.36,78.1526,63.61,no,std_14q_real1,5,125.3350,0.0108,3.7658,3.10,2.4649,2.01,no,c1_14q_real1,5,122.9611,0.0056,1.3918,1.14,0.0909,0.07,no,c3_14q_real2
8,GHZ-5,5,1024,17.97,18.4013,18.1349,18.5701,5,28.4016,0.1457,10.0004,54.35,9.8315,52.94,no,std_14q_real1,5,20.9393,0.0095,2.5381,13.79,2.3692,12.76,no,c1_14q_real1,5,18.6475,0.0042,0.2463,1.34,0.0774,0.42,no,c3_14q_real2
9,GHZ-6,6,128,21.10,2.7008,21.2504,2.7201,5,6.2143,0.0138,3.5135,130.09,3.4943,128.46,no,std_14q_real1,5,5.0967,0.0093,2.3959,88.71,2.3767,87.38,no,c1_14q_real1,5,2.8005,0.0025,0.0997,3.69,0.0804,2.96,no,c3_14q_real2
10,GHZ-8,8,32,27.36,0.8755,27.5223,0.8807,5,3.6545,0.0015,2.7790,317.41,2.7738,314.95,no,std_14q_real1,5,3.2914,0.0053,2.4159,275.94,2.4107,273.72,no,c1_14q_real1,5,0.9850,0.0070,0.1094,12.50,0.1042,11.84,no,c3_14q_real2
11,Bernstein-Vazirani 5Q,5,1024,18.92,19.3741,19.0861,19.5442,5,30.0166,0.0749,10.6425,54.93,10.4724,53.58,no,std_14q_real1,5,21.9322,0.0133,2.5582,13.20,2.3881,12.22,no,c1_14q_real1,5,19.6134,0.0029,0.2393,1.24,0.0692,0.35,no,c3_14q_real2
12,VQE 1Q eigensolver,1,10000,5.43,54.3000,5.5932,55.9320,5,115.0856,1.0606,60.7856,111.94,59.1536,105.76,no,std_14q_real1,5,58.1537,0.0023,3.8537,7.10,2.2217,3.97,no,c1_14q_real1,5,56.0279,0.2000,1.7279,3.18,0.0959,0.17,no,c3_14q_real2
13,QFT 4Q,4,500,26.47,13.2350,26.6321,13.3161,5,18.1322,0.0201,4.8972,37.00,4.8161,36.17,no,std_14q_real1,5,15.8879,0.0061,2.6529,20.04,2.5719,19.31,no,c1_14q_real1,5,13.3926,0.0116,0.1576,1.19,0.0765,0.57,no,c3_14q_real2
19,VQE BeH2 14Q,14,4096,46.42,190.1363,46.5687,190.7454,5,267.0813,0.1316,76.9450,40.47,76.3359,40.02,no,std_14q_real1,5,193.6753,0.0099,3.5390,1.86,2.9299,1.54,no,c1_14q_real1,5,190.9202,0.0070,0.7839,0.41,0.1748,0.09,no,c3_14q_real2
20,Shor N=15 5Q,5,1000,17.66,17.6600,17.8178,17.8178,5,26.7532,0.0220,9.0932,51.49,8.9354,50.15,no,std_14q_real1,5,20.1733,0.0059,2.5133,14.23,2.3555,13.22,no,c1_14q_real1,5,17.8944,0.0048,0.2344,1.33,0.0766,0.43,no,c3_14q_real2
21,QAOA MaxCut 12Q,12,10000,43.24,432.4000,43.3911,433.9110,5,593.4933,0.4797,161.0933,37.26,159.5823,36.78,no,std_14q_real1,5,437.0980,0.0171,4.6980,1.09,3.1870,0.73,no,c1_14q_real1,5,434.1191,0.0357,1.7191,0.40,0.2081,0.05,no,c3_14q_real2
22,QML Image Class 14Q,14,400,50.12,20.0480,50.2777,20.1111,5,28.4507,0.6139,8.4027,41.91,8.3396,41.47,no,std_14q_real1,5,22.8918,0.0851,2.8438,14.19,2.7807,13.83,no,c1_14q_real1,5,20.2745,0.0030,0.2265,1.13,0.1634,0.81,no,c3_14q_real2
