batch_id,n_circuits,qpu_ms,workload_realized_ms,std_n,std_mean_ms,std_sd_ms,std_delta_ms,std_delta_pct,std_delta_real_ms,std_delta_real_pct,std_provisional,std_set_tag,c1_n,c1_mean_ms,c1_sd_ms,c1_delta_ms,c1_delta_pct,c1_delta_real_ms,c1_delta_real_pct,c1_provisional,c1_set_tag,c3_n,c3_mean_ms,c3_sd_ms,c3_delta_ms,c3_delta_pct,c3_delta_real_ms,c3_delta_real_pct,c3_provisional,c3_set_tag
ghz8_x30,30,26.2694,26.4214,5,108.9774,0.0771,82.7080,314.85,82.5560,312.46,no,std_14q_real1,5,102.8703,0.0368,76.6009,291.60,76.4489,289.34,no,c1_14q_real1,5,26.6948,0.0065,0.4254,1.62,0.2734,1.03,no,c3_14q_real2
qaoa12_x30,30,12972.0000,13017.3300,5,17797.0976,4.0456,4825.0976,37.20,4779.7676,36.72,no,std_14q_real1,5,13179.0658,1.2589,207.0658,1.60,161.7358,1.24,no,c1_14q_real1,5,13019.3253,0.0129,47.3253,0.36,1.9953,0.02,no,c3_14q_real2
rand10_t0,10,939.8526,951.0186,5,1623.8670,0.2638,684.0144,72.78,672.8484,70.75,no,std_14q_real1,5,1057.5575,0.5398,117.7049,12.52,106.5389,11.20,no,c1_14q_real1,5,2787.0780,178.6707,1847.2254,196.54,1836.0594,193.06,no,c3_14q_real2
rand10_t1,10,586.1906,596.9359,5,1136.0635,0.1330,549.8729,93.80,539.1277,90.32,no,std_14q_real1,5,677.1196,0.6227,90.9290,15.51,80.1838,13.43,no,c1_14q_real1,5,2174.8234,85.5788,1588.6328,271.01,1577.8875,264.33,no,c3_14q_real2
rand10_t2,10,705.0523,711.2122,5,1182.4399,0.5078,477.3876,67.71,471.2277,66.26,no,std_14q_real1,5,822.7266,6.1768,117.6743,16.69,111.5144,15.68,no,c1_14q_real1,5,2152.8763,46.1750,1447.8240,205.35,1441.6641,202.71,no,c3_14q_real2
rand10_t3,10,406.3136,411.0315,5,728.1280,0.6220,321.8144,79.20,317.0965,77.15,no,std_14q_real1,5,519.1084,1.9153,112.7948,27.76,108.0770,26.29,no,c1_14q_real1,5,2389.3516,76.7028,1983.0380,488.06,1978.3201,481.31,no,c3_14q_real2
rand10_t4,10,444.2518,451.2253,5,822.5863,0.0481,378.3345,85.16,371.3609,82.30,no,std_14q_real1,5,514.0063,0.0315,69.7545,15.70,62.7810,13.91,no,c1_14q_real1,5,1703.3993,65.4764,1259.1475,283.43,1252.1740,277.51,no,c3_14q_real2
rand10_t5,10,186.5717,188.0273,5,312.7473,0.0415,126.1756,67.63,124.7201,66.33,no,std_14q_real1,5,261.1709,1.0552,74.5992,39.98,73.1436,38.90,no,c1_14q_real1,5,1462.9302,177.0734,1276.3585,684.11,1274.9029,678.04,no,c3_14q_real2
rand10_t6,10,1087.0463,1096.7682,5,1764.0353,0.6755,676.9890,62.28,667.2671,60.84,no,std_14q_real1,5,1215.5377,1.2087,128.4914,11.82,118.7695,10.83,no,c1_14q_real1,5,2846.4923,109.1262,1759.4460,161.86,1749.7241,159.53,no,c3_14q_real2
rand10_t7,10,665.5613,669.0040,5,1021.7178,0.1440,356.1565,53.51,352.7138,52.72,no,std_14q_real1,5,787.4848,0.6905,121.9235,18.32,118.4808,17.71,no,c1_14q_real1,5,2934.3946,51.7430,2268.8333,340.89,2265.3906,338.62,no,c3_14q_real2
