manifest,block,config,n,mean_ms,sd_ms,qpu_ms,delta_pct
ghz8_x30,1,std_native,5,108.9989,0.0702,26.2694,314.927
ghz8_x30,1,std_pool,5,108.9852,0.0665,26.2694,314.875
ghz8_x30,1,c1_native,5,106.3401,7.7785,26.2694,304.806
ghz8_x30,1,c1_pool,5,103.8469,0.1028,26.2694,295.315
ghz8_x30,1,c3_pool,5,26.7007,0.0072,26.2694,1.642
qaoa12_x30,3,std_native,5,17804.415,4.1783,12972.0,37.253
qaoa12_x30,3,std_pool,5,17805.4532,2.7998,12972.0,37.261
qaoa12_x30,3,c1_native,5,13208.0289,26.1949,12972.0,1.82
qaoa12_x30,3,c1_pool,5,13206.1972,4.9637,12972.0,1.805
qaoa12_x30,3,c3_pool,5,13019.5644,0.5484,12972.0,0.367
rand10_t0,4,std_native,5,1624.963,1.8396,939.8526,72.896
rand10_t0,4,std_pool,5,1561.006,0.5939,939.8526,66.091
rand10_t0,4,c1_native,5,1042.5839,1.415,939.8526,10.931
rand10_t0,4,c1_pool,5,981.2553,0.6764,939.8526,4.405
rand10_t0,4,c3_pool,5,950.9039,0.0047,939.8526,1.176
rand10_t1,0,std_native,5,1136.6196,1.0182,586.1906,93.899
rand10_t1,0,std_pool,5,1088.2481,1.2083,586.1906,85.647
rand10_t1,0,c1_native,5,671.8938,0.9194,586.1906,14.62
rand10_t1,0,c1_pool,5,627.4236,0.6534,586.1906,7.034
rand10_t1,0,c3_pool,5,596.7358,0.2633,586.1906,1.799
rand10_t2,3,std_native,5,1183.1269,0.5949,705.0523,67.807
rand10_t2,3,std_pool,5,1104.1168,0.7694,705.0523,56.601
rand10_t2,3,c1_native,5,820.0789,0.8386,705.0523,16.315
rand10_t2,3,c1_pool,5,747.3867,1.0249,705.0523,6.004
rand10_t2,3,c3_pool,5,711.7303,0.0062,705.0523,0.947
rand10_t3,3,std_native,5,727.9735,0.1551,406.3136,79.165
rand10_t3,3,std_pool,5,652.3411,0.4631,406.3136,60.551
rand10_t3,3,c1_native,5,516.9409,2.511,406.3136,27.227
rand10_t3,3,c1_pool,5,443.1028,0.5786,406.3136,9.054
rand10_t3,3,c3_pool,5,411.2366,0.0062,406.3136,1.212
rand10_t4,4,std_native,5,822.658,0.4419,444.2518,85.178
rand10_t4,4,std_pool,5,785.8009,1.0879,444.2518,76.882
rand10_t4,4,c1_native,5,517.5926,4.4288,444.2518,16.509
rand10_t4,4,c1_pool,5,481.7585,1.5151,444.2518,8.443
rand10_t4,4,c3_pool,5,451.3494,0.0861,444.2518,1.598
rand10_t5,1,std_native,5,312.8977,0.1089,186.5717,67.709
rand10_t5,1,std_pool,5,268.5641,0.4855,186.5717,43.947
rand10_t5,1,c1_native,5,261.0427,0.9149,186.5717,39.915
rand10_t5,1,c1_pool,5,215.9122,0.1786,186.5717,15.726
rand10_t5,1,c3_pool,5,188.3207,0.0383,186.5717,0.937
rand10_t6,1,std_native,5,1765.4206,1.2943,1087.0463,62.405
rand10_t6,1,std_pool,5,1691.8758,0.5075,1087.0463,55.64
rand10_t6,1,c1_native,5,1218.0861,2.7678,1087.0463,12.055
rand10_t6,1,c1_pool,5,1136.9776,1.1288,1087.0463,4.593
rand10_t6,1,c3_pool,5,1096.8876,0.0174,1087.0463,0.905
rand10_t7,2,std_native,5,1022.2633,0.8935,665.5613,53.594
rand10_t7,2,std_pool,5,947.9324,1.2607,665.5613,42.426
rand10_t7,2,c1_native,5,788.004,0.5686,665.5613,18.397
rand10_t7,2,c1_pool,5,704.3888,0.6838,665.5613,5.834
rand10_t7,2,c3_pool,5,669.7061,0.4301,665.5613,0.623
rand10_t8,0,std_native,5,1200.193,1.0185,669.0893,79.377
rand10_t8,0,std_pool,5,1155.693,0.5359,669.0893,72.726
rand10_t8,0,c1_native,5,759.3785,0.7692,669.0893,13.494
rand10_t8,0,c1_pool,5,708.293,2.6874,669.0893,5.859
rand10_t8,0,c3_pool,5,679.0774,0.0149,669.0893,1.493
rand10_t9,2,std_native,5,1257.6118,1.0142,822.8857,52.829
rand10_t9,2,std_pool,5,1190.4015,0.6482,822.8857,44.662
rand10_t9,2,c1_native,5,936.5441,2.0376,822.8857,13.812
rand10_t9,2,c1_pool,5,862.2861,1.5224,822.8857,4.788
rand10_t9,2,c3_pool,5,828.0648,0.028,822.8857,0.629
rand20_t0,4,std_native,5,1674.6994,1.2629,1011.2963,65.599
rand20_t0,4,std_pool,5,1551.6674,1.1565,1011.2963,53.434
rand20_t0,4,c1_native,5,1220.2555,1.6392,1011.2963,20.663
rand20_t0,4,c1_pool,5,1084.1006,6.5041,1011.2963,7.199
rand20_t0,4,c3_pool,5,1019.8619,0.0786,1011.2963,0.847
rand20_t1,1,std_native,5,4991.7127,2.0969,3241.2445,54.006
rand20_t1,1,std_pool,5,4832.3239,4.3844,3241.2445,49.089
rand20_t1,1,c1_native,5,3490.2983,2.8888,3241.2445,7.684
rand20_t1,1,c1_pool,5,3344.3554,5.6164,3241.2445,3.181
rand20_t1,1,c3_pool,5,3264.5168,0.0062,3241.2445,0.718
rand20_t2,2,std_native,5,1234.5265,1.826,700.9111,76.132
rand20_t2,2,std_pool,5,1131.2448,0.6024,700.9111,61.396
rand20_t2,2,c1_native,5,873.0002,6.8076,700.9111,24.552
rand20_t2,2,c1_pool,5,770.8317,1.8867,700.9111,9.976
rand20_t2,2,c3_pool,5,708.5304,0.0337,700.9111,1.087
rand20_t3,1,std_native,5,2190.0221,1.1588,1385.1216,58.11
rand20_t3,1,std_pool,5,2049.6877,0.9381,1385.1216,47.979
rand20_t3,1,c1_native,5,1607.5037,14.6568,1385.1216,16.055
rand20_t3,1,c1_pool,5,1464.9282,1.4417,1385.1216,5.762
rand20_t3,1,c3_pool,5,1395.3798,0.0082,1385.1216,0.741
rand20_t4,3,std_native,5,1799.3454,1.3403,1095.5217,64.246
rand20_t4,3,std_pool,5,1662.4348,1.6862,1095.5217,51.748
rand20_t4,3,c1_native,5,1297.8102,0.7763,1095.5217,18.465
rand20_t4,3,c1_pool,5,1169.0117,3.7933,1095.5217,6.708
rand20_t4,3,c3_pool,5,1104.5513,0.0061,1095.5217,0.824
rand20_t5,0,std_native,5,1366.3281,0.8017,834.0339,63.822
rand20_t5,0,std_pool,5,1245.35,0.3847,834.0339,49.316
rand20_t5,0,c1_native,5,1023.3825,8.3123,834.0339,22.703
rand20_t5,0,c1_pool,5,903.6943,0.6173,834.0339,8.352
rand20_t5,0,c3_pool,5,840.7832,0.0042,834.0339,0.809
rand20_t6,3,std_native,5,1920.4735,1.0941,1127.9741,70.259
rand20_t6,3,std_pool,5,1821.7164,1.3897,1127.9741,61.503
rand20_t6,3,c1_native,5,1304.1271,11.7495,1127.9741,15.617
rand20_t6,3,c1_pool,5,1207.1987,3.5241,1127.9741,7.024
rand20_t6,3,c3_pool,5,1141.0819,0.0671,1127.9741,1.162
rand20_t7,2,std_native,5,2013.185,1.5483,1274.4202,57.969
rand20_t7,2,std_pool,5,1898.0298,8.3451,1274.4202,48.933
rand20_t7,2,c1_native,5,1462.6781,3.1235,1274.4202,14.772
rand20_t7,2,c1_pool,5,1352.0214,1.0456,1274.4202,6.089
rand20_t7,2,c3_pool,5,1284.2137,0.0089,1274.4202,0.768
rand20_t8,0,std_native,5,2170.9311,0.6324,1306.0361,66.223
rand20_t8,0,std_pool,5,2024.2458,0.7991,1306.0361,54.992
rand20_t8,0,c1_native,5,1516.5669,10.5106,1306.0361,16.12
rand20_t8,0,c1_pool,5,1384.3616,3.9848,1306.0361,5.997
rand20_t8,0,c3_pool,5,1317.6313,0.0098,1306.0361,0.888
rand20_t9,4,std_native,5,2476.0552,1.2136,1472.5207,68.151
rand20_t9,4,std_pool,5,2354.6497,1.7011,1472.5207,59.906
rand20_t9,4,c1_native,5,1684.0562,9.8005,1472.5207,14.366
rand20_t9,4,c1_pool,5,1550.8658,0.661,1472.5207,5.32
rand20_t9,4,c3_pool,5,1488.134,0.0057,1472.5207,1.06
rand30_t0,4,std_native,5,4690.2478,1.3317,3027.4219,54.925
rand30_t0,4,std_pool,5,4432.582,1.092,3027.4219,46.414
rand30_t0,4,c1_native,5,3438.7374,17.3991,3027.4219,13.586
rand30_t0,4,c1_pool,5,3164.3788,4.0176,3027.4219,4.524
rand30_t0,4,c3_pool,5,3046.8522,0.1722,3027.4219,0.642
