k,estimand,n_manifests,mean,ci95_lo_manifest,ci95_hi_manifest,n_blocks,block_means,ci95_lo_block,ci95_hi_block,all_blocks_positive,confirmatory
10,G_stack,10,0.5867,0.4865,0.687,5,0.7628 0.4843 0.4265 0.5688 0.6913,0.4129,0.7605,True,exploratory
10,G_sys,10,0.6952,0.6059,0.7846,5,0.8361 0.6355 0.5226 0.7163 0.7658,0.5449,0.8455,True,exploratory
10,G_up_native,10,0.4559,0.3477,0.5642,5,0.6361 0.3240 0.3201 0.4255 0.5740,0.2769,0.635,True,exploratory
10,G_up_pool,10,0.4996,0.3922,0.607,5,0.6831 0.3660 0.3631 0.4748 0.6110,0.3206,0.6786,True,exploratory
10,G_c3_vs_c1pool,10,0.0598,0.0358,0.0837,5,0.0472 0.0915 0.0466 0.0638 0.0496,0.036,0.0835,True,exploratory
20,G_stack,10,0.5246,0.4882,0.5611,5,0.5087 0.4746 0.5373 0.5508 0.5519,0.4837,0.5656,True,exploratory
20,G_sys,10,0.6299,0.5854,0.6744,5,0.6363 0.5493 0.6550 0.6560 0.6530,0.5731,0.6868,True,exploratory
20,G_up_native,10,0.4051,0.3721,0.4382,5,0.3833 0.3963 0.3952 0.4295 0.4214,0.381,0.4293,True,exploratory
20,G_up_pool,10,0.4436,0.4106,0.4767,5,0.4201 0.4220 0.4357 0.4656 0.4748,0.4124,0.4749,True,exploratory
20,G_c3_vs_c1pool,10,0.0562,0.0438,0.0686,5,0.0627 0.0371 0.0704 0.0582 0.0526,0.0407,0.0717,True,exploratory
30,G_stack,10,0.5105,0.468,0.5531,5,0.5624 0.5075 0.4962 0.5168 0.4698,0.4685,0.5526,True,"YES (k=30, block CI lo > 0)"
30,G_sys,10,0.6002,0.557,0.6434,5,0.6534 0.6069 0.5758 0.6071 0.5577,0.5549,0.6455,True,exploratory
30,G_up_native,10,0.4089,0.3757,0.4422,5,0.4461 0.4048 0.3980 0.4232 0.3726,0.3747,0.4432,True,exploratory
30,G_up_pool,10,0.4459,0.4076,0.4842,5,0.4914 0.4365 0.4370 0.4523 0.4122,0.4096,0.4821,True,exploratory
30,G_c3_vs_c1pool,10,0.0447,0.0397,0.0496,5,0.0477 0.0493 0.0411 0.0444 0.0408,0.0399,0.0494,True,exploratory
ghz8_x30,G_stack,1,3.0817,,,,,,,,secondary (homogeneous)
qaoa12_x30,G_stack,1,0.3676,,,,,,,,secondary (homogeneous)
