tag,strm_poll_us,idx,name,shots,per_shot_compiled_us,per_shot_realized_us,qpu_realized_ms,n,upload_us,upload_sd_us,start_us,start_sd_us,launch_us,launch_sd_us,exec_res_compiled_us,exec_res_compiled_sd_us,exec_res_realized_us,exec_res_realized_sd_us,drain_us,drain_sd_us,fixed_realized_us,fixed_realized_sd_us,fixed_compiled_us,fixed_compiled_sd_us,fixed_realized_pct,res_compiled_per_shot_ns,launch_plus_exec_res_us
c3_14q_decomp_p0,0,1,Bell state (GHZ-2),24576,8.584,8.7501,215.0425,11,14.0,0.5,0.7,0.1,16.7,1.4,3827.0,1.4,-255.0,1.4,32.3,53.9,-191.4,53.9,3890.6,53.9,-0.089,155.7,-238.3
c3_14q_decomp_p0,0,2,GHZ-3,8192,11.714,11.8641,97.1907,11,20.4,0.3,0.7,0.2,18.3,1.7,1273.2,1.5,43.5,1.5,33.0,51.6,116.0,51.5,1345.6,51.5,0.119,155.4,61.8
c3_14q_decomp_p0,0,3,VQE HeH+ 2Q,4000,8.584,8.7504,35.0016,11,14.1,0.4,0.7,0.2,19.4,2.7,614.4,2.8,-51.2,2.8,49.1,105.0,32.1,105.2,697.7,105.2,0.092,153.6,-31.8
c3_14q_decomp_p0,0,4,QAOA 2Q p=1,1000,8.94,9.1101,9.1101,11,14.6,1.4,0.7,0.1,17.6,0.7,152.2,8.1,-17.9,8.1,10.8,9.9,25.8,5.3,195.9,5.3,0.283,152.2,-0.3
c3_14q_decomp_p0,0,5,Quantum teleportation 3Q,1000,14.496,14.6467,14.6467,11,20.3,0.5,0.7,0.1,17.5,1.9,152.3,1.9,1.6,1.9,30.5,11.1,70.4,11.0,221.1,11.0,0.481,152.3,19.1
c3_14q_decomp_p0,0,6,Deutsch-Jozsa 3Q,1024,12.062,12.2037,12.4966,22,20.3,0.5,0.8,0.2,17.7,1.3,155.6,1.6,10.5,1.6,17.0,6.0,66.2,6.0,211.3,6.0,0.53,152.0,28.2
c3_14q_decomp_p0,0,7,GHZ-4,8192,14.844,14.9988,122.8702,22,26.8,0.5,0.7,0.1,38.0,77.8,1261.8,77.0,-6.3,77.0,44.9,156.9,104.2,161.9,1372.3,161.9,0.085,154.0,31.7
c3_14q_decomp_p0,0,8,GHZ-5,1024,17.974,18.1349,18.5701,22,33.4,0.5,0.7,0.1,35.8,63.9,145.6,64.2,-19.2,64.2,28.7,43.5,79.4,43.1,244.2,43.1,0.428,142.2,16.6
c3_14q_decomp_p0,0,9,GHZ-6,128,21.104,21.2504,2.7201,11,39.6,0.2,0.7,0.1,24.5,1.2,20.0,1.1,1.2,1.1,18.4,13.5,84.4,13.4,103.1,13.4,3.103,156.2,25.7
c3_14q_decomp_p0,0,10,GHZ-8,32,27.364,27.5223,0.8807,11,52.1,0.3,0.8,0.2,32.8,3.0,3.7,2.9,-1.3,2.9,14.6,6.1,99.0,6.0,104.1,6.0,11.241,115.6,31.5
c3_14q_decomp_p0,0,11,Bernstein-Vazirani 5Q,1024,18.922,19.0861,19.5442,11,33.5,0.4,0.7,0.2,21.2,1.5,159.0,1.4,-9.0,1.4,18.2,5.0,64.5,5.2,232.6,5.2,0.33,155.3,12.2
c3_14q_decomp_p0,0,12,VQE 1Q eigensolver,10000,5.43,5.5932,55.932,11,7.7,0.4,0.7,0.2,17.7,5.3,1548.4,5.4,-83.6,5.4,52.2,112.1,-5.3,112.3,1626.7,112.3,-0.009,154.8,-65.9
c3_14q_decomp_p0,0,13,QFT 4Q,500,26.472,26.6321,13.3161,11,26.7,0.5,0.7,0.2,214.0,132.2,-118.7,132.5,-198.7,132.5,24.6,25.5,67.3,25.6,147.4,25.6,0.505,-237.4,15.3
c3_14q_decomp_p0,0,19,VQE BeH2 14Q,4096,46.416,46.5687,190.7454,11,90.2,0.3,0.7,0.2,86.7,111.5,605.4,111.4,-20.0,111.4,16.8,8.0,174.5,7.8,799.9,7.8,0.091,147.8,66.7
c3_14q_decomp_p0,0,20,Shor N=15 5Q,1000,17.658,17.8178,17.8178,11,33.3,0.4,0.8,0.2,20.8,1.4,155.9,1.1,-3.9,1.1,17.3,5.9,68.3,6.0,228.1,6.0,0.383,155.9,16.9
c3_14q_decomp_p0,0,21,QAOA MaxCut 12Q,10000,43.24,43.3911,433.911,11,79.0,3.7,0.7,0.1,142.1,214.4,1462.5,216.9,-48.5,216.9,15.0,7.2,188.2,7.2,1699.2,7.2,0.043,146.2,93.6
c3_14q_decomp_p0,0,22,QML Image Class 14Q,400,50.124,50.2777,20.1111,11,90.1,0.3,0.7,0.1,152.7,222.9,-36.8,222.9,-98.3,222.9,59.4,138.7,204.6,138.9,266.0,138.9,1.017,-92.0,54.4
c3_14q_decomp_p0,0,23,VQE SrH PDM 12Q,4000,42.852,43.0001,172.0004,11,78.6,3.6,0.7,0.2,134.4,151.0,534.6,152.8,-57.8,152.8,15.6,5.1,171.5,5.4,763.9,5.4,0.1,133.7,76.6
c3_14q_decomp_p0,0,24,Grover 6Q,1024,59.476,59.6422,61.0736,11,39.6,0.4,0.6,0.1,63.2,104.9,120.9,104.9,-49.3,104.9,88.9,246.6,143.0,246.8,313.2,246.8,0.234,118.1,13.9
c3_14q_decomp_p0,0,25,QSVM Radar 4Q,1024,17.12,17.282,17.6968,11,27.1,0.6,0.7,0.1,19.4,1.9,157.0,1.9,-8.9,1.9,69.9,114.8,108.2,114.9,274.1,114.9,0.611,153.3,10.5
c3_14q_decomp_p200,200,6,Deutsch-Jozsa 3Q,1024,12.062,12.2037,12.4966,11,20.4,0.4,0.7,0.1,171.5,149.9,2.2,150.2,-142.9,150.2,13.8,4.8,63.4,5.1,208.5,5.1,0.507,2.1,28.6
c3_14q_decomp_p200,200,7,GHZ-4,8192,14.844,14.9988,122.8702,11,27.0,0.5,0.6,0.1,22.5,5.3,1274.5,7.2,6.4,7.2,16.9,10.0,73.5,8.9,1341.6,8.9,0.06,155.6,28.9
c3_14q_decomp_p200,200,9,GHZ-6,128,21.104,21.2504,2.7201,11,39.8,0.4,0.7,0.1,24.5,0.8,19.6,0.9,0.9,0.9,16.5,5.0,82.2,4.9,101.0,4.9,3.022,153.1,25.4
c3_14q_decomp_p200,200,10,GHZ-8,32,27.364,27.5223,0.8807,11,52.5,0.3,0.7,0.1,35.2,9.0,1.4,9.1,-3.6,9.1,16.1,6.9,100.8,6.7,105.9,6.7,11.445,43.8,31.6
c3_14q_decomp_p200,200,12,VQE 1Q eigensolver,10000,5.43,5.5932,55.932,11,7.6,0.3,0.7,0.1,54.5,90.3,1511.6,90.5,-120.4,90.5,27.7,35.6,-29.8,35.6,1602.2,35.6,-0.053,151.2,-65.9
c3_14q_decomp_p200,200,19,VQE BeH2 14Q,4096,46.416,46.5687,190.7454,11,90.1,0.4,0.6,0.1,303.1,287.7,389.7,287.8,-235.7,287.8,14.6,3.9,172.7,4.0,798.2,4.0,0.091,95.1,67.4
